visible_surface	occurrences	detected_literal_atoms	covered_characters	transfer_class	forward_prediction	owners	representative_astro_reading_de	creative_default_de	review_note
alaiin	1	AL+AIIN	6/6	NEW_MULTI_ATOM_CANDIDATE	NONE	A1_LEFT_LOCAL_FIELD_32	Sternplatz A1_LEFT_LOCAL_FIELD_32: Zielsektor, Zielstern oder Zielfeld + Sollwert oder Grad eines Diagrammplatzes.	Ziel + Sollwert/Maß	owner supplies the celestial/calendar object; no direction or cross-page key inferred
aldaiin	1	AL+AIIN	6/7	NEW_MULTI_ATOM_CANDIDATE	NONE	A1_LEFT_OUTER_RING_TEXT	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Zielsektor, Zielstern oder Zielfeld + Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest d.	Ziel + Sollwert/Maß	owner supplies the celestial/calendar object; no direction or cross-page key inferred
chedaiin	1	CHD+AIIN	8/8	FORWARD_PREDICTED_EXACT	CHD+AIIN	A1_LEFT_LOCAL_FIELD_39	Sternplatz A1_LEFT_LOCAL_FIELD_39: Wert oder Platzbezug uebertragen + Sollwert oder Grad eines Diagrammplatzes.	Umsetzen + Sollwert/Maß	owner supplies the celestial/calendar object; no direction or cross-page key inferred
cheokorchey	1	CHEO+OR	6/11	FORWARD_PREDICTED_EMBEDDED	OK+OR	A2_MIDDLE_PANEL_HEADER	Sternplatz A2_MIDDLE_PANEL_HEADER: Diagrammposten setzen oder aktivieren + Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest che/chey.	Auszug/Ausgabe + Ansatz/Satz	owner supplies the celestial/calendar object; no direction or cross-page key inferred
chkchdar	1	KCH+AR	5/8	NEW_MULTI_ATOM_CANDIDATE	NONE	A1_RIGHT_SECTOR_SLOT_08	Sektorplatz A1_RIGHT_SECTOR_SLOT_08: Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert.	Bearbeiten + Quelle	owner supplies the celestial/calendar object; no direction or cross-page key inferred
chkchykoly	1	KCH+OL	5/10	NEW_MULTI_ATOM_CANDIDATE	NONE	A2_MULTIPANEL_HEADER_FRAGMENT_07	Tafelkopf A2_MULTIPANEL_HEADER_FRAGMENT_07: Diagrammplatz berechnen oder bearbeiten + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest ch/yk/y.	Bearbeiten + Fortsetzen	owner supplies the celestial/calendar object; no direction or cross-page key inferred
choaiin	1	HO+AIIN	7/7	NEW_MULTI_ATOM_CANDIDATE	NONE	A3_LEFT_WHEEL_RING_TEXT	Radstelle A3_LEFT_WHEEL_RING_TEXT: Himmelsobjekt oder Eingangsbedingung + Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest c.	Eingangsposten + Sollwert/Maß	owner supplies the celestial/calendar object; no direction or cross-page key inferred
choctheeey	1	HO+CTH	6/10	NEW_MULTI_ATOM_CANDIDATE	NONE	A2_LEFT_PANEL_HEADER	Sternplatz A2_LEFT_PANEL_HEADER: Himmelsobjekt oder Eingangsbedingung + lange oder volle Diagrammstufe; lokaler Namensrest c/cth/y.	Eingangsposten + Bereitwert	owner supplies the celestial/calendar object; no direction or cross-page key inferred
chokal	1	HO+AL	5/6	NEW_MULTI_ATOM_CANDIDATE	NONE	A2_RIGHT_PANEL_HEADER	Sektorplatz A2_RIGHT_PANEL_HEADER: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest ch.	Eingangsposten + Ziel	owner supplies the celestial/calendar object; no direction or cross-page key inferred
dchdar	1	CHD+AR	5/6	NEW_MULTI_ATOM_CANDIDATE	NONE	A1_LEFT_OUTER_STAR_STATION_02	Sternplatz A1_LEFT_OUTER_STAR_STATION_02: Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest d.	Umsetzen + Quelle	owner supplies the celestial/calendar object; no direction or cross-page key inferred
