surface	locus	zl3b_line	it2a_line	rf1b_line	reader_gate	working_meaning_de	rival_de	decision
oky	f105r.26	pdal sheey yqopchy airal sheey fchdy qopchdy raiir oky chdedy qodeedy qokedy	pdal sheey yqopchy airal sheey fchdy qopchdy raiis oky chdedy qodeedy qokedy	pdal eey yqopchy airal sheey fchdy qopchdy r aiir ok chde y qodeedy qotedy	AT_LEAST_ONE_ALL_READER_EXACT	heißer Ansatz, Grundform	heiße Grundform der Zubereitung	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
oky	f113v.1	folorarom otchey qotar air otair opchedy qokeedody chey keeoy rol lkar chsom oky	folorarom otchey qotar air otair opchedy qokeedody cheykeeoy rol lkar chsamoky	folorarom otchey qotar air otair opchedy qokeedody cheykeeoy rol lkar chsamoky	AT_LEAST_ONE_ALL_READER_EXACT	heißer Ansatz, Grundform	heiße Grundform der Zubereitung	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
oky	f115r.33	y cheey qotaiin chokeeey chckhey qoky aiin cheey lkeedy oky chokchaiin	ycheey qotaiiin chokeeey chckhey qoky aiin cheey lkeedy okchy chokchaiin	ycheey qotaiin chokeeey chckhey qoky aiin cheey lkee y okchy chokeeaiin	AT_LEAST_ONE_ALL_READER_EXACT	heißer Ansatz, Grundform	heiße Grundform der Zubereitung	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
oky	f19v.9	ychor oky chor ytol chol oky ddor	ychor oky chor ytal chol oky ddor	ychor oky chor ytal chol okyddor	AT_LEAST_ONE_ALL_READER_EXACT	heißer Ansatz, Grundform	heiße Grundform der Zubereitung	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
oky	f44v.7	oky tchaiin cthol dy cheol ololy	oko tchaiin cthol dy cheol ololy	oko tchaiin cthol dy cheol ololy	AT_LEAST_ONE_ALL_READER_EXACT	heißer Ansatz, Grundform	heiße Grundform der Zubereitung	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
oky	f50v.2	tchodain oeeey okaiin shedy qokaly chdy oky keody cheey okain	tchodain oeeey okaiin shedy qokaly chdy oty keody cheey okain	tchodain oeeey okaiin shedy qokaly ch y oky keo y cheey okain	AT_LEAST_ONE_ALL_READER_EXACT	heißer Ansatz, Grundform	heiße Grundform der Zubereitung	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
oky	f81v.11	yshey qokeey okeey oky ykeey qoky oky lky olchy ky dsholyd	oshey qokeey okeey oky ykeey qoky okylky olchy ky dsholyd	yshey qokeey okeey oky ykeey qoky oky lky olchy ky sholyd	AT_LEAST_ONE_ALL_READER_EXACT	heißer Ansatz, Grundform	heiße Grundform der Zubereitung	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
oky	f82r.29	d cheey lchedy qokeedy lchedy rchedy oky qotedy qoty qoty	dcheey lchedy qokeedy lchedy rchedy okchhy qotedy qoty qoty	dcheey lche y qokeedy lchedy rchedy oky qotedy qoty qoty	AT_LEAST_ONE_ALL_READER_EXACT	heißer Ansatz, Grundform	heiße Grundform der Zubereitung	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
oky	f9v.11	ychor chshoty oky kaiin	ychor chshoty oky kaiin	ychor chshoty okykaiin	AT_LEAST_ONE_ALL_READER_EXACT	heißer Ansatz, Grundform	heiße Grundform der Zubereitung	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
cheaiin	f19v.14	otchol cheaiin cthol	otcholcheaiin cthol	otcholcheaiin cthol	AT_LEAST_ONE_ALL_READER_EXACT	trocken im dritten Grad	getrocknete Droge, Menge III	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
