application_stage	joint_tuple_id	surface_family	formula	selected_reading_de	events	application_role	revision_status	important_limit
01_PREPARATION	b9d7b6d68209a9019e7a	chochor	CHO+OR	Pflanzenzubereitung	1	PLANT_PREPARATION	INHERITED_SELECTED_VALUE	Inherited exact-card value; included to make the full application checklist explicit.
01_PREPARATION	dec401773c1f0347793d	cholor|olor	OL+OR	mit der vorigen Zubereitung	2	PREVIOUS_PREPARATION	INHERITED_SELECTED_VALUE	Inherited exact-card value; included to make the full application checklist explicit.
01_PREPARATION	7a4bb8136330ee4e6e56	chor|or|shor|sor	OR	Zubereitung	7	PREPARATION	INHERITED_SELECTED_VALUE	Inherited exact-card value; included to make the full application checklist explicit.
01_PREPARATION	6afeb5c9ab9f6cbdea0d	orain	OR+AIN	eine Portion der Zubereitung	1	PREPARATION_PORTION	INHERITED_SELECTED_VALUE	Inherited exact-card value; included to make the full application checklist explicit.
01_PREPARATION	10488b911aae52b3b334	otchor|qotchor	OT+OR	die nächste Zubereitung	2	NEXT_PREPARATION	INHERITED_SELECTED_VALUE	Inherited exact-card value; included to make the full application checklist explicit.
02_QUANTITY	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	AIIN	vorgeschriebenes Maß	20	MEASURE	INHERITED_SELECTED_VALUE	Inherited exact-card value; included to make the full application checklist explicit.
02_QUANTITY	9da1b6ac2c929daea697	chkain|kain	AIN	eine Portion	3	PORTION	INHERITED_SELECTED_VALUE	Inherited exact-card value; included to make the full application checklist explicit.
02_QUANTITY	b5fcea1eaed06b2f2291	okaiin|qokaiin	OK+AIIN	auf das vorgeschriebene Maß einstellen	9	SET_MEASURE	INHERITED_SELECTED_VALUE	Inherited exact-card value; included to make the full application checklist explicit.
02_QUANTITY	1645e612504fcef59ced	okain|qokain	OK+AIN	eine Portion zugeben	7	ADD_PORTION	INHERITED_SELECTED_VALUE	Inherited exact-card value; included to make the full application checklist explicit.
02_QUANTITY	54d0e228ca346110af05	otaiin|sotaiin	OT+AIIN	das nächste Maß	3	NEXT_MEASURE	INHERITED_SELECTED_VALUE	Inherited exact-card value; included to make the full application checklist explicit.
02_QUANTITY	f7dc90b2c31fd341f0a4	ykaiin	Y+AIIN	Maß des laufenden Postens	1	CURRENT_MEASURE	INHERITED_SELECTED_VALUE	Inherited exact-card value; included to make the full application checklist explicit.
02_QUANTITY	403c1592f918c8f23b88	ykain	Y+AIN	eine Portion des laufenden Postens	1	CURRENT_PORTION	INHERITED_SELECTED_VALUE	Inherited exact-card value; included to make the full application checklist explicit.
02_QUANTITY	d929a14ec45749b2e805	ykan	Y+AIN	diese Portion	1	THIS_PORTION	INHERITED_SELECTED_VALUE	Inherited exact-card value; included to make the full application checklist explicit.
03_TARGET	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	AL	Stelle	10	SITE	SELECTED_RECURRENT_CORE	Ten base events across five pages; the owner supplies the kind of site.
03_TARGET	5fca8fc3dee57e1d8c1f	lcheey	LCHEEY	benetzte Stelle	1	WET_SITE	SELECTED_SINGLETON_WHOLE_CARD	The lower f82r figure/pool owner supports contact but not an anatomical name.
03_TARGET	c205570c49d4d93c23d3	qolky	QOLKY	Behandlungsstelle	1	TREATMENT_SITE	SELECTED_SINGLETON_WHOLE_CARD	The following outlet makes a treated station at least as plausible as a body part.
03_TARGET	308e8ea2d5d190c498e8	okal|qokal	OK+AL	an die Stelle setzen	6	SET_AT_SITE	SELECTED_RECURRENT_COMPOSITION	Six events preserve the same neutral target operation.
03_TARGET	90bcf0a9ec0ef56399e6	otal|qotal	OT+AL	danach zur Stelle	3	NEXT_SITE	SELECTED_RECURRENT_COMPOSITION	Three f83r station changes; no flow direction is encoded.
03_TARGET	4a7a6326ac95a8809302	qokaly	OK+AL+Y	Posten zur Stelle setzen	1	CURRENT_TO_SITE	SELECTED_SINGLETON_COMPOSITION	The following cloth/passage chain is technical, showing that AL is not inherently anatomical.
03_TARGET	93f69c38fdedee1598e9	qokeedal	OK+EE+AL	länger an der Stelle halten	1	HOLD_AT_SITE	SELECTED_SINGLETON_GRID_CELL	Completes the long-grade Y/AL/DY row without naming skin or a vessel.
04_CURRENT_ITEM	b921a237be883a820352	chey|chy|dy|shy|sy|y	Y	dieser Arbeitsposten	18	CURRENT_ITEM	INHERITED_SELECTED_VALUE	Inherited exact-card value; included to make the full application checklist explicit.
04_CURRENT_ITEM	9ad66e67803a12e745de	chokchy|okchy|qokchy	OK+CHY	den laufenden Posten einsetzen	3	SET_CURRENT_ITEM	INHERITED_SELECTED_VALUE	Inherited exact-card value; included to make the full application checklist explicit.
04_CURRENT_ITEM	276a7c2d74d1143446f4	choky|oky|qoky	OK+Y	den laufenden Posten einsetzen	10	SET_CURRENT_ITEM	INHERITED_SELECTED_VALUE	Inherited exact-card value; included to make the full application checklist explicit.
05_ACTION	c10aec6d4dd877ec8bd8	choy	CHOY	waschen	1	WASH	SELECTED_SINGLETON_WHOLE_CARD	Water is the H5 local realization, not a required part of the card meaning.
05_ACTION	74c76d589d44120f647b	dsheol	DSHEOL	einreiben	1	RUB	SELECTED_SINGLETON_WHOLE_CARD	A concrete rubbing action; coating a technical surface remains the strongest rival.
05_ACTION	893c570f3fa3fce99711	kchol	KCHOL	auflegen	1	LAY_ON	INHERITED_SELECTED_VALUE	Inherited exact-card value; included to make the full application checklist explicit.
05_ACTION	348e81ba084c5acdb32b	shecthedchy	SHECTHEDCHY	aufstreichen	1	SPREAD	SELECTED_SINGLETON_WHOLE_CARD	A second learned spreading action; it is not forced to share a visible root with DSHEOL.
06_CONTACT	08bd5ca0c2ad137a056d	okey|qokey	OK+E+Y	kurz anlegen	2	BRIEF_OPEN_CONTACT	SELECTED_RECURRENT_GRID	Two owners support brief contact; Y supplies the current item.
06_CONTACT	0275fbf14e07935b0a45	okeey|qokeey	OK+EE+Y	länger halten	7	SUSTAINED_OPEN_CONTACT	SELECTED_RECURRENT_GRID	Seven events across four records support sustained contact without fixing body versus apparatus.
06_CONTACT	7db18b2f0fb7ed0fcfd3	qokedy	OK+E+DY	kurz benetzen; Schluss	8	BRIEF_CLOSED_CONTACT	INHERITED_SELECTED_VALUE	Inherited exact-card value; included to make the full application checklist explicit.
06_CONTACT	7d25241b0e56c836372a	qokeedy	OK+EE+DY	länger einwirken; Schluss	10	SUSTAINED_CLOSED_CONTACT	SELECTED_RECURRENT_GRID	Ten cells range from liquid soaking to cloth or station contact; the portable default is sustained action.
06_CONTACT	d25110e0d8488927278f	qokeeedy	OK+EEE+DY	vollständig durchtränken; Schluss	1	COMPLETE_CLOSED_CONTACT	INHERITED_SELECTED_VALUE	Inherited exact-card value; included to make the full application checklist explicit.
07_CLOSE	95987d6f198d6d247511	cheeckhody	CHEECKHO+DY	auftragen; Schluss	1	APPLY_CLOSE	SELECTED_SINGLETON_WHOLE_CARD	The preceding H5 wash licenses application; external/body specificity stays local.
07_CLOSE	eb2e4bc143f623ee03ac	qokylddy	OK+Y+LDDY	Posten befestigen; Schluss	1	FASTEN_CLOSE	SELECTED_SINGLETON_LEARNED_CORE	Application and apparatus readings converge on fastening; poultice, cloth, or insert is local.
07_CLOSE	7f68f60279efe6b28cd7	rshedy	RSHE+DY	Waschung; Schluss	1	WASH_CLOSE	SELECTED_SINGLETON_WHOLE_CARD	The former unsupported part value is removed; the one complete cell retains a wash close.
