criterion_id	topology_axis	wolf_f40r	othmer_f10r	othmer_f36r	voynich_q13_frozen	verdict
T01	MULTIPLE_CONTAINERS	YES	YES	YES	YES	BROAD_SHARED_APPARATUS_FEATURE
T02	PAIRED_OR_PARALLEL_CONTAINERS	YES	YES	YES	YES	BROAD_SHARED_APPARATUS_FEATURE
T03	CLOSED_RETURN_OR_RECIRCULATION_PATH	CONNECTED_CROSS_DUCTS	YES_EXTERNAL_OR_INTERNAL_LOOPS	NO_VISIBLE_CLOSED_LOOP	UNRESOLVED_DIRECTION_IN_FROZEN_Q13	BROAD_PROCESS_ANALOGY_NOT_EXACT_MATCH
T04	TOP_BOTTOM_CONNECTION	NO_SECURE_VISIBLE_TOP_BOTTOM_PATH	YES_NECK_TO_LOWER_BODY	YES_VERTICAL_CHAMBER	YES_ON_FROZEN_Q13_PAGES	PARTIAL_SHARED_FEATURE
T05	SIDE_DUCTS_OR_OUTLETS	YES	YES	YES	YES	BROAD_SHARED_APPARATUS_FEATURE
T06	HUMAN_FIGURES_INSIDE_SYSTEM	NO	NO	NO	YES	Q13_SPECIFIC_DIFFERENCE
T07	REPEATED_FIGURE_OR_PROCESS_STAGES	NO	NO	NO	YES	Q13_SPECIFIC_DIFFERENCE
T08	COLORED_POOLS	NO	NO	NO	YES	Q13_SPECIFIC_DIFFERENCE
T09	VISIBLE_MATERIAL_COLOR_PROGRAM	NO	NO	NO	BLUE_GREEN_Q13_WITH_NO_FROZEN_STAGE_ORDER	NO_EXACT_COLOR_HOMOLOG
T10	SINGULAR_READABLE_LABEL_TO_Q13_OWNER	NO_VOYNICH_BRIDGE	NO_VOYNICH_BRIDGE	NO_VOYNICH_BRIDGE	NO_SINGULAR_READABLE_OWNER	TRANSLATION_BRIDGE_ABSENT
T11	SIX_STATE_FIVE_EDGE_FOUR_OUTPUT_ONE_HOLD	NO	NO	NO	F77_EXPOSED_POSTHOC_TOPOLOGY	EXACT_HOMOLOG_ABSENT
