family_ordinal	family_id	normalized_recipe	marker_sequence	carrier_envelope	grade_variant_count	grade_variants	family_status	event_count	e_event_count	ee_event_count	eee_event_count	e_page_count	ee_page_count	eee_page_count	statement_final_event_count	statement_final_percent	surfaces_by_grade	event_ids	family_reading_de	scope_result
1	G558-F01	OT+G+DY	OT+DY	OT>G<DY	3	E|EE|EEE	COMPLETE_THREE_RUNG	66	37	28	1	10	8	1	66	100.000000	E:otedy|qotedy || EE:oteedy|qoteedy || EEE:qoteeedy	G407-E1145|G407-E1311|G407-E1330|G407-E1784|G407-E1793|G407-E1806|G407-E1820|G407-E1821|G407-E1822|G407-E1863|G407-E1864|G407-E1926|G407-E2230|G407-E2287|G407-E2302|G407-E2311|G407-E2362|G407-E2406|G407-E2412|G407-E2419|G407-E2422|G407-E2442|G407-E2446|G407-E2465|G407-E2466|G407-E2500|G407-E2510|G407-E2535|G407-E2543|G407-E2554|G407-E2576|G407-E2577|G407-E2591|G407-E2622|G407-E2654|G407-E2662|G407-E2674|G407-E2675|G407-E2772|G407-E2777|G407-E2793|G407-E2807|G407-E2830|G407-E2866|G407-E3016|G407-E3150|G407-E3213|G407-E3257|G407-E3268|G407-E3400|G407-E3419|G407-E3468|G407-E3500|G407-E3519|G407-E3520|G407-E3522|G407-E3632|G407-E3642|G407-E3657|G407-E3660|G407-E4404|G515-E0190|G515-E0240|G515-E0301|G515-E0329|G515-E0503	danach X auf Grad n; X abschließen	GRADE_RUNG_SUBSTITUTES_INSIDE_FIXED_CONTROL_ENVELOPE
2	G558-F02	OT+G+Y	OT	OT>G<END	2	E|EE	OBSERVED_TWO_RUNG	42	19	23	0	8	9	0	0	0.000000	E:otey|qotey || EE:oteey|otoees|qoteey	G407-E0032|G407-E1068|G407-E1088|G407-E1090|G407-E1135|G407-E1143|G407-E1177|G407-E1181|G407-E1260|G407-E1271|G407-E1284|G407-E1313|G407-E1349|G407-E1389|G407-E1510|G407-E1773|G407-E1792|G407-E1876|G407-E1957|G407-E1984|G407-E2195|G407-E2497|G407-E2556|G407-E2702|G407-E2729|G407-E2756|G407-E2763|G407-E2768|G407-E2769|G407-E2842|G407-E2844|G407-E2894|G407-E3203|G407-E3305|G407-E3392|G407-E3422|G407-E3425|G407-E4130|G515-E0006|G515-E0336|G515-E0538|G515-E0572	danach X auf Grad n	GRADE_RUNG_SUBSTITUTES_INSIDE_FIXED_CONTROL_ENVELOPE
3	G558-F03	SH+G+OL	OL	START>G<OL	2	E|EE	OBSERVED_TWO_RUNG	30	23	7	0	12	5	0	0	0.000000	E:dsheol|sheol|yksheol || EE:cheeol|sheeol|sheeoldy	G407-E1316|G407-E1413|G407-E1648|G407-E1826|G407-E2182|G407-E2205|G407-E2253|G407-E2441|G407-E2562|G407-E2647|G407-E3170|G407-E3333|G407-E3763|G407-E3858|G407-E3874|G407-E3996|G407-E4035|G407-E4110|G407-E4173|G407-E4294|G407-E4339|G515-E0003|G515-E0199|G515-E0249|G515-E0355|G515-E0424|G515-E0488|G515-E0544|G515-E0564|G515-E0571	X auf Grad n; X weiterführen	GRADE_RUNG_SUBSTITUTES_INSIDE_FIXED_CONTROL_ENVELOPE
4	G558-F04	OK+G+OL	OL	START>G<OL	2	E|EE	OBSERVED_TWO_RUNG	21	16	5	0	7	3	0	1	4.761905	E:chokeol|okeol|okeolor|qokeol || EE:okeeol|qokeeol	G407-E1148|G407-E1227|G407-E1306|G407-E1385|G407-E2173|G407-E3169|G407-E3178|G407-E3727|G407-E3827|G407-E3871|G407-E4080|G407-E4131|G407-E4249|G407-E4251|G407-E4272|G407-E4314|G407-E4320|G407-E4326|G407-E4332|G407-E4376|G515-E0214	X auf Grad n; X weiterführen	GRADE_RUNG_SUBSTITUTES_INSIDE_FIXED_CONTROL_ENVELOPE
5	G558-F05	OL+K+G+DY	OL+DY	OL>G<DY	2	E|EE	OBSERVED_TWO_RUNG	12	6	6	0	4	4	0	12	100.000000	E:olkedy || EE:cholkeedy|olkeedy	G407-E1732|G407-E1772|G407-E2331|G407-E2400|G407-E2782|G407-E2886|G407-E2919|G407-E2949|G407-E3168|G407-E3172|G407-E3473|G407-E4190	X weiterführen auf Grad n; X abschließen	GRADE_RUNG_SUBSTITUTES_INSIDE_FIXED_CONTROL_ENVELOPE
6	G558-F06	OL+K+G+Y	OL	OL>G<END	2	E|EE	OBSERVED_TWO_RUNG	10	2	8	0	2	7	0	0	0.000000	E:olkey|solkey || EE:olkeey|solkeey	G407-E1632|G407-E1916|G407-E2604|G407-E2841|G407-E3095|G407-E3536|G407-E3752|G407-E3780|G407-E3884|G407-E4248	X weiterführen auf Grad n	GRADE_RUNG_SUBSTITUTES_INSIDE_FIXED_CONTROL_ENVELOPE
7	G558-F07	OL+SH+G+DY	OL+DY	OL>G<DY	2	E|EE	OBSERVED_TWO_RUNG	9	6	3	0	4	3	0	9	100.000000	E:olshedy|solshedy || EE:olsheedy|qolcheedy|qolsheedy	G407-E1466|G407-E1532|G407-E1541|G407-E1547|G407-E1936|G407-E2462|G407-E2524|G407-E2798|G407-E3228	X weiterführen auf Grad n; X abschließen	GRADE_RUNG_SUBSTITUTES_INSIDE_FIXED_CONTROL_ENVELOPE
8	G558-F08	OT+G+O+S_ADDR	OT	OT>G<END	2	E|EE	OBSERVED_TWO_RUNG	8	7	1	0	3	1	0	0	0.000000	E:oteos || EE:oteeos	G407-E0033|G407-E1097|G407-E1213|G407-E1219|G407-E1357|G407-E1422|G407-E4182|G407-E4336	danach X auf Grad n	GRADE_RUNG_SUBSTITUTES_INSIDE_FIXED_CONTROL_ENVELOPE
9	G558-F09	OT+G+OL	OT+OL	OT>G<OL	2	E|EE	OBSERVED_TWO_RUNG	7	6	1	0	5	1	0	0	0.000000	E:oteol|qoteol || EE:qoteeol	G407-E0083|G407-E1375|G407-E1406|G407-E2878|G407-E3408|G407-E4012|G407-E4233	danach X auf Grad n; X weiterführen	GRADE_RUNG_SUBSTITUTES_INSIDE_FIXED_CONTROL_ENVELOPE
10	G558-F10	K+G+OL	OL	START>G<OL	2	E|EE	OBSERVED_TWO_RUNG	5	4	1	0	4	1	0	0	0.000000	E:keol || EE:keeol	G407-E0661|G407-E0900|G407-E3806|G407-E4309|G515-E0182	X auf Grad n; X weiterführen	GRADE_RUNG_SUBSTITUTES_INSIDE_FIXED_CONTROL_ENVELOPE
