row_kind	article_id	page	record	owner_hypothesis	selected_register	locus	field_ordinal	event_count	field_pattern	terminal_status	surface_sequence	strict_anchor_sequence	creative_translation_German	silent_image_supply	confidence
ARTICLE	F10-A	f10r	1	Skabiose/Teufelsabbiss-Typ	MEDIZINISCHES_MATERIAL_BETRIEBSREGISTER	ALL	ALL	14	NONOP_CHAIN=1;LINK_CHAIN=1	OPEN=2	NA	F1: TEIL? | UNKNOWN[CTHOOR] | UNKNOWN[AR] | UNKNOWN[TY] | UNKNOWN[OS] | UNKNOWN[AIR] | UNKNOWN[OTYTCHOL] | VERWENDEN? | MASS? | UNKNOWN[ETYD] || F2: UNKNOWN[OKCHY] | FRAME_OT(UNKNOWN[CHOL]) | FRAME_O(VERKNÜPFEN) | BEREIT?	Registerposten A zum abgebildeten Skabiose-/Teufelsabbiss-Typ: unteren Wurzelteil reinigen, grob bereiten, mit Rotwein führen, bei Magenbeschwerden maßweise verwenden und den Rest trocken lagern; einen warmen Anwendungsansatz an den vorigen Arbeitsstand anschließen und als bereit vermerken.	Eigentümer;unterer_Wurzelteil	LOW
FIELD	F10-A	f10r	1	Skabiose/Teufelsabbiss-Typ	MEDIZINISCHES_MATERIAL_BETRIEBSREGISTER	f10r.2	1	10	NONOP_CHAIN	OPEN	dchey cthoor char chty os chair otytchol oky daiin etyd	TEIL? | UNKNOWN[CTHOOR] | UNKNOWN[AR] | UNKNOWN[TY] | UNKNOWN[OS] | UNKNOWN[AIR] | UNKNOWN[OTYTCHOL] | VERWENDEN? | MASS? | UNKNOWN[ETYD]	Wurzelposten des abgebildeten Simplex: den faserigen unteren Teil reinigen, aus demselben Vorrat gleichmäßig grob bereiten und mit Rotwein führen; bei Magenbeschwerden verwenden, maßweise ausgeben und den Rest trocken lagern.	Eigentümer;unterer_Wurzelteil	LOW
FIELD	F10-A	f10r	1	Skabiose/Teufelsabbiss-Typ	MEDIZINISCHES_MATERIAL_BETRIEBSREGISTER	f10r.5	1	4	LINK_CHAIN	OPEN	qokchy qotchol chol cthy	UNKNOWN[OKCHY] | FRAME_OT(UNKNOWN[CHOL]) | FRAME_O(VERKNÜPFEN) | BEREIT?	Anwendungsstand: die bereitete Ware warm auflegen, mit dem vorigen Arbeitsposten verknüpfen und als bereit führen.	Eigentümer	LOW
ARTICLE	F10-B	f10r	2	Skabiose/Teufelsabbiss-Typ	SAISONALES_CHARGEN_BETRIEBSREGISTER	ALL	ALL	24	NONOP_CHAIN=2;LINK_CHAIN=1	OPEN=3	NA	F1: UNKNOWN[YCHEOR] | BEREIT? | BEREITUNG? | UNKNOWN[CTH]+ARG_AIIN | UNKNOWN[OCTHOLY] | UNKNOWN[Y] | UNKNOWN[Y] | MASS? | UNKNOWN[Y] || F2: FRAME_OT(UNKNOWN[CHOR]) | BEREITUNG? | FRAME_OT(UNKNOWN[OL]) | FRAME_O(VERKNÜPFEN) | ZUVOR? | FRAME_O(VERKNÜPFEN) | MASS? | UNKNOWN[AR] || F3: UNKNOWN[OYKCHOR] | BEREITUNG? | BEREITUNG? | UNKNOWN[Y] | UNKNOWN[KAIIIN] | UNKNOWN[Y] | FRAME_O(UNKNOWN[D]+ARG_AIIN)	Registerposten B desselben Bildbesitzers: einen Wiesengrund-Posten mit bereitem Presssaft, Wärme, Teilposten und Maß führen; eine Vorblüten-Charge an frühere Arbeit verknüpfen; eine Blütenöffnungs-Charge bis zum bitteren Kontrollzustand führen und unter Öl lagern.	Eigentümer;Habitat_und_Blütenzustand_nur_kreativ	LOW
FIELD	F10-B	f10r	2	Skabiose/Teufelsabbiss-Typ	SAISONALES_CHARGEN_BETRIEBSREGISTER	f10r.6	1	9	NONOP_CHAIN	OPEN	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	UNKNOWN[YCHEOR] | BEREIT? | BEREITUNG? | UNKNOWN[CTH]+ARG_AIIN | UNKNOWN[OCTHOLY] | UNKNOWN[Y] | UNKNOWN[Y] | MASS? | UNKNOWN[Y]	Standort-/Herstellposten: Material vom feuchten Wiesengrund; bei Bereitmeldung den ausgepressten Saft als Bereitung führen, sanft erhitzen, in Teilposten verteilen und nach Maß buchen.	Eigentümer	LOW
FIELD	F10-B	f10r	2	Skabiose/Teufelsabbiss-Typ	SAISONALES_CHARGEN_BETRIEBSREGISTER	f10r.8	1	8	LINK_CHAIN	OPEN	qotchor chor otol chol cholor chol daiin dar	FRAME_OT(UNKNOWN[CHOR]) | BEREITUNG? | FRAME_OT(UNKNOWN[OL]) | FRAME_O(VERKNÜPFEN) | ZUVOR? | FRAME_O(VERKNÜPFEN) | MASS? | UNKNOWN[AR]	Vorblüten-Charge: Bereitung und Handvollposten anlegen, zweimal mit dem vorigen Arbeitsstand verknüpfen, das Maß notieren und die Herkunft aus demselben Vorrat festhalten.	Eigentümer;Blütenzustand_nur_kreativ	LOW
FIELD	F10-B	f10r	2	Skabiose/Teufelsabbiss-Typ	SAISONALES_CHARGEN_BETRIEBSREGISTER	f10r.9	1	7	NONOP_CHAIN	OPEN	oykchor shor chor chy kaiiin dy chodaiin	UNKNOWN[OYKCHOR] | BEREITUNG? | BEREITUNG? | UNKNOWN[Y] | UNKNOWN[KAIIIN] | UNKNOWN[Y] | FRAME_O(UNKNOWN[D]+ARG_AIIN)	Blütenöffnungs-Charge: zwei Bereitungsposten mit Zwischenportionen führen, bis zum bitteren Kontrollzustand arbeiten und den verbleibenden Teil unter Öl lagern.	Eigentümer;Blütenzustand_nur_kreativ	LOW
ARTICLE	F11-A	f11r	1	Veilchen	TEILEINVENTAR_ANWENDUNGSMUSTER	ALL	ALL	17	NONOP_CHAIN=3;SINGLETON=1	CLOSED=1;OPEN=3	NA	F1: UNKNOWN[SHOL] | UNKNOWN[CHO]+ARG_AL | UNKNOWN[CFHY] | UNKNOWN[FYD]+ARG_AIIN | UNKNOWN[CPHY] | KLAR? | CLOSE(UNKNOWN[CHO]) || F2: UNKNOWN[OYTY] || F3: UNKNOWN[CHOL] | UNKNOWN[Y] | UNKNOWN[KCHY] | UNKNOWN[Y] | MASS? || F4: FRAME_OT(UNKNOWN[CHY]) | UNKNOWN[OKCHOL] | BEREIT? | UNKNOWN[Y]	Teile- und Anwendungsmuster zum abgebildeten Veilchen: Wurzel als Press- und Klärposten führen, Blütenkrone zurückbehalten, eine maßweise Auflage an geschwollener Stelle buchen und für das Blatt ein warmes Umschlagmuster führen.	Eigentümer;Wurzel;Blütenkrone;Blatt	LOW
FIELD	F11-A	f11r	1	Veilchen	TEILEINVENTAR_ANWENDUNGSMUSTER	f11r.1	1	7	NONOP_CHAIN	CLOSED	tshol schoal cfhy shfydaiin cphy shey tchody	UNKNOWN[SHOL] | UNKNOWN[CHO]+ARG_AL | UNKNOWN[CFHY] | UNKNOWN[FYD]+ARG_AIIN | UNKNOWN[CPHY] | KLAR? | CLOSE(UNKNOWN[CHO])	Wurzel-/Pressmuster: im Frühjahr am schattigen Standort vor Öffnung der Krone gewinnen, die gequetschte Wurzel durch Tuch pressen, nachseihen bis klar und offen abkühlen. [Feldschluss]	Eigentümer;Wurzel;Blütenkrone	LOW
FIELD	F11-A	f11r	1	Veilchen	TEILEINVENTAR_ANWENDUNGSMUSTER	f11r.1	2	1	SINGLETON	OPEN	shoyty	UNKNOWN[OYTY]	Die Blütenkrone als getrennten Vorrat zurückhalten.	Eigentümer;Blütenkrone	LOW
