statement_id	record_unit_id	page	picture_owner	events	event_ids	field_ids	component_sequence	literal_reading_de	changed_events_pass454
H1-S001	H1	f10r	F10R_PICTURED_PLANT	10	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	F001	CH+E+Y > CTH+O+OR > TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD > OS > CH+AIR > OT+Y+T+CH+OL > TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD > E+T+Y	dies kurz abziehen; Ansatz bereit; dasselbe; dies fuellen; Gefäß; Wasser abziehen; danach dies fuellen und weiter abziehen; verwende dies; Mass; dies kurz fuellen.	5
H1-S002	H1	f10r	F10R_PICTURED_PLANT	4	E011|E012|E013|E014	F002	OK+Y > OT+CH+OL > TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD	dies ansetzen; danach weiter abziehen; fortsetzen; bereit.	2
H2-S001	H2	f10r	F10R_PICTURED_PLANT	9	E015|E016|E017|E018|E019|E020|E021|E022|E023	F003	Y+CH+E+OR > TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD > CTH+AIIN > O+CTH+OL+Y > TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD	diesen Ansatz kurz abziehen; bereit; Ansatz; auf Maß bereitstellen; dies bereit weiterführen; dies; dies; Mass; dies.	3
H2-S002	H2	f10r	F10R_PICTURED_PLANT	8	E024|E025|E026|E027|E028|E029|E030|E031	F004	OT+CH+OR > TRANSFERRED_EXACT_CARD > OT+OL > TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD	danach Ansatz abziehen; Ansatz; danach fortsetzen; fortsetzen; weiterer Ansatz; fortsetzen; Mass; dasselbe.	1
H2-S003	H2	f10r	F10R_PICTURED_PLANT	7	E032|E033|E034|E035|E036|E037|E038	F005	O+Y+K+OR > TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD > K+IIN > TRANSFERRED_EXACT_CARD > CH+O+AIIN	dies dem Ansatz zuführen; Ansatz; Ansatz; dies; bis zur Sollstufe zuführen; dies; auf Maß abziehen.	3
H3-S001	H3	f11r	F11R_PICTURED_PLANT	7	E039|E040|E041|E042|E043|E044|E045	F006	T+SH+OL > SH+O+AL > CFHY > SH+Y+AIIN > P+Y > TRANSFERRED_EXACT_CARD > T+CH+O+DY	weiter gefuellt halten; an der Stelle halten; auswringen; dies bis zum Maß halten; dies hineinführen; Klarauszug; fuellen und abziehen; Schluss.	5
H3-S002	H3	f11r	F11R_PICTURED_PLANT	1	E046	F007	SH+O+Y+T+Y	dies halten und fuellen.	1
H3-S003	H3	f11r	F11R_PICTURED_PLANT	5	E047|E048|E049|E050|E051	F008	OL > TRANSFERRED_EXACT_CARD > K+Y > TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD	fortsetzen; dies; dies zuführen; dies; Mass.	2
H3-S004	H3	f11r	F11R_PICTURED_PLANT	4	E052|E053|E054|E055	F009	OT+Y > OK+OL > TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD	nächster Posten; weiter ansetzen; bereit; dies.	2
H4-S001	H4	f55v	F55V_PICTURED_PLANT	5	E056|E057|E058|E059|E060	F010	TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD > Y+K+AIN > Y+K+AIN > O+DY	bemessen; Mass; eine Portion davon zuführen; eine Portion davon zuführen; Arbeitsgang abschließen.	3
H4-S002	H4	f55v	F55V_PICTURED_PLANT	3	E061|E062|E063	F011	TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD > TALAM	Mass; dies umsetzen; verwahren.	0
H4-S003	H4	f55v	F55V_PICTURED_PLANT	4	E064|E065|E066|E067	F012	Y+K+AIIN > CHEO+AR > TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD	dies auf Maß zuführen; Auszug aus der Quelle; dies länger wärmen; fortsetzen; Schluss.	2
H4-S004	H4	f55v	F55V_PICTURED_PLANT	6	E068|E069|E070|E071|E072|E073	F013	TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD > OL+T+Y > TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD > OR+AIN	Mass; an die Stelle setzen; dies weiter fuellen; Ansatz; dies; Ansatzportion.	1
H5-S001	H5	f56r	F56R_PICTURED_PLANT	9	E074|E075|E076|E077|E078|E079|E080|E081|E082	F014|F015	HO+CH+OR > HO > HO+AL+Y > TRANSFERRED_EXACT_CARD > HO > K+OL > OT+CH+OR > TRANSFERRED_EXACT_CARD > TRANSFERRED_EXACT_CARD	Zutat aus dem Ansatz abziehen; Zutat; diese Zutat an die Stelle; Mass; Zutat; weiter zuführen; danach Ansatz abziehen; verwende dies; Stelle.	4
H5-S002	H5	f56r	F56R_PICTURED_PLANT	4	E083|E084|E085|E086	F016	OL > HO+Y > TRANSFERRED_EXACT_CARD > CH+EE+CKH+O+DY	fortsetzen; diese Zutat; verwende dies; länger durch den Durchlass; Schluss.	3
H5-S003	H5	f56r	F56R_PICTURED_PLANT	4	E087|E088|E089|E090	F017	SH > HO > K+E+Y > OK+OK+Y	halten; Zutat; dies kurz zuführen; dies erneut ansetzen.	3
H5-S004	H5	f56r	F56R_PICTURED_PLANT	3	E091|E092|E093	F018	OK+Y > OK+CHEO > K+AL	dies ansetzen; Auszug ansetzen; an die Stelle zuführen.	3
H5-S005	H5	f56r	F56R_PICTURED_PLANT	4	E094|E095|E096|E097	F019	HO > OK+Y > K+HO+AR > OT+O+AIN	Zutat; dies ansetzen; Zutat aus dem Vorrat zuführen; danach eine Portion.	3
H5-S006	H5	f56r	F56R_PICTURED_PLANT	3	E098|E099|E100	F020	TRANSFERRED_EXACT_CARD > K+E+OL > TRANSFERRED_EXACT_CARD	nächster Posten; kurz weiter zuführen; Mass.	1
