master_card_id	master_form	value_de	slot	use_count	previous_palette_overlap	finality_rule
MC001	chdal	Zieltransfer	G5	2	NO	NOT_OBSERVED_AS_CLOSE
MC002	okeey	lange einwirken	G4	1	NO	NOT_OBSERVED_AS_CLOSE
MC004	ldy	abziehen; Schluss	G6	1	NO	ALWAYS_FIELD_FINAL
MC012	dl	Zusatz	G1	1	NO	NOT_OBSERVED_AS_CLOSE
MC013	otchor	Folgeansatz	G1	2	NO	NOT_OBSERVED_AS_CLOSE
MC017	okain	Anteil zugeben	G2	1	NO	NOT_OBSERVED_AS_CLOSE
MC020	solkeey	Langsammlung	G5	1	NO	NOT_OBSERVED_AS_CLOSE
MC025	dchedy	überführen; Schluss	G4	1	NO	ALWAYS_FIELD_FINAL
MC032	cheeky	länger bearbeiten	G3	1	NO	NOT_OBSERVED_AS_CLOSE
MC033	oiiin	Arbeitsstufe	G3	1	NO	NOT_OBSERVED_AS_CLOSE
MC034	cho	weitere Zutat	G2	2	NO	NOT_OBSERVED_AS_CLOSE
MC055	char	davon	G1	1	NO	NOT_OBSERVED_AS_CLOSE
MC073	qcthey	kurz vorbereiten	G3	2	NO	NOT_OBSERVED_AS_CLOSE
MC080	chor	Ansatz	G1	1	NO	NOT_OBSERVED_AS_CLOSE
MC113	shedal	am Ziel absetzen	G5	1	NO	NOT_OBSERVED_AS_CLOSE
MC120	okaiin	bemessen	G2	1	NO	NOT_OBSERVED_AS_CLOSE
MC123	chey	dies	G2	2	NO	NOT_OBSERVED_AS_CLOSE
MC128	cheedy	kurz absetzen; Schluss	G6	1	NO	ALWAYS_FIELD_FINAL
MC153	cheol	weiter	G4	1	NO	NOT_OBSERVED_AS_CLOSE
MC155	lchedy	abführen; Schluss	G4	1	NO	ALWAYS_FIELD_FINAL
