latent_item	occurrences	interpretation
OP_04:VALUE_0003:STATE_02	844	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0001:STATE_03	527	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0005:STATE_01	494	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0003:STATE_02	458	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0017:STATE_01	424	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0004:STATE_03	381	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0001:STATE_04	365	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0002:STATE_04	360	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0008:STATE_01	337	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0015:STATE_01	312	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0009:STATE_01	309	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_04:VALUE_0002:STATE_04	309	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0014:STATE_02	272	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0010:STATE_02	272	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0018:STATE_01	272	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0020:STATE_01	271	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0002:STATE_03	250	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_04:VALUE_0011:STATE_05	241	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_04:VALUE_0002:STATE_03	237	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0025:STATE_05	234	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0010:STATE_02	218	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0004:STATE_04	216	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_04:VALUE_0006:STATE_02	207	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0007:STATE_03	194	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0009:STATE_01	183	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0016:STATE_03	180	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0022:STATE_01	171	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0013:STATE_03	167	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0024:STATE_01	162	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0007:STATE_04	159	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0026:STATE_02	154	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0007:STATE_03	153	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0019:STATE_01	153	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0037:STATE_01	150	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0029:STATE_01	150	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0012:STATE_04	148	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0003:STATE_02	147	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0023:STATE_01	146	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0031:STATE_01	145	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0038:STATE_01	145	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0014:STATE_02	145	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0001:STATE_03	142	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0012:STATE_03	139	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0007:STATE_04	139	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0011:STATE_05	138	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0016:STATE_05	124	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0018:STATE_01	123	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_05:VALUE_0005:STATE_01	119	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0030:STATE_01	115	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0015:STATE_01	112	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_04:VALUE_0001:STATE_03	111	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0027:STATE_03	109	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0034:STATE_01	108	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0036:STATE_01	108	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0048:STATE_01	107	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0047:STATE_05	106	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_04:VALUE_0006:STATE_04	104	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0021:STATE_03	102	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0023:STATE_01	101	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0016:STATE_04	99	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0013:STATE_04	97	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0033:STATE_02	95	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0046:STATE_01	92	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0044:STATE_01	92	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0024:STATE_01	92	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0043:STATE_01	90	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0006:STATE_02	89	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_04:VALUE_0002:STATE_07	89	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0030:STATE_01	86	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0001:STATE_05	85	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0002:STATE_04	83	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0068:STATE_01	80	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0026:STATE_02	79	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0032:STATE_03	78	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0002:STATE_07	78	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0063:STATE_01	78	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0006:STATE_04	77	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0021:STATE_03	76	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_04:VALUE_0001:STATE_04	74	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0035:STATE_04	74	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0036:STATE_01	73	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0001:STATE_03	71	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_09:VALUE_0003:STATE_02	70	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0006:STATE_02	70	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0073:STATE_01	67	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0004:STATE_05	67	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0028:STATE_03	66	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0039:STATE_02	66	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0049:STATE_01	66	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0034:STATE_01	64	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0012:STATE_04	63	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0059:STATE_05	62	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0033:STATE_02	61	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0042:STATE_01	61	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0092:STATE_01	60	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0013:STATE_05	59	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0075:STATE_01	59	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0041:STATE_03	59	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0040:STATE_01	59	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_06:VALUE_0003:STATE_02	59	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0056:STATE_01	58	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0012:STATE_03	58	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0001:STATE_04	57	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0085:STATE_01	57	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0076:STATE_02	54	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0028:STATE_03	53	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0002:STATE_03	52	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0109:STATE_01	52	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_02:VALUE_0071:STATE_01	52	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_06:VALUE_0074:STATE_01	51	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0101:STATE_01	50	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_01:VALUE_0066:STATE_01	50	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_06:VALUE_0002:STATE_04	50	ANONYMOUS_OR_LITERAL_EXPLORATORY
OP_03:VALUE_0113:STATE_01	49	ANONYMOUS_OR_LITERAL_EXPLORATORY
