surface	page	locus	zl3b_line	it2a_line	rf1b_line	reader_support	working_meaning_de	decision
ckhy	f10r	f10r.4	sor chaiin chcthy ctho ckhy or aiin chtchor doiir ody	sor chaiin chcthy ctho ckhy or aiin chtchor doiir ody	sor chaiin chcthy cthockhy or aiin chtchor doiir ody	READER_VARIANT	Arzneikompositum am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ckhy	f22r	f22r.2	ol oiin shol o kor qokchol daiin okaiin cthor dain ckhy dom	ol oiin shol o kor qokchol daiin otaiin cthor dain ckhydom	ol oiin shol o kor qokchol daiin otaiin cthor dain ckhy dom	READER_VARIANT	Arzneikompositum am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ckhy	f24r	f24r.12	qokchy qotchy tol tod ckhy	qokchy qotchy tol tod ckhy	qokchy qotchy tol tod ckho	READER_VARIANT	Arzneikompositum am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ckhy	f34v	f34v.2	tol qokchy dychedy okchy chckhdy chdaiin ckhy loees ykar aiin oldam	tol qokchy dychedy okchy chckhdy chdaiin ckhy loees ykar aiin oldam	tol qokchy dyche y okchy chckh y ch aiin ckh loees ykar aiin ol am	READER_VARIANT	Arzneikompositum am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ckhy	f39v	f39v.6	lkedy okchey shor qoykam cho ckhy or aly shody	lkedy okchey shorqoy kam cho ckhcfhhy or aly shody	lke y okchey shor qoykam cho ckhy or aly shody	READER_VARIANT	Arzneikompositum am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ckhy	f40v	f40v.15	qokchey qody or aiiin o kaiin o ckhy sheod faimy	qokchey qody or aiiin okaiin o ckhy sheod faimy	qokchey qo y or aiiin okaiin ockhy sheod faimy	READER_VARIANT	Arzneikompositum am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ckhy	f49v	f49v.4	qokchy qokchod sho ckhy	qokchy qokchod sho cthy	qokchy qokchod sho ckhy	READER_VARIANT	Arzneikompositum am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ckhy	f81v	f81v.17	sshkchdy chedy ol shedy qolchedy qokain ckhy dl ral	sshkchdy chedy ol shedy qolchedy qokain shckhy dl ral	sshkchdy chedy ol shedy qolchedy qokain ckhy dl ral	READER_VARIANT	Arzneikompositum am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ckhy	f89v1	f89v1.19	sar a daiin ckhy qotchy okol ycheo cthody okol olkaycthy	sar a daiin ckhey qotchy okol ycheo cthody okol olkeeycthy	sar a aiin ckhy qotchy okol ycheo cthody okol olkaycthy	READER_VARIANT	Arzneikompositum am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ckhey	f51r	f51r.8	oshol odaiin ckhey ckheody qokey otydy	oshol odaiin ckhey ckheody qokey otydy	oshol odaiin y ckheody qokey otydy	READER_VARIANT	Arzneikompositum in der Gradmitte	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ckhey	f51v	f51v.12	ochockhy daiin cho ckhey	ochockhy daiin chockhey	chockhy daiin chockhey	READER_VARIANT	Arzneikompositum in der Gradmitte	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ckhdy	f115r	f115r.6	cheo ckhdy qotchdy qokedy qokar okeeeosaiin chl chedar chody qotar chedam chd	cheockhdy qotchdy qokedy qokar okeeeosaiin chl chedar chody qotar chedam chd	cheo ckh y qotchdy qokedy qokar okeeeoraiin chl che ar cho y qotar chedam chd	READER_VARIANT	Arzneikompositum am Gradanfang, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ckhdy	f33v	f33v.3	dar chckhy dy dyky ckhdy oky dam okar dy kam dy	dar chckhy dy dyky ckhdy oky dam okardy komdy	dar chckhy dyky ckh y oky am okardy kam y	READER_VARIANT	Arzneikompositum am Gradanfang, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ckhdy	f78r	f78r.32	qokedy ckhdy qokain chedy dalky lkain ykeedy okaly dy	qokedy ckhdy qokain chedy dalky lkain ykeedy okaly dy	qokedy ckh y qokain chedy dalky lkain ykeedy okaly dy	READER_VARIANT	Arzneikompositum am Gradanfang, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ckhedy	f43v	f43v.13	dshedy tedy ckhedy chekcheey dy keody otedy cheetam okedar amam	dshedy tedy ckhedy chekcheey dy keody otedy cheetam okedar amam	she y tedy ckhe y chekcheey dy keody ote y cheetam oke ar amam	READER_VARIANT	Arzneikompositum in der Gradmitte, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ockhey	f104v	f104v.3	shod chedy qotaiin odaiin okeol ockhey chol qokeedy qotair oeedaiin ol dl	shod chedy qotaiin odaiin okeol ockhhy chol qokeedy qotair oeedaiin ol dl	shod chedy qotaiin odaiin okeol oy chol qokeedy qotair oeedaiin ol dl	READER_VARIANT	Ansatz eines Arzneikompositums in der Gradmitte	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ockhey	f99r	f99r.48	ykeol okeol ockhey chol cheodal okeo r alcheeg orar	ykeol okeol o ckheo chol cheodal okeo r olcheem orar	keol okeol o ckhey chol cheodal keo r lcheeg orar	READER_VARIANT	Ansatz eines Arzneikompositums in der Gradmitte	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ockhedy	f105v	f105v.9	lcheey qoeees y daiin okairy otchedy ockhedy otchey daiin or r ail l okam	lcheey qoeees y daiin okairy otchedy ockhedy otchey daiin or r ain ookam	lcheey qoeees y daiin okairy otchedy ockhe otchey daiin or r ail l okam	READER_VARIANT	Ansatz eines Arzneikompositums in der Gradmitte, abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
