route_id	candidate_recipe	source_neighbor_recipe	register	source_observed_in_register	changed_atom_position	source_atom	source_local_value_de	target_atom	target_local_value_de	source_local_trace	target_local_trace	local_trace_delta_count	source_local_phrase_de	target_local_phrase_de	local_phrase_changed	target_matches_gdt431	decision
NR001	AL+AIN	AL+AIIN	SOURCE_SECTION_T	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	AIIN	KENNWERT	AIN	TEILWERT	1:RELATION=ZIELSPALTE | 2:ARGUMENT=KENNWERT	1:RELATION=ZIELSPALTE | 2:ARGUMENT=TEILWERT	1	An der Zielspalte: Kennwert.	An der Zielspalte: Teilwert.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR001	AL+AIN	AL+AIIN	HERBAL	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	AIIN	ARBEITSWERT	AIN	MATERIALANTEIL	1:RELATION=ZIELSTELLE | 2:ARGUMENT=ARBEITSWERT	1:RELATION=ZIELSTELLE | 2:ARGUMENT=MATERIALANTEIL	1	An der Zielstelle: Arbeitswert.	An der Zielstelle: Materialanteil.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR001	AL+AIN	AL+AIIN	BIOLOGICAL	YES	2	AIIN	STATIONSWERT	AIN	STATIONSANTEIL	1:RELATION=ZIELSTATION | 2:ARGUMENT=STATIONSWERT	1:RELATION=ZIELSTATION | 2:ARGUMENT=STATIONSANTEIL	1	An der Zielstation: Stationswert.	An der Zielstation: Stationsanteil.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR001	AL+AIN	AL+AIIN	CELESTIAL	YES	2	AIIN	POSITIONSWERT	AIN	SEKTORANTEIL	1:RELATION=ZIELPOSITION | 2:ARGUMENT=POSITIONSWERT	1:RELATION=ZIELPOSITION | 2:ARGUMENT=SEKTORANTEIL	1	An der Zielposition: Positionswert.	An der Zielposition: Sektoranteil.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR001	AL+AIN	AL+AIIN	PHARMA	YES	2	AIIN	MENGENWERT	AIN	DROGENANTEIL	1:RELATION=ZIELGEFÄSS | 2:ARGUMENT=MENGENWERT	1:RELATION=ZIELGEFÄSS | 2:ARGUMENT=DROGENANTEIL	1	Am Zielgefäß: Mengenwert.	Am Zielgefäß: Drogenanteil.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR002	AL+AIN	AL+OR	SOURCE_SECTION_T	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	OR	EINTRAGSEINHEIT	AIN	TEILWERT	1:RELATION=ZIELSPALTE | 2:ARGUMENT=EINTRAGSEINHEIT	1:RELATION=ZIELSPALTE | 2:ARGUMENT=TEILWERT	1	An der Zielspalte: Eintragseinheit.	An der Zielspalte: Teilwert.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR002	AL+AIN	AL+OR	HERBAL	YES	2	OR	ARBEITSEINHEIT	AIN	MATERIALANTEIL	1:RELATION=ZIELSTELLE | 2:ARGUMENT=ARBEITSEINHEIT	1:RELATION=ZIELSTELLE | 2:ARGUMENT=MATERIALANTEIL	1	An der Zielstelle: Arbeitseinheit.	An der Zielstelle: Materialanteil.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR002	AL+AIN	AL+OR	BIOLOGICAL	YES	2	OR	STATIONSEINHEIT	AIN	STATIONSANTEIL	1:RELATION=ZIELSTATION | 2:ARGUMENT=STATIONSEINHEIT	1:RELATION=ZIELSTATION | 2:ARGUMENT=STATIONSANTEIL	1	An der Zielstation: Stationseinheit.	An der Zielstation: Stationsanteil.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR002	AL+AIN	AL+OR	CELESTIAL	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	OR	POSITIONSEINHEIT	AIN	SEKTORANTEIL	1:RELATION=ZIELPOSITION | 2:ARGUMENT=POSITIONSEINHEIT	1:RELATION=ZIELPOSITION | 2:ARGUMENT=SEKTORANTEIL	1	An der Zielposition: Positionseinheit.	An der Zielposition: Sektoranteil.	YES	YES	LOCAL_CONTRAST_VISIBLE
NR002	AL+AIN	AL+OR	PHARMA	NO__COUNTERFACTUAL_REGISTER_EXPANSION	2	OR	ANSATZEINHEIT	AIN	DROGENANTEIL	1:RELATION=ZIELGEFÄSS | 2:ARGUMENT=ANSATZEINHEIT	1:RELATION=ZIELGEFÄSS | 2:ARGUMENT=DROGENANTEIL	1	Am Zielgefäß: Ansatzeinheit.	Am Zielgefäß: Drogenanteil.	YES	YES	LOCAL_CONTRAST_VISIBLE
