deck_no	card_no	front_surfaces	back_value_de	card_kind	occurrences	dominant_procedure_tokens	common_left_neighbors	common_right_neighbors	real_example_event	real_example_statement	real_example_owner	real_example_context	apprentice_prompt_de
1	PROC003	char|dar|sar	von dort	ATOMIC_CORE_CARD	5	SOURCE_DRAW:4|ACTIVATE_CHARGE:1	cthoor:1|daiin:1|okal:1|okain:1|qotal:1	END:2|chty:1|ol:1|okain:1	E003	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	cthoor [char] chty	Vorderseite erkennen; Wert sprechen; Besitzer nennen; linken und rechten Nachbarn lesen.
2	PROC005	os	Arbeitsfach	MEMORIZED_WHOLE_SIGN	1	TARGET_HANDOFF:1	chty:1	chair:1	E005	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	chty [os] chair	Vorderseite erkennen; Wert sprechen; Besitzer nennen; linken und rechten Nachbarn lesen.
3	PROC009	aiin|chaiin|daiin|saiin|taiin	Maß	ATOMIC_CORE_CARD	20	METER_CHECK:20	START:4|oky:1|chy:1|chol:1|dy:1	END:2|chey:2|etyd:1|shy:1|dar:1	E009	H1-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	oky [daiin] etyd	Vorderseite erkennen; Wert sprechen; Besitzer nennen; linken und rechten Nachbarn lesen.
4	PROC013	cheol|chol|ol|qol|sol|tol	fortsetzen	ATOMIC_CORE_CARD	19	CONTINUE_USE:19	START:2|qotchol:1|otol:1|cholor:1|sar:1	shedy:3|daiin:2|cthy:1|cholor:1|kain:1	E013	H1-S002	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qotchol [chol] cthy	Vorderseite erkennen; Wert sprechen; Besitzer nennen; linken und rechten Nachbarn lesen.
5	PROC016	chor|or|shor|sor	Ansatz	ATOMIC_CORE_CARD	7	ACTIVATE_CHARGE:7	START:2|cthy:1|qotchor:1|oykchor:1|shor:1	cthaiin:1|otol:1|chor:1|chy:1|y:1	E017	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	cthy [chor] cthaiin	Vorderseite erkennen; Wert sprechen; Besitzer nennen; linken und rechten Nachbarn lesen.
6	PROC019	chey|chy|dy|shy|sy|y	dies	ATOMIC_CORE_CARD	18	CONTINUE_USE:14|ACTIVATE_CHARGE:2|MOVE_PASS:1|TARGET_HANDOFF:1	or:2|START:2|daiin:2|qoctholy:1|dy:1	END:2|daiin:2|chy:1|taiin:1|kaiiin:1	E020	H2-S001	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	qoctholy [dy] chy	Vorderseite erkennen; Wert sprechen; Besitzer nennen; linken und rechten Nachbarn lesen.
7	PROC028	cfhy	auswringen	MEMORIZED_WHOLE_SIGN	1	SOURCE_DRAW:1	schoal:1	shfydaiin:1	E041	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	schoal [cfhy] shfydaiin	Vorderseite erkennen; Wert sprechen; Besitzer nennen; linken und rechten Nachbarn lesen.
8	PROC031	cheey|shey	Empfangsbestand	MEMORIZED_WHOLE_SIGN	4	HOLD_STATE:4	cphy:1|ls:1|lchy:1|qokain:1	tchody:1|END:1|qcthey:1|kain:1	E044	H3-S001	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	cphy [shey] tchody	Vorderseite erkennen; Wert sprechen; Besitzer nennen; linken und rechten Nachbarn lesen.
9	PROC034	dchol|schol	fortsetzen	ATOMIC_CORE_CARD	2	CONTINUE_USE:2	START:2	chy:1|choy:1	E047	H3-S003	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	START [dchol] chy	Vorderseite erkennen; Wert sprechen; Besitzer nennen; linken und rechten Nachbarn lesen.
10	PROC043	talam	verwahren	MEMORIZED_WHOLE_SIGN	1	CONTINUE_USE:1	chedy:1	END:1	E063	H4-S002	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	chedy [talam] END	Vorderseite erkennen; Wert sprechen; Besitzer nennen; linken und rechten Nachbarn lesen.
11	PROC052	cho|sho	Gabe	ATOMIC_CORE_CARD	4	ACTIVATE_CHARGE:4	chochor:1|daiin:1|sh:1|START:1	chodaly:1|kchol:1|kchey:1|chokchy:1	E075	H5-S001	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	chochor [cho] chodaly	Vorderseite erkennen; Wert sprechen; Besitzer nennen; linken und rechten Nachbarn lesen.
12	PROC055	al|chal|cheal|dal|sal|tal	Zielstelle	ATOMIC_CORE_CARD	10	TARGET_HANDOFF:10	START:4|choky:1|olkain:1|shcthy:1|chey:1	END:2|ol:1|teol:1|lchedar:1|lchedy:1	E082	H5-S001	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	choky [dal] END	Vorderseite erkennen; Wert sprechen; Besitzer nennen; linken und rechten Nachbarn lesen.
13	PROC058	sh	halten	ATOMIC_CORE_CARD	1	HOLD_STATE:1	START:1	cho:1	E087	H5-S003	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	START [sh] cho	Vorderseite erkennen; Wert sprechen; Besitzer nennen; linken und rechten Nachbarn lesen.
14	PROC072	dl	führen	ATOMIC_CORE_CARD	2	MOVE_PASS:2	rol:1|shckhy:1	olor:1|ral:1	E112	B1-S002	B1_SHARED_TWO_ROW_POOL	rol [dl] olor	Vorderseite erkennen; Wert sprechen; Besitzer nennen; linken und rechten Nachbarn lesen.
15	PROC115	ls	fortsetzen	ATOMIC_CORE_CARD	1	CONTINUE_USE:1	qoky:1	cheey:1	E196	B2-S010	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	qoky [ls] cheey	Vorderseite erkennen; Wert sprechen; Besitzer nennen; linken und rechten Nachbarn lesen.
16	PROC124	ches	teilen	MEMORIZED_WHOLE_SIGN	1	ACTIVATE_CHARGE:1	lchedar:1	aiin:1	E216	B2-S016	B2_LOWER_POOL_EDGE_STATIONS	lchedar [ches] aiin	Vorderseite erkennen; Wert sprechen; Besitzer nennen; linken und rechten Nachbarn lesen.
17	PROC156	dain	Portion	ATOMIC_CORE_CARD	2	ACTIVATE_CHARGE:2	START:1|ol:1	chedy:1|chey:1	E327	B4-S005	B4_MAIN_ARCH_LINKED_PAIR	START [dain] chedy	Vorderseite erkennen; Wert sprechen; Besitzer nennen; linken und rechten Nachbarn lesen.
