priority	rule	instruction
1	RECIPE	read registered core components in order
2	PACK	copy the exact learned card surface
3	OWNER	supply pictured plant, basin, vessel, station, or local item
4	CONTROL	OK start; OT next; OL continue
5	ACTION	CH take; SH hold; CTH prepare; T apply
6	TRANSFER	K add; L guide; CHD transfer; P fill inward
7	PROCESS	CHK warm; SHED leave standing; LSH rinse; R cool
8	MATERIAL	AIR water; OR batch; HO ingredient
9	PATH_PLACE	CKH passage; SOLK collection place; O procedure
10	QUANTITY_STAGE	AIIN prescribed measure; AIN portion; IIN stage
11	ADDRESS	AL target; AR source
12	GRADE	E short; EE long; EEE full
13	ENDPOINT	Y keep current; licensed DY closes
14	BOUND	AN only inside its learned frame
15	LOCAL	copy CFH/S/DA/LD from the owner-local exemplar
16	WHOLE	memorize OS/RESUME/TALAM as complete command cards
