contact_id	page	locus	anchor_surface	quality_surface	order	state_id	working_state_de	moisture	both_triple_token_stable	surface_line
G625-A001	f114r	f114r.22	dair	kchedy	ANCHOR_THEN_QUALITY	KCH	heiß-trocken	ch	0	tchedair shodaiin dair kchedy qopchdy chdy pdaiin qokair olchdy rodeedy qedy
G625-A002	f115r	f115r.10	dair	qotchedy	ANCHOR_THEN_QUALITY	TCH	kalt-trocken	ch	1	tchedy kechedy qokchey keedy qokor chedaiin dair qotchedy qotcheedy qekor
G625-A003	f13r	f13r.3	chor	ytshy	ANCHOR_THEN_QUALITY	TSH	kalt-feucht	sh	1	s y dchor shaiin oeees ykor chor ytshy ykchy kchy dar
G625-A004	f14v	f14v.2	cthy	otchy	ANCHOR_THEN_QUALITY	TCH	kalt-trocken	ch	1	okchor d chytshy oty chy cthy otchy ty chol daiin
G625-A005	f14v	f14v.6	cthy	chokchy	ANCHOR_THEN_QUALITY	KCH	heiß-trocken	ch	1	qoty choky cthy chokchy dy dy dy chckhy dchyd n
G625-A006	f16r	f16r.11	cthy	okchy	QUALITY_THEN_ANCHOR	KCH	heiß-trocken	ch	0	sokchy qokol choty okchy cthy chy kchy
G625-A007	f17r	f17r.5	cthy	ychekchy	QUALITY_THEN_ANCHOR	KCH	heiß-trocken	ch	1	ychekchy cthy chor shor cphor cphaldy dair cthey qody
G625-A008	f18r	f18r.12	cthy	qokchy	QUALITY_THEN_ANCHOR	KCH	heiß-trocken	ch	1	ychair cthol daiin qokchy cthy
G625-A009	f18v	f18v.1	shor	ytshy	ANCHOR_THEN_QUALITY	TSH	kalt-feucht	sh	0	told shor ytshy otchdal dchal dchy ytdg
G625-A010	f18v	f18v.6	chor	otchy	ANCHOR_THEN_QUALITY	TCH	kalt-trocken	ch	1	qotor chor otchy qokeees chy s ar ykar
G625-A011	f22r	f22r.12	cthy	okchy	ANCHOR_THEN_QUALITY	KCH	heiß-trocken	ch	0	odchaiin cthy okchy kchy dchol daiin ydaiin
G625-A012	f22v	f22v.3	cthy	otchy	QUALITY_THEN_ANCHOR	TCH	kalt-trocken	ch	1	qoky kchorl otchy cthy otchyky ytchol otam
G625-A013	f22v	f22v.8	cthy	qotchy	QUALITY_THEN_ANCHOR	TCH	kalt-trocken	ch	1	qotchy cthy qokol daiin dam
G625-A014	f23v	f23v.4	dair	okchey	QUALITY_THEN_ANCHOR	KCH	heiß-trocken	ch	1	okchey dair sholol ol dal otchor dar
G625-A015	f23v	f23v.6	shor	shkshy	ANCHOR_THEN_QUALITY	KSH	heiß-feucht	sh	1	tshol shor shkshy okol daiin otshor olsar
G625-A016	f28r	f28r.3	shor	chotchy	ANCHOR_THEN_QUALITY	TCH	kalt-trocken	ch	1	qotchaiin shor cthol cthol shor chotchy tchodar
G625-A017	f28v	f28v.2	chor	tchy	ANCHOR_THEN_QUALITY	TCH	kalt-trocken	ch	0	ykcholy qoty chy dy qokchol chor tchy qokchody cheor o
G625-A018	f28v	f28v.7	dair	chtshy	QUALITY_THEN_ANCHOR	TSH	kalt-feucht	sh	0	pchol oiir chol tsho daiin sho t chy chtshy dair am
G625-A019	f29v	f29v.1	shor	chetchy	ANCHOR_THEN_QUALITY	TCH	kalt-trocken	ch	1	kooiin shor chetchy ol ls shytchy cthy shy cho shy daiin
G625-A020	f29v	f29v.1	cthy	shytchy	QUALITY_THEN_ANCHOR	TCH	kalt-trocken	ch	0	kooiin shor chetchy ol ls shytchy cthy shy cho shy daiin
G625-A021	f29v	f29v.4	cthy	oltchy	ANCHOR_THEN_QUALITY	TCH	kalt-trocken	ch	1	ysho otshy okaiin cthy oltchy s shot sho okaiin
G625-A022	f2v	f2v.3	chor	otchy	QUALITY_THEN_ANCHOR	TCH	kalt-trocken	ch	1	otchy chor lshy chol chody chodain chcthy daiin
G625-A023	f34r	f34r.13	chor	qokchdy	QUALITY_THEN_ANCHOR	KCH	heiß-trocken	ch	1	ykeo lor ochey oly okaly kechdy qokchdy chor ar aiiin daly
G625-A024	f39v	f39v.6	shor	okchey	QUALITY_THEN_ANCHOR	KCH	heiß-trocken	ch	0	lkedy okchey shor qoykam cho ckhy or aly shody
G625-A025	f42v	f42v.14	cthy	kchy	QUALITY_THEN_ANCHOR	KCH	heiß-trocken	ch	0	qoteey chy kchy cthy ees choly sarar aral
G625-A026	f45v	f45v.1	shor	ykchy	ANCHOR_THEN_QUALITY	KCH	heiß-trocken	ch	1	korary chko kol chey fsholom shor ykchy dod opchaiin olald
G625-A027	f45v	f45v.11	chor	ytchy	ANCHOR_THEN_QUALITY	TCH	kalt-trocken	ch	1	or chor ytchy doiin dcholdy
G625-A028	f49r	f49r.1	shor	kchy	ANCHOR_THEN_QUALITY	KCH	heiß-trocken	ch	0	pychol dy shor shol shtchy shorpchor opchor shor kchy
G625-A029	f4r	f4r.6	chor	shytchy	ANCHOR_THEN_QUALITY	TCH	kalt-trocken	ch	1	chor shytchy dytcheey
G625-A030	f4v	f4v.7	chor	chokchy	ANCHOR_THEN_QUALITY	KCH	heiß-trocken	ch	0	torchy sheeor chor chokchy cphydy
