edge	surface_stem	component_recipe	literal_working_value_de	running_extension_type_count	running_matching_type_count	running_type_precision	residual_hit_count	residual_surfaces	audit_band	decision	decision_reason
PREFIX	ch	CH	NEHMEN	239	162	0.677824	1	chdaiirdainy	BELOW_PRECISION	DO_NOT_PROMOTE	precision or support gate not satisfied; no exception imported
SUFFIX	dy	Y	POSTEN	257	99	0.385214	2	arody|yddy	BELOW_PRECISION	DO_NOT_PROMOTE	precision or support gate not satisfied; no exception imported
SUFFIX	ey	E+Y	GRAD I · POSTEN	146	76	0.520548	1	opoeey	BELOW_PRECISION	DO_NOT_PROMOTE	precision or support gate not satisfied; no exception imported
SUFFIX	ody	O+DY	AUSFÜHRUNG · SCHLUSS	46	27	0.586957	1	arody	BELOW_PRECISION	DO_NOT_PROMOTE	precision or support gate not satisfied; no exception imported
SUFFIX	om	O+AM_ADDR	AUSFÜHRUNG · HIER	16	9	0.562500	2	arom|ofaom	BELOW_PRECISION	DO_NOT_PROMOTE	precision or support gate not satisfied; no exception imported
PREFIX	kor	K+OR	GEBEN · EINHEIT	2	2	1.000000	1	korainy	LOW_SUPPORT_EXACT	DO_NOT_PROMOTE	precision or support gate not satisfied; no exception imported
PREFIX	yky	Y+K+Y	POSTEN · GEBEN · POSTEN	1	1	1.000000	1	ykyd	LOW_SUPPORT_EXACT	DO_NOT_PROMOTE	precision or support gate not satisfied; no exception imported
SUFFIX	cfhy	CH+LOCAL_CHAR_F+Y	NEHMEN · HIER · POSTEN	1	1	1.000000	1	ykocfhy	LOW_SUPPORT_EXACT	DO_NOT_PROMOTE	precision or support gate not satisfied; no exception imported
SUFFIX	oin	O+IIN	AUSFÜHRUNG · STUFE	3	3	1.000000	1	opoiiinoin	LOW_SUPPORT_EXACT	DO_NOT_PROMOTE	precision or support gate not satisfied; no exception imported
SUFFIX	amy	AM_ADDR+Y	HIER · POSTEN	1	0	0.000000	1	ofchdamy	LOW_SUPPORT_INCONSISTENT	DO_NOT_PROMOTE	precision or support gate not satisfied; no exception imported
PREFIX	ar	AR	AUSGANG	7	6	0.857143	2	arom|arody	NEAR_THRESHOLD_REVIEW	PROMOTE_AFTER_PACKAGE_EXCEPTION	sole mismatch is a two-page exact P+AR+AR repeated-relation package
