semantic_delta_card_id	source_comparison_card_id	target_matrix_cell_id	target_action_recipe	target_register	support_recipe	support_register	support_register_relation	support_channel	alignment_mode	support_depth	aligned_shared_tokens	aligned_shared_portable_values_de	target_only_positions	target_only_tokens	target_only_portable_values_de	target_only_owner_values_de	carrier_only_positions	carrier_only_tokens	carrier_only_portable_values_de	carrier_only_owner_values_de	delta_operation	sentence_effect_de	source_inherited_argument_root	source_template	selected_old_clause_de	target_current_default_phrase_de	token_effect_checks	token_effect_checks_passed	semantic_phrase_delta_consistent	source_roundtrip_exact	target_phrase_changed	target_evidence_status_retained	working_root_meaning_changed	surface_prediction_made	occurrence_prediction_made	guard
G504-D01	G502-F01	G498-M239	SH+CH+E+Y	CELESTIAL	SH+E+Y	CELESTIAL	SAME_REGISTER	LOCAL_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	SH+E+Y	HALTEN · GRAD I · POSTEN	2	CH	NEHMEN	POSITION AUFNEHMEN	NONE	NONE	NONE	NONE	ADD_SERIAL_ACTION	Der Zielsatz ergänzt genau eine weitere Handlung in sichtbarer Reihenfolge.	NONE	GRADED_ACTION	Halte den Positionsposten; auf Grad I.	Halte den Positionsposten und nimm den Positionsposten auf; auf Grad I.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D02	G502-F02	G498-M240	SH+CH+E+Y	PHARMA	SH+E+Y	PHARMA	SAME_REGISTER	LOCAL_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	SH+E+Y	HALTEN · GRAD I · POSTEN	2	CH	NEHMEN	DROGENPOSTEN NEHMEN	NONE	NONE	NONE	NONE	ADD_SERIAL_ACTION	Der Zielsatz ergänzt genau eine weitere Handlung in sichtbarer Reihenfolge.	NONE	GRADED_ACTION	Halte den Drogenposten; auf Grad I.	Halte den Drogenposten und nimm den Drogenposten; auf Grad I.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D03	G502-F03	G498-M235	CH+CH+E+Y	PHARMA	CH+E+Y	PHARMA	SAME_REGISTER	LOCAL_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	CH+E+Y	NEHMEN · GRAD I · POSTEN	2	CH	NEHMEN	DROGENPOSTEN NEHMEN	NONE	NONE	NONE	NONE	COUNTED_REPEAT	Der zweite gleiche Handlungskopf wird flüssig als zweimal realisiert.	NONE	GRADED_ACTION	Nimm den Drogenposten; auf Grad I.	Nimm den Drogenposten zweimal; auf Grad I.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D04	G502-F04	G498-M365	OK+OR+Y	PHARMA	OK+Y	PHARMA	SAME_REGISTER	LOCAL_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	OK+Y	SETZEN · POSTEN	2	OR	EINHEIT	ANSATZEINHEIT	NONE	NONE	NONE	NONE	ADD_UNIT_ARGUMENT	Der Zielsatz ergänzt die owner-lokale Einheit als zweites Argument.	NONE	ACTION_ARGUMENT	Setze den Drogenposten als Ansatz an.	Setze die Ansatzeinheit und den Drogenposten als Ansatz an.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D05	G502-F05	G498-M370	CH+OR+Y	PHARMA	CH+OR	PHARMA	SAME_REGISTER	LOCAL_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	CH+OR	NEHMEN · EINHEIT	3	Y	POSTEN	DROGENPOSTEN	NONE	NONE	NONE	NONE	ADD_SECOND_POST_ARGUMENT	Der Zielsatz ergänzt den owner-lokalen Posten neben der Einheit.	NONE	ACTION_ARGUMENT	Nimm die Ansatzeinheit.	Nimm die Ansatzeinheit und den Drogenposten.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D06	G502-F06	G498-M207	CHD+AL+Y	HERBAL	CHD+Y	HERBAL	SAME_REGISTER	LOCAL_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	CHD+Y	BEARBEITEN · POSTEN	2	AL	ZIELORT	ZIELSTELLE	NONE	NONE	NONE	NONE	ADD_DESTINATION	Der Zielsatz ergänzt genau die owner-lokale Zielangabe.	NONE	ACTION_ARGUMENT	Bearbeite den Pflanzenposten.	Bearbeite den Pflanzenposten; zur Zielstelle.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D07	G502-F07	G498-M197	K+AL+Y	HERBAL	K+Y	HERBAL	SAME_REGISTER	LOCAL_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	K+Y	GEBEN · POSTEN	2	AL	ZIELORT	ZIELSTELLE	NONE	NONE	NONE	NONE	ADD_DESTINATION	Der Zielsatz ergänzt genau die owner-lokale Zielangabe.	NONE	ACTION_ARGUMENT	Gib den Pflanzenposten zu.	Gib den Pflanzenposten zu; zur Zielstelle.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D08	G502-F08	G498-M364	OK+OR+Y	CELESTIAL	OK+OR	CELESTIAL	SAME_REGISTER	LOCAL_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	OK+OR	SETZEN · EINHEIT	3	Y	POSTEN	POSITIONSPOSTEN	NONE	NONE	NONE	NONE	ADD_SECOND_POST_ARGUMENT	Der Zielsatz ergänzt den owner-lokalen Posten neben der Einheit.	NONE	ACTION_ARGUMENT	Setze die Positionseinheit.	Setze die Positionseinheit und den Positionsposten.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D09	G502-F09	G498-M380	K+OR+Y	PHARMA	K+OR	PHARMA	SAME_REGISTER	LOCAL_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	K+OR	GEBEN · EINHEIT	3	Y	POSTEN	DROGENPOSTEN	NONE	NONE	NONE	NONE	ADD_SECOND_POST_ARGUMENT	Der Zielsatz ergänzt den owner-lokalen Posten neben der Einheit.	NONE	ACTION_ARGUMENT	Gib die Ansatzeinheit zu.	Gib die Ansatzeinheit und den Drogenposten zu.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D10	G502-F10	G498-M389	CHD+OR+Y	CELESTIAL	CHD+Y	CELESTIAL	SAME_REGISTER	LOCAL_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	DIRECT_LOCAL_DELTA	CHD+Y	BEARBEITEN · POSTEN	2	OR	EINHEIT	POSITIONSEINHEIT	NONE	NONE	NONE	NONE	ADD_UNIT_ARGUMENT	Der Zielsatz ergänzt die owner-lokale Einheit als zweites Argument.	NONE	ACTION_ARGUMENT	Bearbeite den Positionsposten.	Bearbeite die Positionseinheit und den Positionsposten.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
