locus	ordinal	surface	context_decision	working_render_de	action_license	review_note
f18v.4	4	ykcho	HOLD_ACTION_DEFAULT	hieraus einen heiß-trockenen Ansatz bereiten	1	Nach einer heiß-trockenen Zustandskarte fügt y+kcho einen rückbezogenen neuen Ansatzschritt hinzu.
f21v.7	1	ykcho	HOLD_ACTION_WITH_NOMINAL_RIVAL	Hieraus einen heiß-trockenen Ansatz bereiten	1	Rezeptöffnender Imperativ vor Holz-/Trocken-/Gradfeldern; der nominale Rivale bleibt hier am stärksten.
f56r.6	1	ykcho	HOLD_ACTION_DEFAULT	Hieraus einen heiß-trockenen Ansatz bereiten	1	Der Ansatzschritt eröffnet die Zeile; die folgenden Schluss- und Messfelder beschreiben sein Ergebnis.
f86v3.20	2	ykcho	HOLD_ACTION_DEFAULT	hieraus einen heiß-trockenen Ansatz bereiten	1	Direkt nach einem Ausgangsposten und vor abgemessener Fraktion der stärkste anaphorische Handlungskontext.
f5r.1	1	kchody	HOLD_DEFAULT	fertiggestellter heiß-trockener Ansatz	0	Späteres chody derselben Zeile liefert den Minimalvergleich ohne vorangestelltes k.
f66r.57	3	kchody	HOLD_DEFAULT	fertiggestellter heiß-trockener Ansatz	0	Nach Materialmaß und vor weiterer Prozesskarte als fertiges Zwischenergebnis lesbar.
f86v5.24	5	kchody	HOLD_DEFAULT	fertiggestellter heiß-trockener Ansatz	0	Nominales Zustandsregister; Ergebnislesung ist lokaler als ein neuer Imperativ.
f87r.8	5	kchody	HOLD_DEFAULT	fertiggestellter heiß-trockener Ansatz	0	Zeilenfinal nach Pflanzenteil; typische Ergebnisposition.
f77r.38	7	ltaiin	HOLD_DEFAULT	Holzdroge, kalt auf Stufe III	0	Zwischen Zugebe- und Feuchtfeldern als konkret bezeichnetes Zugabegut lesbar.
f80v.27	7	oltaiin	HOLD_DEFAULT	Holzdrogenansatz, kalt auf Stufe III	0	Im Heiß-/Kaltregister sauberer Gegenpol zu den benachbarten Heizstufen.
f107r.40	1	lolkaiin	HOLD_DEFAULT	Holzstoff, heiß auf Stufe III	0	Vor Trocken-, Heiß- und Fraktionsfeldern eine direkte Stoff-/Stufenbezeichnung.
f112r.36	4	olchain	HOLD_DEFAULT	Holzdrogenansatz, trocken auf Stufe II	0	Zwischen trockenem Kompositum und heißem Endansatz ein abgestufter trockener Zwischenansatz.
f79r.17	7	aror	HOLD_DEFAULT	eine Portion der ersten Drogenfraktion	0	air or aror bildet den stärksten sichtbaren Fraktions-/Portionsvergleich.
f79v.21	9	aror	HOLD_DEFAULT	eine Portion der ersten Drogenfraktion	0	Zeilenfinal nach Grad- und Stofffeldern als Schlussmenge lesbar.
f79v.32	10	aror	HOLD_DEFAULT	eine Portion der ersten Drogenfraktion	0	Zeilenfinal nach trockenem Arzneikompositum als Portionsangabe lesbar.
f104r.28	4	aror	HOLD_DEFAULT	eine Portion der ersten Drogenfraktion	0	Direkt nach or in einem wiederholten Portion-/Fraktionsregister.
f106r.22	6	aror	HOLD_DEFAULT	eine Portion der ersten Drogenfraktion	0	Zwischen Präparatkopf und späterer Fraktion III ohne semantischen Gegenwert.
f106r.23	10	aror	HOLD_DEFAULT	eine Portion der ersten Drogenfraktion	0	Nach dar ergibt sich abgemessene Fraktion I gefolgt von einer Portion derselben Fraktion.
f86v6.5	11	taiky	HOLD_LOW_EXACT_WHOLE	kalt angesetzte Charge, leicht angewärmt	0	Zwischen Trockenpulver-Ansatz Form I und kalter Fraktion I; praktisch brauchbar, aber niedrigste Sicherheit.
f86v5.2	1	losair	HOLD_READER_SPLIT_DEFAULT	Zweite Fraktion des Drogenholzpostens	0	RF1b trennt los air und wählt zwei bereits gelernte Ganzwörter; lo+sair bleibt als sichtbarer Samenabsud-Rivale erhalten.
