component_id	component_type	value_de	program_card_types	all_ten_page_occurrences	variant_selector_uses	program_cards	teaching_rule_de
CORE_OK	OPERATION	Arbeitsgang ansetzen	4	22	18	qokeedy|qokedy|qokchdy|qokshedy	Setzt den folgenden Kern oder Posten in den laufenden Arbeitsgang.
CORE_CHED	OPERATION	umsetzen	9	24	19	schedy|dchedy|tchedy|qolchedy|olchedy|dalchdy|qotchedy|otchedy|otchdy|pchedy|qokchdy|lchedy|lochedy	CHD~CHED führt einen Posten in die nächste Arbeitsposition.
CORE_SHED	OPERATION	absetzen	3	14	11	shedy|tedy|solshedy|qokshedy	Lässt den aktuellen Posten ruhen oder sich absetzen.
CORE_CKHE	OPERATION	seihen	2	4	4	lcheckhedy|shckhedy	Führt den Posten durch einen Durchlass oder Seihweg.
CORE_CHK	OPERATION	wärmen	1	1	1	chkeedy	Markiert den lokalen Wärmegang; nicht mit CKHE verwechseln.
CORE_OLK	OPERATION	sammeln	1	3	2	olkeedy	Hält oder sammelt den Posten an der lokalen Sammelstelle.
DIR_L	DIRECTION	nach außen	4	12	9	ldy|lcheckhedy|lchedy|lochedy	Macht aus CHED/CKHE einen Auswärts-, Ablass- oder Abseihgang.
DIR_P	DIRECTION	nach innen	1	1	1	pchedy	Führt CHED zum lokalen Empfänger oder in die Arbeitsstelle.
TARGET_AL	ADDRESS	zur Zielstelle	2	2	2	dalchdy|daldy	Bindet den Arbeitsgang an die bezeichnete Stelle.
ORDER_OL	ORDER	weiter	3	6	5	oldy|qolchedy|olchedy|solshedy	Setzt denselben Arbeitsgang oder Vorposten fort.
ORDER_OT	ORDER	danach	4	7	6	qotchedy|otchedy|otchdy|otedy|qoteedy	Wählt die folgende lokale Ausführung.
MEDIUM_AIR	MEDIUM	Wasserlauf	1	1	1	dairydy	Bezeichnet in dieser Ausgabe den laufenden Flüssigkeitsweg.
GRADE_E	GRADE	kurz	2	10	8	qokedy|otedy	Kurzer oder direkter Kontakt-/Folgegrad in lizenzierten Reihen.
GRADE_EE	GRADE	länger	4	16	13	olkeedy|qokeedy|chkeedy|qoteedy	Anhaltender Kontakt-/Folgegrad in lizenzierten Reihen.
CLOSE_EXACT	ENDPOINT	Zelle schließen	28	78	64	ldy|oldy|schedy|dchedy|tchedy|qolchedy|olchedy|dalchdy|olkeedy|qotchedy|otchedy|sshkchdy|otchdy|pchedy|daldy|qokeedy|qokedy|rshedy|qokchdy|dairydy|chkeedy|lkedy|shedy|tedy|lcheckhedy|otedy|shckhedy|solshedy|qokshedy|lchedy|qokylddy|lochedy|qoteedy	Formale Rolle der ganzen exakten Karte; kein global abtrennbares DY-Suffix.
