page	locus	section	target_occurrences	target_ordinals	target_surfaces	rendering_classes	zl3b_line	v44_token_glosses_de	v45_token_glosses_de	v45_working_translation_de	v44_unknown_tokens	v45_unknown_tokens	v45_complete
f100v	f100v.16	P	1	9	okeor	EXACT_WHOLE	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy	[ykeeol:?] | trocken; nominal trockenes Gut/Material | trocken in der Mitte des Grades | [eeoseeo:?] | Samen-/Saatgutposten | vollständig eingeweichter Ansatz | Grundansatz bis zur mittleren Heizstufe erwärmt | trockenes Drogenmaterial, Mittelstufe | [okeor:?] | Grundansatz bis zur mittleren Heizstufe erwärmt | Qualitäts-/Wertfeld geschlossen	[ykeeol:?] | trocken; nominal trockenes Gut/Material | trocken in der Mitte des Grades | [eeoseeo:?] | Samen-/Saatgutposten | vollständig eingeweichter Ansatz | Grundansatz bis zur mittleren Heizstufe erwärmt | trockenes Drogenmaterial, Mittelstufe | eine Portion Ansatz bis zur Mittelstufe erhitzen | Grundansatz bis zur mittleren Heizstufe erwärmt | Qualitäts-/Wertfeld geschlossen	[ykeeol:?]; Trockengut; bis zur mittleren Trockenstufe; [eeoseeo:?]; Samen-/Saatgutposten; vollständig eingeweichter Ansatz; Grundansatz bis zur mittleren Heizstufe erwärmt; trockenes Drogenmaterial, Mittelstufe; eine Portion Ansatz bis zur Mittelstufe erhitzen; Grundansatz bis zur mittleren Heizstufe erwärmt.	3	2	0
f100v	f100v.18	P	2	5|9	cheeor|chod	EXACT_WHOLE|CHOD_ACTION	tachso s ol cheo cheeor odaidy ckhod sh chod qokeol sal	[tachso:?] | Samen-/Saatgutposten | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken angesetzte Zubereitung | [cheeor:?] | [odaidy:?] | [ckhod:?] | [sh:?] | [chod:?] | erhitze den Drogenstoff bis zur Mittelstufe | Saat-Rohstoff I	[tachso:?] | Samen-/Saatgutposten | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken angesetzte Zubereitung | eine Portion vollständig getrocknete Droge | [odaidy:?] | [ckhod:?] | [sh:?] | Trockenansatz abschließen | erhitze den Drogenstoff bis zur Mittelstufe | Saat-Rohstoff I	[tachso:?]; Samen-/Saatgutposten; Grundansatz; trocken angesetzte Zubereitung; eine Portion vollständig getrocknete Droge; [odaidy:?]; [ckhod:?]; [sh:?]; Trockenansatz abschließen; erhitze den Drogenstoff bis zur Mittelstufe; Saat-Rohstoff I	6	4	0
f102v1	f102v1.14	P	1	5	aeky	EXACT_WHOLE	chor cheor ckhey oteol aeky	Pflanzen-/Reproduktionsteil | trockener Drogenteil | Arzneikompositum in der Gradmitte | Drogenstoff im Ansatz bis zur Mittelstufe abkühlen | [aeky:?]	Pflanzen-/Reproduktionsteil | trockener Drogenteil | Arzneikompositum in der Gradmitte | Drogenstoff im Ansatz bis zur Mittelstufe abkühlen | einen Teil bis zur Mittelstufe erhitzen und abschließen	Pflanzenteil; trockener Drogenteil; Arzneikompositum in der Gradmitte; Drogenstoff im Ansatz bis zur Mittelstufe abkühlen; einen Teil bis zur Mittelstufe erhitzen und abschließen	1	0	1
f102v1	f102v1.23	P	1	1	ksheody	KSHEODY_ACTION	ksheody sho qokey sheody qockhey olcheor odain okchody	[ksheody:?] | feuchter Ansatz | heiß in der Mitte des Grades | angefeuchteter Ansatz, abgeschlossen | Arzneikompositum-Ansatz bis zur Mittelstufe aufbereiten | [olcheor:?] | Zubereitungsdosis II | [okchody:?]	Ansatz erhitzen, bis zur Mittelstufe einweichen und fertigstellen | feuchter Ansatz | heiß in der Mitte des Grades | angefeuchteter Ansatz, abgeschlossen | Arzneikompositum-Ansatz bis zur Mittelstufe aufbereiten | [olcheor:?] | Zubereitungsdosis II | [okchody:?]	Ansatz erhitzen, bis zur Mittelstufe einweichen und fertigstellen; feuchter Ansatz; bis zur mittleren Heizstufe; angefeuchteter Ansatz, abgeschlossen; Arzneikompositum-Ansatz bis zur Mittelstufe aufbereiten; [olcheor:?]; Zubereitungsdosis II; [okchody:?]	3	2	0
f102v2	f102v2.20	P	1	11	tody	TODY_ACTION	qokeor cho keeol okeeey qokeody chockhey qokeey dol ol sheeoy tody cheoc	[qokeor:?] | Trockenansatz | stark erhitzter Drogenstoff | [okeeey:?] | [qokeody:?] | Arzneikompositum im Trockenansatz in der Gradmitte | heiß am Ende des Grades | Materialmaß | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [sheeoy:?] | [tody:?] | [cheoc:?]	[qokeor:?] | Trockenansatz | stark erhitzter Drogenstoff | [okeeey:?] | [qokeody:?] | Arzneikompositum im Trockenansatz in der Gradmitte | heiß am Ende des Grades | Materialmaß | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [sheeoy:?] | kalten Ansatz fertigstellen | [cheoc:?]	[qokeor:?]; Trockenansatz; stark erhitzter Drogenstoff; [okeeey:?]; [qokeody:?]; Arzneikompositum im Trockenansatz in der Gradmitte; bis zur Heizendstufe; Materialmaß; Grundansatz; [sheeoy:?]; kalten Ansatz fertigstellen; [cheoc:?]	6	5	0
f102v2	f102v2.22	P	1	14	okeor	EXACT_WHOLE	dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho	Grad-/Maßwert II | Drogenportion | Menge III | trockener Drogenstoff | Samen-/Saatgutposten | [oiir:?] | trocken; nominal trockenes Gut/Material | feucht am Ende des Grades | bereite einen Arzneikompositum-Ansatz in Grundstufe | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [keo:?] | Wurzel | [okeody:?] | [okeor:?] | Trockenansatz	Grad-/Maßwert II | Drogenportion | Menge III | trockener Drogenstoff | Samen-/Saatgutposten | [oiir:?] | trocken; nominal trockenes Gut/Material | feucht am Ende des Grades | bereite einen Arzneikompositum-Ansatz in Grundstufe | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [keo:?] | Wurzel | [okeody:?] | eine Portion Ansatz bis zur Mittelstufe erhitzen | Trockenansatz	zwei Maße; Drogenportion; drei Teile; trockener Drogenstoff; Samen-/Saatgutposten; [oiir:?]; Trockengut; vollständig eingeweicht; bereite einen Arzneikompositum-Ansatz in Grundstufe; Grundansatz; [keo:?]; Wurzel; [okeody:?]; eine Portion Ansatz bis zur Mittelstufe erhitzen; Trockenansatz	4	3	0
f102v2	f102v2.32	P	1	9	cheeor	EXACT_WHOLE	dar cheor shoar okeol shoy s ar oky cheeor ol daiin sy	abgemessene Fraktion I | trockener Drogenteil | [shoar:?] | Grundansatz bis zur mittleren Heizstufe erwärmt | [shoy:?] | Samen-/Saatgutposten | Drogenfraktion I | heißer Ansatz am Anfang des Grades | [cheeor:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Qualitätsgrad III | Saatgut in Grundform	abgemessene Fraktion I | trockener Drogenteil | [shoar:?] | Grundansatz bis zur mittleren Heizstufe erwärmt | [shoy:?] | Samen-/Saatgutposten | Drogenfraktion I | heißer Ansatz am Anfang des Grades | eine Portion vollständig getrocknete Droge | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Qualitätsgrad III | Saatgut in Grundform	abgemessene Fraktion I; trockener Drogenteil; [shoar:?]; Grundansatz bis zur mittleren Heizstufe erwärmt; [shoy:?]; Samen-/Saatgutposten; Drogenfraktion I; leicht erhitzter Ansatz; eine Portion vollständig getrocknete Droge; Grundansatz; Stufe III; Saatgut in Grundform	3	2	0
f103r	f103r.10	S	1	11	teolshy	TEOLSHY_ACTION	daiin ol oain okeol chol okam chety shedy otaiin shedy teolshy oteedy sor ain	Grad-/Maßwert III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | zwei Teile Ansatz | Grundansatz bis zur mittleren Heizstufe erwärmt | trocken; nominal trockenes Gut/Material | ein Maß heißen Ansatzes | trocken-kalte gebundene Form | feucht in der Mitte des Grades, abgeschlossen | kalt im Zubereitungsrahmen, Grad III | feucht in der Mitte des Grades, abgeschlossen | [teolshy:?] | kalter Ansatz am Ende des Grades, abgeschlossen | Samenportion | Menge-/Klassenwert II	Grad-/Maßwert III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | zwei Teile Ansatz | Grundansatz bis zur mittleren Heizstufe erwärmt | trocken; nominal trockenes Gut/Material | ein Maß heißen Ansatzes | trocken-kalte gebundene Form | feucht in der Mitte des Grades, abgeschlossen | kalt im Zubereitungsrahmen, Grad III | feucht in der Mitte des Grades, abgeschlossen | Drogenstoff bis zur Mittelstufe abkühlen, einweichen und abschließen | kalter Ansatz am Ende des Grades, abgeschlossen | Samenportion | Menge-/Klassenwert II	drei Maße; Grundansatz; zwei Teile Ansatz; Grundansatz bis zur mittleren Heizstufe erwärmt; Trockengut; ein Maß heißen Ansatzes; trocken-kalte gebundene Form; bis zur mittleren Einweichstufe gebracht; kalt im Zubereitungsrahmen, Grad III; bis zur mittleren Einweichstufe gebracht; Drogenstoff bis zur Mittelstufe abkühlen, einweichen und abschließen; Ansatz auf Kühlendstufe abgeschlossen; Samenportion; zwei Teile	1	0	1
f103r	f103r.35	S	1	7	shedain	EXACT_WHOLE	qoker chain olain chey kain sheol shedain qokeedy ykeedy lcheg	[qoker:?] | trocken, Grad II | Drogenstoff, Menge II | trocken in der Mitte des Grades | heiß, Grad II | feuchtes Material | [shedain:?] | heiß am Ende des Grades, abgeschlossen | Eintrag/Bezug: heiß am Gradende, abgeschlossen | [lcheg:?]	[qoker:?] | trocken, Grad II | Drogenstoff, Menge II | trocken in der Mitte des Grades | heiß, Grad II | feuchtes Material | zwei Dosen bis zur Mittelstufe eingeweichter Droge | heiß am Ende des Grades, abgeschlossen | Eintrag/Bezug: heiß am Gradende, abgeschlossen | [lcheg:?]	[qoker:?]; trocken, Grad II; zwei Teile Holzdrogenansatz; bis zur mittleren Trockenstufe; heiß, Grad II; feuchtes Material; zwei Dosen bis zur Mittelstufe eingeweichter Droge; bis zur Heizendstufe gebracht; Eintrag/Bezug: heiß am Gradende, abgeschlossen; [lcheg:?]	3	2	0
f103r	f103r.6	S	1	12	san	EXACT_WHOLE	ocheey dain shek okeedy okey shedy qokealdy shcthy qotedy qoto ota san am	[ocheey:?] | Grad-/Maßwert II | [shek:?] | heißer Ansatz am Ende des Grades, abgeschlossen | heißer Ansatz in der Mitte des Grades | feucht in der Mitte des Grades, abgeschlossen | [qokealdy:?] | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | kalt in der Mitte des Grades, abgeschlossen | [qoto:?] | [ota:?] | [san:?] | Maßeinheit I	[ocheey:?] | Grad-/Maßwert II | [shek:?] | heißer Ansatz am Ende des Grades, abgeschlossen | heißer Ansatz in der Mitte des Grades | feucht in der Mitte des Grades, abgeschlossen | [qokealdy:?] | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | kalt in der Mitte des Grades, abgeschlossen | [qoto:?] | [ota:?] | ein Teil Saatgut | Maßeinheit I	[ocheey:?]; zwei Maße; [shek:?]; Ansatz auf Heizendstufe abgeschlossen; Ansatz bis zur mittleren Heizstufe; bis zur mittleren Einweichstufe gebracht; [qokealdy:?]; feuchte Krautdroge; bis zur mittleren Kühlstufe gebracht; [qoto:?]; [ota:?]; ein Teil Saatgut; Maßeinheit I	6	5	0
