whole	world	meaning_de	confidence	origin	evidence_or_motivation	unresolved_cost
otchol	Q_R	dieses?	C0_UNCONFIRMED	GDT813 inherited	Repeated otchol-X-Y-chol written construction	Demonstrative and syntax unproved; f4r short form prevents obligatory slots
cthar	Q_R	Wurzel?	C0_UNCONFIRMED	GDT813 inherited	f17r concrete plant-part comparison	No independently identified root or language
chol	Q_R	humoral trocken?	C0_UNCONFIRMED	GDT813 inherited plus GDT816 post-external frame	Quality-description comparator; f88r.22 with proposed juice	Not physical drying; quality frame additional assumption not prior success
dan	Q_R	sehr wenig?	C0_UNCONFIRMED	GDT812 scalar A	Fixed complete-form scalar rival	No calibrated numerical value; comparison and ordinal rivals remain
dain	Q_R	wenig?	C0_UNCONFIRMED	GDT812 scalar A	Fixed complete-form scalar rival	No decoded scale or unit
daiin	Q_R	viel?	C0_UNCONFIRMED	GDT812 scalar A	Fixed complete-form scalar rival	No decoded scale or unit; odaiin not merged
daiiin	Q_R	sehr viel?	C0_UNCONFIRMED	GDT812 scalar A	Fixed complete-form scalar rival	No decoded scale or unit
okol	Q_JOINT	pflanzliches Arzneimaterial?	C0_UNCONFIRMED	GDT816 apothecary proposal	Known f88r.15 label and .19 recurrence; f24v.4 pair	No plant identification; f71v.12 circular-record content unexplained
okol	R_JOINT	ganze Pflanze?	C0_UNCONFIRMED	GDT816 apothecary proposal	Explicit possible owner of ychey at f88r.22	f24v.4 instead needs owner of plant; f71v.12 cross-register debt
chor	Q_R	Blätter?	C0_UNCONFIRMED	GDT816 apothecary proposal	Two repeated mentions after proposed plant in f88r	No leaf anchor; repeated meanings do not identify plant part
ychey	Q_R	Pflanzensaft?	C0_UNCONFIRMED	GDT816 apothecary proposal	Possible plant product at f88r.22; historical plant-juice properties	f69v.2 full C record unresolved; no pressing action or identified juice
otedy	Q_R	Wasserquelle?	C0_UNCONFIRMED	GDT816 physician proposal	Known f77r.3 label and NEXT paragraph opener .25	No visible natural source owner; f95v2 plant context unresolved; not Quellwasser
qokain	Q_R	Wasser?	C0_UNCONFIRMED	GDT816 physician proposal	Concrete medium fits proposed source relation; repeated through f77r/f75r	No identifying word-picture anchor or predicate; qokaiin remains unknown
solkeey	Q_R	Wasserdampf?	C0_UNCONFIRMED	GDT816 physician proposal	Possible second substance with qokain at f77r.35	Weakest noun; no identified steam; f81v.19/f83r.52 do not identify it
okaiin	Q_JOINT	humoral warm?	C0_UNCONFIRMED	GDT814 Q plus GDT816 post-external joint frame	Local property attachment possible without a pronoun antecedent	Physician used physical warmth; historically heated water is not thereby naturally warm
okaiin	R_JOINT	dessen?	C0_UNCONFIRMED	GDT814 R plus GDT816 explicit owners	Named plant/juice and source/water/vapour candidate relations	f81v.1-9 lacks earlier otedy; f24v owner unresolved; no nearest-noun rule
okaiin	N_RETAINED	Pulver?	C0_UNCONFIRMED	GDT813	Concrete f17r content-word rival	No identified powder; does not inherit new GDT816 nouns
okaiin	G_RETAINED	ist?	C0_UNCONFIRMED	GDT813	Copula construction rival	Standalone inscription and scope problems remain; no POS decoded
okaiin	K_RETAINED	kalt?	C0_UNCONFIRMED	GDT815	Separate thermal-polarity rival	No thermal frame or temperature decoded; does not inherit GDT816 nouns
okaiin	B_RETAINED	bitter?	C0_UNCONFIRMED	GDT815	Historical root taste comparator	No literal star taste through invisible medicinal relation
