master_card_id	master_form	registered_surfaces	old_default_de	component_parse	revised_compositional_reading_de	composition_status	memorized_residue	occurrence_count	event_ids	apprentice_rule
MC006	chokcheo	chokcheo	Auszug einsetzen	OK + CHEO	Auszug einsetzen	FULL_COMPOSITION	NONE	1	E092	build from shared components
MC015	qokokchy	qokokchy	erneut einsetzen	OK + OK + Y	denselben Posten erneut einsetzen	FULL_COMPOSITION	NONE	1	E090	build from shared components
MC021	oltchy	oltchy	Folgebereitung	OL + TCH + Y	die laufende Bereitung fortsetzen	PARTIAL_COMPOSITION	TCH preparation core	1	E070	build shared frame and memorize one residual core
MC037	tchody	tchody	kalt stellen; Schluss	TCHO + DY	kalt stellen; Schluss	LEARNED_WHOLE_OPERATION	TCHO cold-setting operation	1	E045	memorize as one short operation sign
MC041	okchol	okchol	weiter einsetzen	OK + OL	die Fortsetzung einsetzen	FULL_COMPOSITION	NONE	1	E053	build from shared components
MC048	kaiiin	kaiiin	Bearbeitungsstufe	K + IIN	die Arbeitsstufe setzen	FULL_COMPOSITION	NONE	1	E036	build from shared components
MC053	otol	otol	Fortgang	OT + OL	anschließend fortsetzen	FULL_COMPOSITION	NONE	1	E026	build from shared components
MC068	sotodan	sotodan	Folgeanwendung	SOTODAN	als Folgeanwendung führen	LEARNED_WHOLE_OPERATION	SOTODAN follow-up application	1	E097	memorize as one short operation sign
MC077	kchal	kchal	Zielbearbeitung	K + AL	an der Zielstelle bearbeiten	FULL_COMPOSITION	NONE	1	E093	build from shared components
MC090	kchol	kchol	weiter bearbeiten	K + OL	weiter bearbeiten	FULL_COMPOSITION	NONE	1	E079	build from shared components
MC099	cheeckhody	cheeckhody	auftragen; Schluss	CHEECKHO + DY	auftragen; Schluss	LEARNED_WHOLE_OPERATION	CHEECKHO application operation	1	E086	memorize as one short operation sign
MC100	ody	ody	abkühlen; Schluss	O + DY	abkühlen; Schluss	LEARNED_WHOLE_OPERATION	O cooling operation	1	E060	memorize as one short operation sign
MC103	qokchy	qokchy|okchy|chokchy	weiterbearbeiten	OK + Y	den laufenden Posten einsetzen und weiterbearbeiten	FULL_COMPOSITION	NONE	3	E011|E091|E095	build from shared components
MC104	keol	keol	kurz weiterbearbeiten	K + E + OL	kurz weiterbearbeiten	FULL_COMPOSITION	NONE	1	E099	build from shared components
MC107	qotchy	qotchy	nächster Posten	OT + Y	zum nächsten Posten wechseln	FULL_COMPOSITION	NONE	1	E052	build from shared components
MC111	shfydaiin	shfydaiin	Stehzeit	SHFY + AIIN	eine vorgeschriebene Stehzeit einhalten	PARTIAL_COMPOSITION	SHFY standing core	1	E042	build shared frame and memorize one residual core
MC115	qoctholy	qoctholy	bereiter Folgeposten	OT + OL + Y	den bereiten Folgeposten wählen	FULL_COMPOSITION	NONE	1	E019	build from shared components
MC117	kchy	kchy	Bearbeiten	K + Y	den laufenden Posten bearbeiten	FULL_COMPOSITION	NONE	1	E049	build from shared components
MC122	kchey	kchey	Kurzbearbeitung	K + E + Y	den laufenden Posten kurz bearbeiten	FULL_COMPOSITION	NONE	1	E089	build from shared components
MC129	cfhy	cfhy	auswringen	CFHY	auswringen	LEARNED_WHOLE_OPERATION	CFHY wringing operation	1	E041	memorize as one short operation sign
MC142	dchol	dchol|schol	vom vorigen	D + OL	vom vorigen Arbeitsgang nehmen	PARTIAL_COMPOSITION	D previous-source core	2	E047|E083	build shared frame and memorize one residual core
MC156	cphy	cphy	nachseihen	CPHY	nachseihen	LEARNED_WHOLE_OPERATION	CPHY second-straining operation	1	E043	memorize as one short operation sign
MC158	cthoor	cthoor	Vorbereitung	CTH + OR	den Ansatz bereitstellen	FULL_COMPOSITION	NONE	1	E002	build from shared components
MC163	qotchol	qotchol	Folgegang	OT + OL	den Folgegang fortsetzen	FULL_COMPOSITION	NONE	1	E012	build from shared components
MC169	cthaiin	cthaiin	Sollvorbereitung	CTH + AIIN	die Sollvorbereitung setzen	FULL_COMPOSITION	NONE	1	E018	build from shared components
