predicted_recipe	predicted_reading_de	present_on_fixed_pages	surface_policy
OK+EEE+Y	vollstaendig ansetzen und aktiv lassen	NO	LOOK_UP_OR_COPY_EXACT_CARD__DO_NOT_GENERATE_FROM_LETTERS
SOLK+DY	auffangen und unmittelbar schliessen	NO	LOOK_UP_OR_COPY_EXACT_CARD__DO_NOT_GENERATE_FROM_LETTERS
SOLK+E+DY	kurz auffangen und schliessen	NO	LOOK_UP_OR_COPY_EXACT_CARD__DO_NOT_GENERATE_FROM_LETTERS
SOLK+EEE+Y	vollstaendig auffangen und aktiv lassen	NO	LOOK_UP_OR_COPY_EXACT_CARD__DO_NOT_GENERATE_FROM_LETTERS
SOLK+EEE+DY	vollstaendig auffangen und schliessen	NO	LOOK_UP_OR_COPY_EXACT_CARD__DO_NOT_GENERATE_FROM_LETTERS
SH+Y	halten und aktiv lassen	NO	LOOK_UP_OR_COPY_EXACT_CARD__DO_NOT_GENERATE_FROM_LETTERS
SH+DY	halten und schliessen	NO	LOOK_UP_OR_COPY_EXACT_CARD__DO_NOT_GENERATE_FROM_LETTERS
SH+EEE+DY	vollstaendig halten und schliessen	NO	LOOK_UP_OR_COPY_EXACT_CARD__DO_NOT_GENERATE_FROM_LETTERS
P+AIN	eine Portion einfuellen	NO	LOOK_UP_OR_COPY_EXACT_CARD__DO_NOT_GENERATE_FROM_LETTERS
LSH+EE+DY	laenger waschen und schliessen	NO	LOOK_UP_OR_COPY_EXACT_CARD__DO_NOT_GENERATE_FROM_LETTERS
CFH+DY	auswringen und schliessen	NO	LOOK_UP_OR_COPY_EXACT_CARD__DO_NOT_GENERATE_FROM_LETTERS
CHD+EE+Y	laenger umsetzen und aktiv lassen	NO	LOOK_UP_OR_COPY_EXACT_CARD__DO_NOT_GENERATE_FROM_LETTERS
