surface	default_de	alternate_1_de	alternate_2_de	confidence	analogy_tier	functional_axes	cache_occurrences	reader_exact_occurrences	reader_exact_pages	positive_evidence	counterevidence	source_evidence	card_class	renderer_scope	selected_by_exploratory_policy	literal_identity	confirmed_lexeme	component_export_credit	numeric_identity_confirmed	specific_substance_confirmed	default_is_translation
chockhar	Trockenzubereitung	heiße Ansatzfraktion	trockener Arzneistoff	C0_ANALOGY_C0_IDENTITY	A2_DISTANCE2_MULTIWHOLE_CONSENSUS	DRY|PREPARATION	2	2	2	Fünf vollständige Distanz-2-Karten liefern DRY|PREPARATION; beide Cachevorkommen sind reader-exakt.	Kein sauberer Distanz-1-Nachbar; nur ein zielunabhängiges exaktes Vorkommen; Zubereitung, Material und heiße Fraktion bleiben unterscheidbar.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD|GDT762_CANDIDATE_DIRECT_NEIGHBOR_DECK	A2_CLEAN_COMPLETE_WHOLE_PROJECTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
sheeoy	feuchter Endzustand	Feuchtzubereitung	Einweich-/Abschlussvorgang	C1_ANALOGY_C0_IDENTITY	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	MOIST|END_STAGE	1	1	1	Sechs vollständige Distanz-1-Karten konvergieren auf MOIST|END_STAGE; die neue vollständige Karte sheeol=Endzustand liegt ebenfalls in Distanz 1 und verstärkt END_STAGE.	Singleton; Träger und Funktion bleiben offen; HOT, PREPARATION, PROCESS und BEGIN_STAGE erscheinen als Rivalachsen.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD|GDT780_TWO_WHOLE_SPECS:sheeol	A3_CLEAN_COMPLETE_WHOLE_PROJECTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
ear	Stoffanteil	heiße Fraktion	kalte Fraktion	C1_ANALOGY_C0_IDENTITY	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	PART|MATERIAL	1	1	1	Die vollständigen Distanz-1-Karten ar, dar, kar und tar teilen PART|MATERIAL.	Singleton; HOT und COLD widersprechen sich; keine Teilnummer, Einheit oder konkrete Substanz ist identifiziert.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD	A3_CLEAN_COMPLETE_WHOLE_PROJECTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
cheedaiin	Trockenmenge, Mittelstufe	Trockenmenge, Endstufe	getrocknete Zubereitung	C1_ANALOGY_C0_IDENTITY	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	DRY|AMOUNT|MIDDLE_STAGE	5	4	3	Die drei vollständigen Distanz-1-Karten chedaiin, cheedain und cheodaiin ergeben DRY|AMOUNT|MIDDLE_STAGE; vier reader-exakte Vorkommen liegen auf drei Seiten.	Der zielunabhängige Serienrahmen f112v.24 ergibt END_STAGE, ist aber ausdrücklich B0_NO_WHOLE_FORM_BRIDGE; MATERIAL, PREPARATION und END_STAGE bleiben Rivalen; keine Zahl oder Einheit ist bestätigt.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD|G748-E0313|GDT762_CANDIDATE_DIRECT_NEIGHBOR_DECK	A3_CLEAN_COMPLETE_WHOLE_PROJECTION_WITH_EXTERNAL_CONFLICT	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
keeor	erhitzter Arzneistoff	heiße Portion	erhitzter Endzustand	C1_ANALOGY_C0_IDENTITY	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	HOT|MATERIAL	6	2	2	Die vollständigen Distanz-1-Karten keear, keeol und keor teilen HOT|MATERIAL; zwei Vorkommen auf zwei Seiten sind reader-exakt und beide medial.	Nur 2 von 6 Cacheoberflächen sind in allen Lesungen exakt; AMOUNT, PART und END_STAGE bleiben Rivalachsen; das externe exakte Locus ist im publizierten Aggregat nicht zeilenweise ausgewiesen.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD|GDT762_CANDIDATE_DIRECT_NEIGHBOR_DECK|GDT762_DIRECTED_PATTERN_NULL_CENSUS	A3_CLEAN_COMPLETE_WHOLE_PROJECTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
keeed	vollständig erhitzt	feuchte Endstufe	abgeschlossene Zubereitung	C0_ANALOGY_C0_IDENTITY	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	HOT|END_STAGE	1	1	1	Die nächste vollständige Karte keed und der Radius-2-Kreis ergeben HOT|END_STAGE.	Singleton; MOIST, MATERIAL, PREPARATION, CLOSE und PASS bleiben Rivalachsen; die Funktion als Zustand oder Vorgang ist offen.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD	A2_CLEAN_COMPLETE_WHOLE_PROJECTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
otlaiin	Kaltansatz, Stufe III	Stoffmenge III	behandelter Mittelstufenansatz	C1_ANALOGY_C0_IDENTITY	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	COLD|PREPARATION|LEVEL_III	1	1	1	Die vollständigen Distanz-1-Karten olaiin, otaiin und oteaiin konvergieren auf COLD|PREPARATION|LEVEL_III.	Singleton; AMOUNT, MATERIAL, PASS und MIDDLE_STAGE bleiben Rivalachsen; der END_STAGE-Serienlead stammt aus derselben ol-Zielstelle und ist nicht unabhängig.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD|G748-E0391	A3_CLEAN_COMPLETE_WHOLE_PROJECTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
chlor	trockener Arzneistoff	trockener Stoffteil	erhitzte Stoffportion	C1_ANALOGY_C0_IDENTITY	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	DRY|MATERIAL	1	1	1	Fünf vollständige Distanz-1-Karten einschließlich chdor, cheor, chkor, cholor und chor ergeben den Kern DRY|MATERIAL.	Singleton; PART, AMOUNT und HOT bleiben Rivalachsen; die Nähe zu chor identifiziert keinen Pflanzenteil und keinen Bestandteil; cutoff-gebunden tragen 3/5 Nachbarkarten MATERIAL.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD	A3_CLEAN_COMPLETE_WHOLE_PROJECTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
lkan	erhitzt	Heißansatz	Grad I	C1_ANALOGY_C0_IDENTITY	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	HOT	1	1	1	Die vollständigen Distanz-1-Karten kan und okan teilen HOT.	Singleton und an der Zeilenkante; PREPARATION bleibt Rivalachse; weder Grad I noch Operation oder Träger sind bestätigt.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD	A3_CLEAN_COMPLETE_WHOLE_PROJECTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
chesey	Trockenzustand	trockener Endzustand	Trockenzubereitung	C0_ANALOGY_C0_IDENTITY	A2_DISTANCE1_PLUS_RADIUS2_CONSENSUS	DRY	1	1	1	Die nächste vollständige Karte cheey und ein breiter sauberer Radius-2-Kreis tragen DRY.	Singleton; HOT, COLD, MATERIAL, PREPARATION, PROCESS und Stufenachsen widersprechen sich; nur DRY ist gemeinsam.	GDT734_CLEAN_W2W3_WHOLE_POOL|GDT745_WHOLE_NEIGHBOR_METHOD	A2_CLEAN_COMPLETE_WHOLE_PROJECTION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	1	OPEN	0	0	0	0	0
