event_id	component_recipe	observed_card	observed_variant	locus_position	statement_position	previous_recipe	next_recipe	refined_rule_id	refined_prediction	refined_correct
E008	OK+Y	PROC008	PLAIN	MIDDLE	MIDDLE	OT+Y+T+CH+OL	AIIN	CR1	PLAIN	YES
E011	OK+Y	PROC011	MARKED_CARRIER	FIRST	FIRST	E+T+Y	OT+CH+OL	CR1	MARKED_CARRIER	YES
E062	CHD+Y	PROC042	PLAIN	MIDDLE	MIDDLE	AIIN	TALAM	CR2	PLAIN	YES
E081	OK+Y	PROC008	PLAIN	MIDDLE	MIDDLE	OT+CH+OR	AL	CR1	PLAIN	YES
E085	OK+Y	PROC008	PLAIN	MIDDLE	MIDDLE	HO+Y	CH+EE+CKH+O+DY	CR1	PLAIN	YES
E091	OK+Y	PROC011	MARKED_CARRIER	FIRST	FIRST	OK+OK+Y	OK+CH+E+O	CR1	MARKED_CARRIER	YES
E095	OK+Y	PROC011	MARKED_CARRIER	MIDDLE	MIDDLE	HO	K+HO+AR	CR1	MARKED_CARRIER	YES
E120	CHD+DY	PROC076	MARKED_CARRIER	MIDDLE	LAST	CKH+Y	OL	CR3	MARKED_CARRIER	YES
E123	CHD+Y	PROC042	PLAIN	MIDDLE	FIRST	SH+K+CHD+DY	OL	CR2	PLAIN	YES
E131	OK+CHD+DY	PROC082	PLAIN	FIRST	ONLY	R+AL	Y	CR4	PLAIN	YES
E140	OK+Y	PROC008	PLAIN	LAST	LAST	CKH+Y	LSH+O	CR1	PLAIN	YES
E145	CHD+Y	PROC042	PLAIN	MIDDLE	FIRST	LSH+E+DY	SOLK+Y	CR2	PLAIN	YES
E151	OK+CHD+DY	PROC091	MARKED_CARRIER	MIDDLE	LAST	T+E+Y	OK+AL	CR4	MARKED_CARRIER	YES
E158	CHD+DY	PROC094	PLAIN	MIDDLE	LAST	E+OL	L+Y	CR3	PLAIN	YES
E167	CHD+DY	PROC076	MARKED_CARRIER	FIRST	ONLY	AL	OL+CHD+DY	CR3	MARKED_CARRIER	YES
E188	OK+Y	PROC008	PLAIN	LAST	LAST	SH+E+CKH+Y	SH+E+DY	CR1	PLAIN	YES
E195	OK+Y	PROC008	PLAIN	MIDDLE	MIDDLE	OK+EE+Y	OL	CR1	PLAIN	YES
E239	CHD+DY	PROC076	MARKED_CARRIER	FIRST	ONLY	AR	CHD+Y	CR3	MARKED_CARRIER	YES
E240	CHD+Y	PROC133	MARKED_CARRIER	MIDDLE	FIRST	CHD+DY	OK+AL	CR2	MARKED_CARRIER	YES
E244	CHD+Y	PROC042	PLAIN	MIDDLE	MIDDLE	OK+AIIN	OK+EE+DY	CR2	PLAIN	YES
E247	OK+Y	PROC008	PLAIN	LAST	ONLY	L+CHD+DY	P+CHD+AL	CR1	PLAIN	YES
E251	OK+Y	PROC008	PLAIN	MIDDLE	MIDDLE	SH+E+CTH+CHD+Y	CHD+Y	CR1	PLAIN	YES
E252	CHD+Y	PROC042	PLAIN	MIDDLE	MIDDLE	OK+Y	AR+Y	CR2	PLAIN	YES
E264	OK+CHD+DY	PROC091	MARKED_CARRIER	FIRST	LAST	L+O	OK+EE+DY	CR4	MARKED_CARRIER	YES
E283	CHD+DY	PROC076	MARKED_CARRIER	FIRST	ONLY	L+CHD+DY	OK+CHD+DY	CR3	MARKED_CARRIER	YES
E284	OK+CHD+DY	PROC082	PLAIN	MIDDLE	ONLY	CHD+DY	EE+AR	CR4	PLAIN	YES
E287	CHD+Y	PROC042	PLAIN	MIDDLE	MIDDLE	L+AIIN	OK+AIN	CR2	PLAIN	YES
E298	OK+Y	PROC008	PLAIN	MIDDLE	FIRST	OK+E+DY	AIIN	CR1	PLAIN	YES
E304	CHD+Y	PROC042	PLAIN	MIDDLE	MIDDLE	CHD+AIN	OT+E+AIIN	CR2	PLAIN	YES
E319	CHD+Y	PROC042	PLAIN	MIDDLE	FIRST	OK+E+DY	OT+AL	CR2	PLAIN	YES
E323	OK+Y	PROC008	PLAIN	MIDDLE	MIDDLE	OK+EE+Y	OL	CR1	PLAIN	YES
E328	CHD+Y	PROC042	PLAIN	MIDDLE	MIDDLE	AIN	OK+EE+DY	CR2	PLAIN	YES
E342	CHD+Y	PROC042	PLAIN	LAST	MIDDLE	OK+AIN	OL	CR2	PLAIN	YES
E363	OK+CHD+DY	PROC082	PLAIN	MIDDLE	ONLY	OT+CHD+DY	SHED+AL	CR4	PLAIN	YES
E372	CHD+Y	PROC042	PLAIN	LAST	LAST	DA+IIN	SOLK+EE+Y	CR2	PLAIN	YES
