surface	working_meaning_de	composition	strongest_rival_de	family
lsheedain	zwei Dosen Holzdroge vollständig einweichen	L_WOOD+SH_MOIST+EE_END+D_MEASURE+AIN_II	zwei Dosen vollständig eingeweichte Holzdroge	WOOD_SOAK
ytey	kühle hiervon bis zur Mittelstufe und schließe ab	Y_REFERENCE+T_COLD+E_MIDDLE+Y_START_OR_CLOSE	mäßig gekühlte Droge hiervon	COLD
qoiiin	nimm eine Zubereitung der Form IV	QO_COMMAND+IIIN_FORM_IV	führe Zubereitungsform IV aus	PREPARATION
tshaiin	drei Teile abkühlen und einweichen	T_COLD+SH_MOIST+AIIN_III	drei Teile kalt eingeweichte Droge	COLD_SOAK
ockhoees	Ansatz aus Arzneikompositum vollständig bereiten und als Charge schließen	O_PREP+CKH_COMPOSITE+O_PREP+EE_END+S_TERM_SPECIES	vollständig bereitete Kompositumcharge	COMPOSITE
ycthar	nimm hiervon die erste Krautdrogenfraktion	Y_REFERENCE+CTH_HERB+AR_FRACTION_I	erste Kraut- oder Blattfraktion hiervon	HERB
oeor	eine Ansatzportion bis zur Mittelstufe führen	O_PREP+E_MIDDLE+OR_PORTION	Portion eines Ansatzes der Mittelstufe	PREPARATION
oschotshl	Saatgutansatz trocknen, neu ansetzen, abkühlen und mit Holzdroge einweichen	O_PREP+S_SEED+CH_DRY+O_PREP+T_COLD+SH_MOIST+L_WOOD	kalt eingeweichter Holz-Saatgut-Trockenansatz	SEED_WOOD
kchaiin	drei Teile erhitzen und trocknen	K_HOT+CH_DRY+AIIN_III	drei Teile heiß getrocknete Droge	HEAT_DRY
ka	erhitze einen Teil	K_HOT+A_PART_OR_LINK	ein Teil erhitzte Droge	HEAT
shkaiin	drei Teile einweichen und erhitzen	SH_MOIST+K_HOT+AIIN_III	drei Teile warm eingeweichte Droge	SOAK_HEAT
choeky	Trockenansatz bis zur Mittelstufe erhitzen und abschließen	CH_DRY+O_PREP+E_MIDDLE+K_HOT+Y_START_OR_CLOSE	mäßig erhitzter Trockenansatz	HEAT_DRY
cphy	Arzneikompositum in Grundform abschließen	CPH_COMPOSITE+Y_START_OR_CLOSE	leicht bereitetes Arzneikompositum	COMPOSITE
dcheodaiin	drei Dosen Trockenansatz bis zur Mittelstufe bereiten	D_MEASURE+CH_DRY+E_MIDDLE+O_PREP+D_MEASURE+AIIN_III	drei Dosen mäßig getrockneter Ansatz	MEASURE
qokokchy	Ansatz erhitzen, neu ansetzen, nochmals erhitzen, trocknen und abschließen	QO_COMMAND+K_HOT+O_PREP+K_HOT+CH_DRY+Y_START_OR_CLOSE	heiß nachgetrockneter Doppelansatz	HEAT_DRY
otair	zweite Fraktion Ansatz abkühlen	O_PREP+T_COLD+AIR_FRACTION_II	zweite kalte Ansatzfraktion	FRACTION
otarain	zweite Stufe der ersten abgekühlten Ansatzfraktion	O_PREP+T_COLD+AR_FRACTION_I+AIN_II	zwei Teile erste kalte Ansatzfraktion	FRACTION
chekain	Trockendroge bis zur Mittelstufe erhitzen, Stufe II	CH_DRY+E_MIDDLE+K_HOT+AIN_II	zwei Teile mäßig erhitzte Trockendroge	HEAT_DRY
olaiiny	drei Teile Holzdrogenansatz abmessen und abschließen	O_PREP+L_WOOD+AIIN_III+Y_START_OR_CLOSE	Holzdrogenansatz, Stufe III, abgeschlossen	WOOD_MEASURE
shkain	zwei Teile einweichen und erhitzen	SH_MOIST+K_HOT+AIN_II	warm eingeweichte Droge auf Stufe II	SOAK_HEAT
ofalsheky	Blütenrohdroge im Ansatz bis zur Mittelstufe einweichen, erhitzen und abschließen	LEARNED_OFALSHEKY_WHOLE	Rohdroge I vollständig einweichen und leicht erhitzen	FLOWER_PREP
chedol	eine Dosis Drogenstoff bis zur Mittelstufe trocknen	CH_DRY+E_MIDDLE+D_MEASURE+OL_MATERIAL	getrocknete Holzdroge nach Abschluss	DRY_MEASURE
qetal	kühle Rohdroge I bis zur Mittelstufe	QO_COMMAND+E_MIDDLE+T_COLD+AL_RAW_I	nimm Rohdroge I der mittleren Kühlstufe	COLD
rtain	Wurzeldroge auf Kältestufe II	R_ROOT+T_COLD+AIN_II	zwei Teile gekühlte Wurzeldroge	ROOT
otodar	erste Fraktion eines erneut angesetzten Kaltansatzes abmessen	O_PREP+T_COLD+O_PREP+D_MEASURE+AR_FRACTION_I	kalte Ansatzfraktion I	FRACTION
alsy	Rohdrogencharge in Grundform abschließen	LEARNED_ALSY_WHOLE	leicht bereitete Saatrohdroge I	RAW_DRUG
chearory	eine Portion der ersten Trockenfraktion bis zur Mittelstufe führen und abschließen	CH_DRY+E_MIDDLE+AR_FRACTION_I+OR_PORTION+Y_START_OR_CLOSE	leicht abgeschlossene Trockenfraktion I	FRACTION
secheeol	Saatdrogenstoff bis zur Mittel- und Endstufe trocknen	LEARNED_SECHEEOL_WHOLE	vollständig getrockneter Saatdrogenstoff	SEED
