model	edition	paragraph	at	word	kind	carrier	carrier_word	input	input_status
V	ZL3b	f103r|f103r.24-f103r.26	ZL3b|f103r.25|G002	shey	OPERATION			qokain	UNKNOWN_INPUT
V	ZL3b	f103r|f103r.24-f103r.26	ZL3b|f103r.26|G004	shey	OPERATION			olcheedar	UNKNOWN_INPUT
V	ZL3b	f103r|f103r.24-f103r.26	ZL3b|f103r.26|G006	shey	OPERATION			lotor	UNKNOWN_INPUT
V	ZL3b	f103r|f103r.40-f103r.42	ZL3b|f103r.41|G010	shey	OPERATION			qokeedy	UNKNOWN_INPUT
V	ZL3b	f111r|f111r.6-f111r.35	ZL3b|f111r.13|G010	shey	OPERATION			arain	UNKNOWN_INPUT
V	ZL3b	f111r|f111r.6-f111r.35	ZL3b|f111r.15|G004	shey	OPERATION			oteody	UNKNOWN_INPUT
V	ZL3b	f111r|f111r.6-f111r.35	ZL3b|f111r.21|G009	shey	OPERATION			chey	UNKNOWN_INPUT
V	ZL3b	f116r|f116r.1-f116r.3	ZL3b|f116r.1|G002	shey	OPERATION			qokain	UNKNOWN_INPUT
V	ZL3b	f116r|f116r.1-f116r.3	ZL3b|f116r.3|G007	shey	OPERATION			qo	UNKNOWN_INPUT
V	ZL3b	f42v|f42v.9-f42v.16	ZL3b|f42v.11|G009	shey	OPERATION			teaiin	UNKNOWN_INPUT
V	ZL3b	f42v|f42v.9-f42v.16	ZL3b|f42v.13|G004	shey	OPERATION			che{cthh}y	UNKNOWN_INPUT
V	ZL3b	f76v|f76v.16-f76v.24	ZL3b|f76v.22|G002	shey	OPERATION			qotedy	UNKNOWN_INPUT
V	ZL3b	f77r|f77r.9-f77r.24	ZL3b|f77r.10|G003	shey	OPERATION			qotaiin	WRONG_KNOWN_ROLE
V	ZL3b	f86v5|f86v5.26-f86v5.39	ZL3b|f86v5.26|G011	shey	OPERATION				MISSING_INPUT
V	ZL3b	f86v5|f86v5.26-f86v5.39	ZL3b|f86v5.38|G007	shey	OPERATION			ytaiin	UNKNOWN_INPUT
V	IT2a	f103r|f103r.24-f103r.26	IT2a|f103r.25|G002	shey	OPERATION			qokain	UNKNOWN_INPUT
V	IT2a	f103r|f103r.24-f103r.26	IT2a|f103r.26|G004	shey	OPERATION			olcheedar	UNKNOWN_INPUT
V	IT2a	f103r|f103r.24-f103r.26	IT2a|f103r.26|G006	shey	OPERATION			lotos	UNKNOWN_INPUT
V	IT2a	f103r|f103r.40-f103r.42	IT2a|f103r.41|G008	shey	OPERATION			qokeedy	UNKNOWN_INPUT
V	IT2a	f111r|f111r.6-f111r.35	IT2a|f111r.13|G010	shey	OPERATION			orain	UNKNOWN_INPUT
V	IT2a	f111r|f111r.6-f111r.35	IT2a|f111r.15|G004	shey	OPERATION			oteodo	UNKNOWN_INPUT
V	IT2a	f111r|f111r.6-f111r.35	IT2a|f111r.16|G002	shey	OPERATION			qokeedy	UNKNOWN_INPUT
V	IT2a	f111r|f111r.6-f111r.35	IT2a|f111r.21|G007	shey	OPERATION			chey	UNKNOWN_INPUT
V	IT2a	f116r|f116r.1-f116r.3	IT2a|f116r.1|G002	shey	OPERATION			qokain	UNKNOWN_INPUT
V	IT2a	f116r|f116r.1-f116r.3	IT2a|f116r.3|G007	shey	OPERATION			qo	UNKNOWN_INPUT
V	IT2a	f42v|f42v.9-f42v.16	IT2a|f42v.11|G008	shey	OPERATION			teaiin	UNKNOWN_INPUT
V	IT2a	f42v|f42v.9-f42v.16	IT2a|f42v.13|G004	shey	OPERATION			checthhy	UNKNOWN_INPUT
V	IT2a	f76v|f76v.16-f76v.24	IT2a|f76v.22|G002	shey	OPERATION			qotedy	UNKNOWN_INPUT
