page	locus	visible_source_sequence	repeated_exact_cards	construction_type	selected_complete_construction_reading	line_end_is_sentence_end
f10r	f10r.6	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	dy×3	COUNTED_ARGUMENTS	prepare three current portions, adding expressed juice and boiling them under the stated measure	NO
f10r	f10r.8	qotchor chor otol chol cholor chol daiin dar	chol×2	MULTIPLE_RELATION_SLOTS	take one handful and attach two successive ingredients or steps to the foregoing preparation and batch	NO
f10r	f10r.9	oykchor shor chor chy kaiiin dy chodaiin	shor×2|chy×2	COUNTED_ARGUMENTS	combine two portions of prepared decoction; after bitterness remains, preserve the selected portion under oil	NO
f11r	f11r.4	dchol chy kchy dy daiin	chy×2	REFERENCE_FRAME	of the pictured simple, bind the present portion on the swollen place in the stated measure	NO
f55v	f55v.5	qokaiin chaiin ykain ykan ody daiin chedy talam	chaiin×2	TWO_MEASURED_ADDITIONS	begin the entry with one measured portion, add a second stated measure, stir evenly and wash once	NO
f81v	f81v.2	qokedy okaiin kair okal sar ol kain olkain al ol rol dl	ol×2	MULTIPLE_RELATION_SLOTS	connect two operations to the same foregoing preparation before applying at the pictured place	NO
f81v	f81v.7	olor ol sheckhal daiin qokeedal daiin chckhy schedy qol	ol×2|daiin×2	PAIRED_SLOTS	enter two applications under the same preparation and the same stated measure	NO
f81v	f81v.18	qokchdy chey ol cheky ol shedy qokedy qokedy chckhy qoky	ol×2|qokedy×2	REPEATED_ACTION	after heating and standing, rinse the indicated place twice, then pass through the connected channels	NO
f81v	f81v.21	lsho qokey lshedy lshedy chedy qolky lchedal qol otar	lshedy×2	REPEATED_ACTION	begin the rinsing with warm water and wash twice, closing each pass	NO
f82r	f82r.19	okain char okain qokeedy lchy	okain×2	TWO_MEASURED_ADDITIONS	from the same prepared batch add two measured portions and set them gently	NO
f82r	f82r.27	pchedy rsheal daldy qokeedy rshedy qoteedy qokeedy lochedy	qokeedy×2	REPEATED_ACTION	perform the warm immersion twice as two separately closed cells	NO
f83r	f83r.3	olkeedy qotal chkeedy chey daiin chey lchedy qokaiin qotal dar	qotal×2|chey×2	PAIRED_SLOTS	place two marked applications at two pictured relation slots under the two current-portion references	NO
f83r	f83r.14	qokchedy qokeedy shedy qokshedy dal lchedy qokaiin shcthy dal sy	dal×2	TWO_APPLICATION_SITES	apply the prepared entry at two pictured places before proceeding	NO
f83r	f83r.20	solkeedy qoteedy qokeey qokedy sol cheeety qokedy qoky saiin	qokedy×2	REPEATED_ACTION_WITH_STAGE	rinse once, mark the first rinse, then rinse a second time before application	NO
f83r	f83r.27	dain chedy qokeedy shckhedy shckhedy	shckhedy×2	REPEATED_ACTION	stir the warm immersion and strain it twice through cloth, closing each pass	NO
