carrier_id	member_surface	global_surface_occurrences	page	locus	section	language	position_rule	quality_locus	quality_surface	distance_lines	observed_family	expected_family	family_match	v2_thermal	v2_moisture	v2_reading_de	working_role	claim_limit
EXACT_DSHEODY	dsheody	2	f102r1	f102r1.4	P	A	LINE_HEAD	f102r1.4	qokcheololain	0	KCH	KCH	1	HOT	DRY	heiß und trocken	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	Cross-register recurrence rules out a simple pictured-plant name
EXACT_DSHEODY	dsheody	2	f86v3	f86v3.17	C	B	LINE_HEAD	f86v3.17	qokchey	0	KCH	KCH	1	HOT	DRY	heiß und trocken	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	Cross-register recurrence rules out a simple pictured-plant name
EXACT_KOOIIN	kooiin	2	f29v	f29v.1	H	A	PAGE_HEAD	f29v.2	qotcheaiin	1	TCH	TCH	1	COLD	DRY	kalt und trocken	GENERIC_HERBAL_ENTRY_OR_CLASS	Two different plant images rule out one learned species name
EXACT_KOOIIN	kooiin	2	f2v	f2v.1	H	A	PAGE_HEAD	f2v.2	qotcho	1	TCH	TCH	1	COLD	DRY	kalt und trocken	GENERIC_HERBAL_ENTRY_OR_CLASS	Two different plant images rule out one learned species name
EXACT_PORAIIN	poraiin	2	f107v	f107v.37	S	B	LINE_HEAD	f107v.38	qokchey	1	KCH	KCH	1	HOT	DRY	heiß und trocken	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	Both occurrences are in Stars and may be formulaic
EXACT_PORAIIN	poraiin	2	f113v	f113v.13	S	B	LINE_HEAD	f113v.13	qokchedy	0	KCH	KCH	1	HOT	DRY	heiß und trocken	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	Both occurrences are in Stars and may be formulaic
EXACT_TCHDOR	tchdor	2	f115v	f115v.11	S	B	LINE_HEAD	f115v.11	qotched	0	TCH	TCH	1	COLD	DRY	kalt und trocken	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	One Herbal-B and one Stars occurrence do not identify a noun
EXACT_TCHDOR	tchdor	2	f95r1	f95r1.6	H	B	LINE_HEAD	f95r1.6	qotchdy	0	TCH	TCH	1	COLD	DRY	kalt und trocken	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	One Herbal-B and one Stars occurrence do not identify a noun
EXACT_TSHOD	tshod	2	f106v	f106v.22	S	B	LINE_HEAD	f106v.22	qokchy	0	KCH	KCH	1	HOT	DRY	heiß und trocken	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	The first occurrence binds only after three lines and is weaker than same-line examples
EXACT_TSHOD	tshod	2	f95r2	f95r2.5	H	B	LINE_HEAD	f95r2.8	qokchdy	3	KCH	KCH	1	HOT	DRY	heiß und trocken	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	The first occurrence binds only after three lines and is weaker than same-line examples
EXACT_YSHOL	yshol	2	f42r	f42r.8	H	A	LINE_HEAD	f42r.9	qotchar	1	TCH	TCH	1	COLD	DRY	kalt und trocken	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	A later KCH form on f90r1 makes only the nearest local binding usable
EXACT_YSHOL	yshol	2	f90r1	f90r1.2	H	A	LINE_HEAD	f90r1.2	qotchor	0	TCH	TCH	1	COLD	DRY	kalt und trocken	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	A later KCH form on f90r1 makes only the nearest local binding usable
FAMILY_CHODY	kdchody	1	f20r	f20r.1	H	A	LINE_HEAD	f20r.1	qotchol	0	TCH	TCH	1	COLD	DRY	kalt und trocken	NORMALIZED_ENTRY_CORE	Exploratory family selected after inspection
FAMILY_CHODY	tchody	8	f51v	f51v.3	H	A	LINE_HEAD	NONE	NONE	NONE	NONE	TCH	0	NONE	NONE	NONE	NORMALIZED_ENTRY_CORE	Exploratory family selected after inspection
FAMILY_CHODY	kchody	4	f5r	f5r.1	H	A	LINE_HEAD	f5r.3	qotchody	2	TCH	TCH	1	COLD	DRY	kalt und trocken	NORMALIZED_ENTRY_CORE	Exploratory family selected after inspection
FAMILY_CHODY	tchody	8	f6v	f6v.6	H	A	LINE_HEAD	NONE	NONE	NONE	NONE	TCH	0	NONE	NONE	NONE	NORMALIZED_ENTRY_CORE	Exploratory family selected after inspection
FAMILY_CHODY	tchody	8	f95v1	f95v1.3	H	B	LINE_HEAD	f95v1.6	qokshy	3	KSH	TCH	0	HOT	MOIST	heiß und feucht	NORMALIZED_ENTRY_CORE	Exploratory family selected after inspection
FAMILY_CHODY	tchody	8	f95v2	f95v2.1	H	B	LINE_HEAD	f95v2.2	qotchey	1	TCH	TCH	1	COLD	DRY	kalt und trocken	NORMALIZED_ENTRY_CORE	Exploratory family selected after inspection
