statement_id	record_unit_id	page	workflow_phase	boundary_from_previous	visible_owner	visible_surface_sequence	atomic_card_chain_de	fluent_workshop_translation_de	terminal_status	speculative_day_link
H3-S001	H3	f11r	I_EXTRACT_PREPARATION	RECORD_START	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	tshol schoal cfhy shfydaiin cphy shey tchody	Kochgut | Sudansatz | Auswringen | Stehzeit | Nachseihen | Klarauszug | Endzugabe; Schluss	Nimm von der blau bekrönten Bildpflanze das Kochgut. Setze daraus einen Sud an, wringe ihn aus, lasse ihn die vorgeschriebene Zeit stehen, seihe nochmals und behalte den klaren Auszug; gib zuletzt den Endzusatz bei.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
H3-S002	H3	f11r	II_SECOND_PORTION	FRESH_AFTER_CLOSE	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	shoyty	Zugabeteil	Lege den weiteren Zugabeteil bereit.	NONCLOSE	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
H3-S003	H3	f11r	II_SECOND_PORTION	CONTINUE_SAME_OWNER_OPEN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	dchol chy kchy dy daiin	vom vorigen | dies | Bearbeiten | dies | Sollmaß	Nimm diesen Teil aus dem vorigen Ansatz, bearbeite ihn und bringe ihn auf das vorgeschriebene Maß.	NONCLOSE	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
H3-S004	H3	f11r	II_SECOND_PORTION	CONTINUE_SAME_OWNER_OPEN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	qotchy okchol cthy dy	Folgeposten | Weiterverarbeitung | bereit | dies	Nimm danach den folgenden Posten, verarbeite ihn weiter und halte ihn als bereiten Arbeitsposten verfügbar.	NONCLOSE	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S001	B2	f82r	III_UPPER_DOUBLE_BASIN	RECORD_START	obere Paarbecken-/Zylinderstation	dchedy	überführen; Schluss	Überführe den bereiteten Ansatz in die obere Doppelbecken- und Zylinderstation; schließe den Schritt.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S002	B2	f82r	III_UPPER_DOUBLE_BASIN	FRESH_AFTER_CLOSE	obere Paarbecken-/Zylinderstation	qolchedy	weiterführen; Schluss	Führe den Ansatz in derselben oberen Station weiter; schließe den Schritt.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S003	B2	f82r	III_UPPER_DOUBLE_BASIN	FRESH_AFTER_CLOSE	obere Paarbecken-/Zylinderstation	qokain dy qokeedy	Anteil zugeben | dies | lange einwirken; Schluss	Gib eine Portion zum laufenden Posten und lasse sie länger einwirken; schließe den Schritt.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S004	B2	f82r	III_UPPER_DOUBLE_BASIN	FRESH_AFTER_CLOSE	obere Paarbecken-/Zylinderstation	qokal lcheckhy lched qokeey lcheckhedy	dorthin einsetzen | Abführpassage | Abführung | lange einwirken | Trennabzug; Schluss	Setze den Posten an der bezeichneten Stelle ein, führe ihn durch den Abführgang, lasse ihn weiter einwirken und trenne den Ablauf ab.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S005	B2	f82r	III_UPPER_DOUBLE_BASIN	FRESH_AFTER_CLOSE	obere Paarbecken-/Zylinderstation	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	Zieleinsatz | Sollsammlung | durchleiten | bemessen | bemessen | Fortsetzung vorbereiten | Langwärmen | abziehen; Schluss	Setze die nächste Menge am Ziel ein, sammle bis zur Sollmenge, führe sie durch, bemiss sie zweimal, bereite die Fortsetzung vor, halte sie länger warm und ziehe sie ab.	TERMINAL	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
B2-S006	B2	f82r	III_UPPER_DOUBLE_BASIN	FRESH_AFTER_CLOSE	obere Paarbecken-/Zylinderstation	oteey qokal sheckhy qoky	Langfolge | dorthin einsetzen | Kurzpassage | einsetzen	Im langen Folgeschritt setze den Posten dort ein, führe ihn kurz durch und bringe ihn in den laufenden Arbeitsgang.	NONCLOSE	WORKSHOP_SCENARIO_NOT_VISIBLE_CROSS_PAGE_POINTER
