edit_distance	surface	event_count	page_count	external_host_count	figure_station_hosts	plant_drug_hosts	text_other_hosts	running_event_count	local_event_count	meaning_transfer_credit
0	qokaldy	3	2	2	0	0	2	3	0	ZERO
1	okaldy	3	3	2	2	0	0	1	2	ZERO
1	qokaly	3	3	3	2	0	1	3	0	ZERO
1	qokardy	1	1	1	1	0	0	1	0	ZERO
2	okady	1	1	1	0	1	0	1	0	ZERO
2	okalody	1	1	1	0	1	0	1	0	ZERO
2	okaly	3	1	1	1	0	0	1	2	ZERO
2	okardy	1	1	1	1	0	0	0	1	ZERO
2	okoldy	3	3	3	2	1	0	2	1	ZERO
2	otaldy	3	3	2	0	2	0	1	2	ZERO
2	qokal	30	10	19	11	2	6	29	1	ZERO
2	qokchdy	6	4	5	4	0	1	6	0	ZERO
2	qokedy	60	11	22	15	4	3	60	0	ZERO
2	qokeedy	68	8	19	14	1	4	68	0	ZERO
2	qokeody	13	5	10	0	7	3	13	0	ZERO
2	qokesdy	1	1	1	1	0	0	1	0	ZERO
2	qokody	1	1	1	0	1	0	1	0	ZERO
2	qokshdy	1	1	1	1	0	0	1	0	ZERO
2	qokylddy	1	1	1	1	0	0	1	0	ZERO
2	qoldy	2	2	2	2	0	0	2	0	ZERO
2	qotaly	1	1	1	0	0	1	1	0	ZERO
