codex_word_id	domain	source_slot	selected_word_de	used_units	unit_count	program_group_exposure	bridged_card_slots	licensing_dictionary_entries	licensing_entry_count	matching_prose_events	matching_event_ids	primary_anchor	secondary_support	working_status	meaning_scope_de
H_R01	HERBAL	WATER	Wasser	H1,H5	2	41	WASH_LIQUID,WATER	N07_WASH,ROOT_AIR,ROOT_AR	3	1	E006	RECURRING_CARD_ANCHORED	VISIBLE_OWNER_OR_MASTER_FILL	KEEP_AS_RECURRING_TEXT_DEFAULT	gemeinsames Löse-/Waschmedium
H_R02	HERBAL	WINE	Auszugsflüssigkeit	H3,H4,H5	3	62	EXTRACTION_MEDIUM	ROOT_AR,ROOT_CHEO,ROOT_OR	3	0	NONE	WORKSHOP_FUNCTION_CLASS	EXACT_MATERIAL_OR_PRODUCT_REMAINS_CREATIVE_RIVAL	REVISED_TO_PREDICTABLE_FUNCTION_CLASS	CHEO/OR/AR beschreiben Auszug und Ansatz, aber keine bestimmte Flüssigkeit.
H_R03	HERBAL	OIL	Trägerstoff	H2,H3	2	41	EXTRACTION_MEDIUM	ROOT_AR,ROOT_CHEO,ROOT_OR	3	0	NONE	WORKSHOP_FUNCTION_CLASS	EXACT_MATERIAL_OR_PRODUCT_REMAINS_CREATIVE_RIVAL	REVISED_TO_PREDICTABLE_FUNCTION_CLASS	Ansetzen und äußerliche Verwendung bestimmen eine Trägerklasse, nicht Öl als Wort.
H_R04	HERBAL	HONEY	Bindestoff	H4,H5	2	45	EXTRACTION_MEDIUM	ROOT_AR,ROOT_CHEO,ROOT_OR	3	0	NONE	WORKSHOP_FUNCTION_CLASS	EXACT_MATERIAL_OR_PRODUCT_REMAINS_CREATIVE_RIVAL	REVISED_TO_PREDICTABLE_FUNCTION_CLASS	Binden und Halten bestimmen die Funktion, nicht den Stoffnamen Honig.
H_R05	HERBAL	SEDIMENT	Restteil	H1	1	14	RESIDUE	N12_TALAM	1	0	NONE	WORKSHOP_FUNCTION_CLASS	EXACT_MATERIAL_OR_PRODUCT_REMAINS_CREATIVE_RIVAL	REVISED_TO_PREDICTABLE_FUNCTION_CLASS	TY/Teil und der kleine Restposten tragen Rest, nicht Sediment als Substanz.
H_R06	HERBAL	DRINK	dosiertes Mittel	H1,H3,H5	3	58	RESULT	N01_CFH,N02_CPH,N12_TALAM,ROOT_CHEEY,ROOT_CKHE,ROOT_CTH,ROOT_OR,ROOT_SHED,ROOT_SOLK	9	0	NONE	WORKSHOP_FUNCTION_CLASS	EXACT_MATERIAL_OR_PRODUCT_REMAINS_CREATIVE_RIVAL	REVISED_TO_PREDICTABLE_FUNCTION_CLASS	AIIN/AIN und Verwenden liefern Dosis plus Mittel, nicht die Einnahmeart.
H_R07	HERBAL	SALVE	streichfähiges Mittel	H2	1	24	RESULT	N01_CFH,N02_CPH,N12_TALAM,ROOT_CHEEY,ROOT_CKHE,ROOT_CTH,ROOT_OR,ROOT_SHED,ROOT_SOLK	9	0	NONE	WORKSHOP_FUNCTION_CLASS	EXACT_MATERIAL_OR_PRODUCT_REMAINS_CREATIVE_RIVAL	REVISED_TO_PREDICTABLE_FUNCTION_CLASS	Ansatz plus Auftragen liefert Konsistenz/Funktion, nicht die Gattung Salbe.
H_R08	HERBAL	RUB	äußerliche Anwendung	H3	1	17	OUTER_APPLICATION,RESULT	N01_CFH,N02_CPH,N08_LDDY,N10_DAN,N12_TALAM,ROOT_CHEEY,ROOT_CKHE,ROOT_CTH,ROOT_OR,ROOT_SHED,ROOT_SOLK	11	0	NONE	WORKSHOP_FUNCTION_CLASS	EXACT_MATERIAL_OR_PRODUCT_REMAINS_CREATIVE_RIVAL	REVISED_TO_PREDICTABLE_FUNCTION_CLASS	AL/DAN und Halten liefern äußere Anwendung, nicht zwingend Reiben.
H_R09	HERBAL	WASH	Waschung	H4,H5	2	45	BODY_WORK_AREA,RESULT,WASH_LIQUID	N01_CFH,N02_CPH,N07_WASH,N08_LDDY,N10_DAN,N12_TALAM,ROOT_AIR,ROOT_AL,ROOT_CHEEY,ROOT_CKHE,ROOT_CTH,ROOT_OR,ROOT_SHED,ROOT_SOLK	14	0	NONE	RECURRING_CARD_ANCHORED	VISIBLE_OWNER_OR_MASTER_FILL	KEEP_AS_RECURRING_TEXT_DEFAULT	geklärter Auszug in H4
H_R10	HERBAL	POULTICE	gebundene Anwendung	H2,H4,H5	3	69	BODY_WORK_AREA,OUTER_APPLICATION	N07_WASH,N08_LDDY,N10_DAN,ROOT_AL	4	1	E097	WORKSHOP_FUNCTION_CLASS	EXACT_MATERIAL_OR_PRODUCT_REMAINS_CREATIVE_RIVAL	REVISED_TO_PREDICTABLE_FUNCTION_CLASS	Ziel plus Befestigen/Halten liefert gebundene Anwendung, nicht das Objektwort.
