rank	locus	zl3b_line	manual_workshop_translation_de	notes	automatic_v41_translation_de	v41_unknown_tokens	comparison_scope
1	f100r.5	sar char daiindy	Etikett: erste Saatfraktion; erste Trockenfraktion; drei Maße, abgefüllt.	Die Zeilenart ist Label; daher kein künstlicher Imperativ. Daiindy bezeichnet die abgeschlossene Drei-Maß-Charge.	Samenfraktion I; [Trockenfraktionszeichen]; [drei Maße, abgeteilt und abgeschlossen-Zeichen]	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
2	f103v.17	qokeedy chedy qoteey oteedy lkedy shedy qokal ol char otal opchedy	Erhitze vollständig, trockne bis zur Mittelstufe und kühle ganz ab. Schließe den Kaltansatz; erhitze die Holzdroge mäßig, weiche bis zur Mittelstufe ein und gib eine leicht erhitzte Portion Rohdroge in den Grundansatz. Füge die erste Trockenfraktion und eine leicht gekühlte Portion Rohdroge hinzu; rühre zuletzt das fertige Trockenpulver ein.	Nacktes ol bleibt Grundansatz.	bis zur Heizendstufe gebracht; bis zur mittleren Trockenstufe gebracht; bis zur Kühlendstufe; Ansatz auf Kühlendstufe abgeschlossen; erhitzte Holzdroge, Mittelstufe, fertig; bis zur mittleren Einweichstufe gebracht; Rohstoff I, heiß am Gradanfang; Grundansatz; Trockenfraktion I; Rohstoff I, leicht gekühlt im Ansatz; vollständig getrocknetes Pulverpräparat	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
3	f107r.44	ycheodain okeey qokeeody qokaiin	Nimm zwei Dosen Trockenansatz, erhitze bis zur Endstufe, koche vollständig aus und halte anschließend auf Heizstufe III.	Y-Anfang als Werkstattimperativ.	nimm hierzu zwei Dosen Trockenansatz; Ansatz auf Heizendstufe; vollständig ausgekochter Ansatz; heiß, Grad III	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
4	f107r.7	ytaiin cheotchey okaiin chckhy okeedy otcheey	Nimm drei Teile Kaltansatz. Kühle den Trockenansatz bis zur Mittelstufe weiter; gib drei Teile heißen Ansatz und leicht getrocknete Kräutermischung hinzu, erhitze vollständig und kühle den heiß-trockenen Ansatz ganz ab.	Gradmetaglossen als ausführbare Stufen geglättet.	Eintrag: kalt, Stufe III; Trockenansatz bis zur mittleren Kühlstufe; Ansatz auf Heizstufe III; Arzneikompositum: trocken, Gradanfang; Ansatz auf Heizendstufe abgeschlossen; kalt-trockener Ansatz am Ende des Grades	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
5	f107v.48	oteedy qokey qokeedy chody chey qoky oteey otain chey aiinal	Kühle den Ansatz vollständig ab, erwärme ihn mäßig und danach ganz. Schließe den Trockenansatz, trockne bis zur Mittelstufe, erwärme kurz, kühle erneut und gib schließlich drei Teile Rohdroge hinzu.	Aiinal als drei Teile Rohdroge.	Ansatz auf Kühlendstufe abgeschlossen; bis zur mittleren Heizstufe; bis zur Heizendstufe gebracht; Trockenansatz, abgeschlossen; bis zur mittleren Trockenstufe; leicht erhitzt; Ansatz auf Kühlendstufe; kalt im Zubereitungsrahmen, Grad II; bis zur mittleren Trockenstufe; drei Teile Rohdroge I	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
6	f108v.37	sain sheor sheey sheckhey qokey okey shey lkain shedy qokain dalam	Nimm zwei Teile Saatgut und einen feuchten Pflanzenteil, weiche vollständig ein und setze daraus eine feuchte Kräutermischung an. Erwärme mäßig, weiche nochmals ein, erhitze die Holzdroge auf Stufe II und gib ein Maß Rohdroge hinzu.	Dalam als ein Maß Rohdroge.	Saatgut, Typ/Charge II; feuchter Drogenteil; vollständig eingeweicht; feuchtes Arzneikompositum in der Gradmitte; bis zur mittleren Heizstufe; Ansatz bis zur mittleren Heizstufe; bis zur mittleren Einweichstufe; Holzdroge, heiß auf Stufe II; bis zur mittleren Einweichstufe gebracht; heiß, Grad II; ein Maß Rohdroge I	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
7	f112r.35	sain olaiin qopchdy qoky okeal chedy okeey otedy ar ar okeedy	Nimm zwei Teile Saatgut und drei Teile Holzdrogenansatz. Gib das fertige Trockenpulverpräparat hinzu, erwärme zunächst leicht, trockne bis zur Mittelstufe, erhitze vollständig, kühle mäßig und füge zweimal die erste Fraktion hinzu.	Olaiin nach finaler OL-Revision als Holzdrogenansatz.	Saatgut, Typ/Charge II; drei Teile Holzdrogenansatz; nimm fertig getrocknetes Pulver; leicht erhitzt; Rohstoff I im Ansatz, heiß in der Gradmitte; bis zur mittleren Trockenstufe gebracht; Ansatz auf Heizendstufe; Ansatz auf mittlerer Kühlstufe abgeschlossen; Drogenfraktion I; Drogenfraktion I; Ansatz auf Heizendstufe abgeschlossen	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
8	f113v.35	qokaiin air lo r chedy otain	Erhitze die zweite Fraktion vollständig, gib Holzabsud und Wurzel hinzu, trockne bis zur Mittelstufe und kühle mäßig ab.	Air als zweite Fraktion.	heiß, Grad III; zweite Drogenfraktion; Holzabsud; Wurzel; bis zur mittleren Trockenstufe gebracht; kalt im Zubereitungsrahmen, Grad II	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
9	f114r.45	dain ched chodaiin otain chdar chedy chocthy	Nimm zwei Maße, trockne bis zur Mittelstufe und bereite daraus drei Dosen Trockenansatz. Kühle mäßig; trockne die erste abgemessene Fraktion weiter und gib die trockene Krautzubereitung hinzu.	Chodaiin als drei Dosen Trockenansatz.	zwei Maße; Trockenstufe Mitte, abgeschlossen; Trockenansatz, Dosis III; kalt im Zubereitungsrahmen, Grad II; abgemessene Trockenfraktion I, Anfangsstufe; bis zur mittleren Trockenstufe gebracht; trockene CTH-Drogenzubereitung; trockene Blatt-/Krautzubereitung	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
10	f116r.50	sodal ch al chcthy chckhy qol ain ary	Miss eine Portion Saatrohstoff in den Ansatz. Trockne eine Portion Rohdroge zusammen mit Kraut und Kräutermischung leicht an; gib zwei Teile hinzu und schließe die erste Fraktion ab.	Ch vor al praktisch als Trockenimperativ geglättet.	abgemessene Saat-Rohstoffmenge I im Ansatz; Rohstoff I, trocken am Gradanfang; getrocknete Krautdroge; Arzneikompositum: trocken, Gradanfang; gib Folgendes hinzu: zwei Teile; Drogenfraktion I, abgeschlossen	0	manual workshop prose versus deterministic V41 renderer; neither is confirmed plaintext
