state_edition_ordinal	event_id	statement_id	physical_page	register	owner_id	surface	final_context_recipe	gdt566_selected_clause_de	owner_voice_working_clause_de	owner_bound_control_clause_de	owner_voice_changed	owner_voice_equals_owner_bound	adapter_card_count	adapter_card_ids	outer_template_id	structural_template_id	state_atom_alignment	guard
1	G407-E0005	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shol	SH+OL	Weiter: halte den Wert.	Weiter: halte den Kennwert.	Weiter halte den Kennwert [wie zuvor] fest.	YES	NO	1	GDT567-A02	GDT565-O05	GDT565-T072	1:SH=halten | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
2	G407-E0010	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	Weiter: halte den Posten; hier.	Weiter: halte den laufenden Eintrag; an der bezeichneten Stelle.	Weiter halte den laufenden Eintrag fest; an der bezeichneten Stelle.	YES	NO	2	GDT567-A01|GDT567-A38	GDT565-O03	GDT565-T068	1:SH=halten | 2:OL=weiter | 3:D_ADDR=hier | 4:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
3	G407-E0032	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	oteey	OT+EE+Y	Danach: wähle den Posten; auf Grad II.	Danach: wähle den laufenden Eintrag; auf Grad II.	Danach im laufenden Gang wähle den laufenden Eintrag; auf Grad II.	YES	NO	1	GDT567-A01	GDT565-O03	GDT565-T127	1:OT=danach | 2:EE=auf Grad II | 3:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
4	G407-E0033	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	oteos	OT+E+O+S_ADDR	Danach: wähle den Posten; auf Grad I; zur Ausführung; hier.	Danach: wähle den laufenden Eintrag; auf Grad I; zur Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang wähle den laufenden Eintrag [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.	YES	NO	2	GDT567-A01|GDT567-A38	GDT565-O03	GDT565-T130	1:OT=danach | 2:E=auf Grad I | 3:O=zur Ausführung | 4:S_ADDR=hier	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
5	G407-E0034	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	roloty	R+OL+OT+Y	Weiter: markiere den Posten; danach nächsten Gang eröffnen.	Weiter: markiere den laufenden Eintrag; danach nächsten Gang eröffnen.	Weiter und danach kennzeichne den laufenden Eintrag.	YES	NO	1	GDT567-A01	GDT565-O06	GDT565-T121	1:R=markieren | 2:OL=weiter | 3:OT=danach | 4:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
6	G407-E0048	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shol	SH+OL	Weiter: halte.	Weiter: halte.	Weiter halte fest.	NO	NO	0	NONE	GDT565-O05	GDT565-T054	1:SH=halten | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
7	G407-E0056	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shody	SH+O+DY	Halte den Posten; zur Ausführung; abschließen.	Halte den laufenden Eintrag; zur Ausführung; schließe den Schritt.	Halte den laufenden Eintrag [wie zuvor] fest; als Ausführung; schließe den Schritt.	YES	NO	2	GDT567-A01|GDT567-A39	GDT565-O01	GDT565-T006	1:SH=halten | 2:O=zur Ausführung | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
8	G407-E0058	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	otchol	OT+CH+OL	Danach: nimm den Posten; weiterführen.	Danach: nimm den laufenden Eintrag; weiterführen.	Danach und weiter entnimm den laufenden Eintrag [wie zuvor].	YES	NO	1	GDT567-A01	GDT565-O06	GDT565-T167	1:OT=danach | 2:CH=nehmen | 3:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
9	G407-E0067	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	cfhol	CH+LOCAL_CHAR_F+OL	Weiter: nimm den Wert; hier.	Weiter: nimm den Kennwert; an der bezeichneten Stelle.	Weiter entnimm den Kennwert [wie zuvor]; an der bezeichneten Stelle.	YES	NO	2	GDT567-A02|GDT567-A38	GDT565-O03	GDT565-T068	1:CH=nehmen | 2:LOCAL_CHAR_F=hier | 3:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
10	G407-E0068	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	shody	SH+O+DY	Halte den Wert; zur Ausführung; abschließen.	Halte den Kennwert; zur Ausführung; schließe den Schritt.	Halte den Kennwert [wie zuvor] fest; als Ausführung; schließe den Schritt.	YES	NO	2	GDT567-A02|GDT567-A39	GDT565-O01	GDT565-T006	1:SH=halten | 2:O=zur Ausführung | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
