order	long_phrase_de	workshop_phrase_de	occurrences_changed
1	den laufenden Posten	dies	104
2	den aktuellen Posten	dies	0
3	der laufende Posten	dies	0
4	nach vorgeschriebenem Maß	nach Maß	18
5	an der bezeichneten Stelle	dorthin	15
6	von dort	davon	8
7	bis zur zweiten Sollstufe	bis zum zweiten Grad	0
8	bis zur Sollstufe	bis zum Sollgrad	1
9	im Arbeitsgang	im Gang	8
10	und den Schritt schließen	; schließe	49
11	den Schritt schließen	schließe	49
12	Schritt schließen	schließe	49
13	in Einsatz bringen	ansetzen	0
14	in Einsatz halten	halten	0
15	laufender Bestand	Laufgut	0
16	bezeichnete Stelle	Ziel	0
