surface	family	wrapper	quality_core	e_level	d_or_inner_o_slot	structural_parse	occurrences	pages	loci	ordinal_surface_all_readers_exact_occurrences	zl_same_line_e_ladder_loci	all_member_ordinal_surface_all_readers_exact_ladder_loci	working_default_de	confidence
chy	MAIN_Y	BARE	ch	0	NO_D	ch+y	162	96	153	114	17	12	trocken, Grundform	MEDIUM
shey	MAIN_Y	BARE	sh	1	NO_D	sh+e+y	232	76	209	179	25	14	feucht, attributiv gebunden	MEDIUM
sheey	MAIN_Y	BARE	sh	2	NO_D	sh+ee+y	127	64	124	105	16	10	feucht, Bindungsstufe II	MEDIUM
qoty	MAIN_Y	qo	t	0	NO_D	qo+t+y	86	53	85	77	4	3	kalt, Grundform	MEDIUM
oty	MAIN_Y	o	t	0	NO_D	o+t+y	101	66	99	92	5	4	kalter Ansatz, Grundform	LOW_MEDIUM
qoteey	MAIN_Y	qo	t	2	NO_D	qo+t+ee+y	40	28	38	38	3	2	kalt, Bindungsstufe II	MEDIUM
chedy	MAIN_DY	BARE	ch	1	d	ch+e+d+y	470	74	420	296	35	13	getrockneter Zustand	MEDIUM
cheody	INNER_ODY	BARE	ch	1	INNER_O_D	ch+e+o+d+y	69	42	69	54	3	2	getrockneter Ansatz	LOW_MEDIUM
otedy	MAIN_DY	o	t	1	d	o+t+e+d+y	131	49	122	75	11	5	gekühlter Ansatz	LOW_MEDIUM
qokeedy	MAIN_DY	qo	k	2	d	qo+k+ee+d+y	292	52	251	201	36	14	heißer Zustand, Bindungsstufe II	MEDIUM
qokeeedy	MAIN_DY	qo	k	3	d	qo+k+eee+d+y	4	4	4	1	0	0	heißer Zustand, Bindungsstufe III	LOW_MEDIUM
chety	REVERSED_DOUBLE_CORE	BARE	ch>t	1	NO_D	ch+e+t+y	18	17	18	16	0	0	trocken-kalte gebundene Form	LOW_MEDIUM
ety	LEADING_E	BARE	t	1	NO_D	e+t+y	6	6	6	6	0	0	gekühlt	LOW
