statement_id	page	record	silent_owner_de	action_events	argument_state_events	event_total	complete_actions_de	complete_arguments_de	corrected_full_compact_instruction_de	formula_mode	phase_signature	all_events_spoken	supersedes_pass580_first_event_only
H1-S001	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	6	4	10	abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen	bereit · Gang · Ansatz | davon | Arbeitsfach | Maß	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → gib dies in den Ansatz → eintragen. Angaben: bereit · Gang · Ansatz | davon | Arbeitsfach | Maß.	FREE_COMPOSITION	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST>MATERIAL_PREP	YES	YES
H3-S001	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	7	0	7	eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen	NONE	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen.	FREE_COMPOSITION	MATERIAL_PREP>HOLD>MATERIAL_PREP>HOLD>MEASURE_CHARGE>HOLD>MATERIAL_PREP>CLOSE	YES	YES
H5-S001	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	4	5	9	abziehen → zuführen → abziehen → gib dies in den Ansatz	Gabe | Gabe · Ziel · dies | Maß | Gabe | Ziel	Bildbesitzer: abgebildete mehrköpfige stachelige Pflanze. Folge: abziehen → zuführen → abziehen → gib dies in den Ansatz. Angaben: Gabe | Gabe · Ziel · dies | Maß | Gabe | Ziel.	FREE_COMPOSITION	MATERIAL_PREP>ROUTE>MATERIAL_PREP>SPECIALIST	YES	YES
B1-S002	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	10	9	19	setze nach Maß an → einspeisen → anlegen → dosiert zugeben → dosiert zugeben → abkühlen lassen → führen → zurückhalten → anlegen → durchleiten	davon | fort | Ziel | fort | fort · Ansatz | fort | Maß | Maß | Durchlass · dies	Bildbesitzer: gemeinsame zweireihige Figuren-/Beckenstation. Folge: setze nach Maß an → einspeisen → anlegen → dosiert zugeben → dosiert zugeben → abkühlen lassen → führen → zurückhalten → anlegen → durchleiten. Angaben: davon | fort | Ziel | fort | fort · Ansatz | fort | Maß | Maß | Durchlass · dies.	FREE_COMPOSITION	MEASURE_CHARGE>ROUTE>APPLY>MEASURE_CHARGE>THERMAL>ROUTE>HOLD>APPLY>ROUTE>CLOSE	YES	YES
B2-S004	f82r	B2	oberes Beckenpaar mit Zylinder	5	0	5	anlegen → durchleiten → führen + umsetzen → wirken lassen → durchleiten	NONE	Bildbesitzer: oberes Beckenpaar mit Zylinder. Folge: anlegen → durchleiten → führen + umsetzen → wirken lassen → durchleiten.	FREE_COMPOSITION	APPLY>ROUTE>SPECIALIST>HOLD>ROUTE>CLOSE	YES	YES
B2-S005	f82r	B2	oberes Beckenpaar mit Zylinder	6	2	8	anlegen → bis zum Maß auffangen → einleiten → einleiten → warm halten → abführen	Durchlass · dies | Gang · bereit · kurz · fort	Bildbesitzer: oberes Beckenpaar mit Zylinder. Folge: anlegen → bis zum Maß auffangen → einleiten → einleiten → warm halten → abführen. Angaben: Durchlass · dies | Gang · bereit · kurz · fort.	FREE_COMPOSITION	APPLY>SETTLE>ROUTE>HOLD>ROUTE>CLOSE	YES	YES
B2-S012	f82r	B2	mittlere rechte unklare Station	5	3	8	führen + abnehmen → stehen lassen → wirken lassen → führen → setze voll an; schließe	bereit · kurz · dies | Maß | dies	Bildbesitzer: mittlere rechte unklare Station. Folge: führen + abnehmen → stehen lassen → wirken lassen → führen → setze voll an; schließe. Angaben: bereit · kurz · dies | Maß | dies.	FREE_COMPOSITION	ROUTE>MATERIAL_PREP>HOLD>ROUTE>MEASURE_CHARGE>CLOSE	YES	YES
B2-S016	f82r	B2	kleine Randstationen des unteren Beckens	5	3	8	ableiten + umfüllen → abnehmen + abteilen → setze nach Maß an → wirken lassen → einfüllen + überführen	Ziel | Maß | danach · länger · dies	Bildbesitzer: kleine Randstationen des unteren Beckens. Folge: ableiten + umfüllen → abnehmen + abteilen → setze nach Maß an → wirken lassen → einfüllen + überführen. Angaben: Ziel | Maß | danach · länger · dies.	FREE_COMPOSITION	ROUTE>MATERIAL_PREP>MEASURE_CHARGE>HOLD>MEASURE_CHARGE>ROUTE>CLOSE	YES	YES
B3-S011	f83r	B3	untere Randfigur im korbartigen Gefäß	3	1	4	halten + umsetzen → setze dies ein → umschöpfen	davon · dies	Bildbesitzer: untere Randfigur im korbartigen Gefäß. Folge: halten + umsetzen → setze dies ein → umschöpfen. Angaben: davon · dies.	FREE_COMPOSITION	HOLD>SPECIALIST>MEASURE_CHARGE>ROUTE	YES	YES
B3-S026	f83r	B3	unverbundener Zwischenbereich	5	2	7	ableiten → umschöpfen → gib einen Teil hinein → abkühlen lassen → auffangen und stehen lassen	länger · davon | bereit · dies	Bildbesitzer: unverbundener Zwischenbereich. Folge: ableiten → umschöpfen → gib einen Teil hinein → abkühlen lassen → auffangen und stehen lassen. Angaben: länger · davon | bereit · dies.	FREE_COMPOSITION	ROUTE>MEASURE_CHARGE>THERMAL>SETTLE>HOLD>CLOSE	YES	YES
B4-S015	f83r	B4	linke Hauptstation mit offenem Fransenlauf	6	0	6	gib einen Teil hinein → stehen lassen → dosiert zugeben → ablaufen lassen → auffangen → abführen + überführen	NONE	Bildbesitzer: linke Hauptstation mit offenem Fransenlauf. Folge: gib einen Teil hinein → stehen lassen → dosiert zugeben → ablaufen lassen → auffangen → abführen + überführen.	FREE_COMPOSITION	MEASURE_CHARGE>HOLD>MEASURE_CHARGE>ROUTE>SETTLE>ROUTE>CLOSE	YES	YES
B6-S001	f83r	B6	rechter S-Lauf im B6-Nachtrag	4	5	9	auffangen → zugeben → abkühlen lassen → hinleiten	fort | Maß | fort | Portion | dies	Bildbesitzer: rechter S-Lauf im B6-Nachtrag. Folge: auffangen → zugeben → abkühlen lassen → hinleiten. Angaben: fort | Maß | fort | Portion | dies.	FREE_COMPOSITION	SETTLE>MEASURE_CHARGE>THERMAL>ROUTE	YES	YES
