form_census_id	mode	source_expression_eva	head_surface	value_surface	amount_candidate_de	occurrences	pages	line_first	line_middle	line_last	paragraph_first	left_content_attachments	right_content_attachments	exact_boundary_bridges_for_type	unit_identity_confirmed
G760-F01	FUSED	araiin	ar	aiin	drei Anteile	4	4	0	4	0	0	0	0	1	0
G760-F02	FUSED	oraiiin	or	aiiin	vier Portionen	1	1	0	0	1	0	0	0	0	0
G760-F03	FUSED	oraiin	or	aiin	drei Portionen	21	18	3	13	5	0	3	4	1	0
G760-F04	FUSED	orain	or	ain	zwei Portionen	14	12	3	4	7	1	1	1	1	0
G760-F05	FUSED	saiiin	s	aiiin	vier Drachmen	1	1	0	1	0	0	1	0	0	0
G760-F06	FUSED	saiin	s	aiin	drei Drachmen	89	55	46	38	5	0	5	7	4	0
G760-F07	FUSED	sain	s	ain	zwei Drachmen	53	30	29	18	6	1	3	6	0	0
G760-F08	FUSED	san	s	an	eine Drachme	2	2	1	1	0	0	0	0	0	0
G760-F09	SEPARATED	ar aiiin	ar	aiiin	vier Anteile	6	6	0	6	0	0	0	0	0	0
G760-F10	SEPARATED	ar aiin	ar	aiin	drei Anteile	16	13	1	15	0	0	2	0	1	0
G760-F11	SEPARATED	ar ain	ar	ain	zwei Anteile	5	5	0	5	0	0	0	1	0	0
G760-F12	SEPARATED	or aiiin	or	aiiin	vier Portionen	7	5	0	7	0	0	0	1	0	0
G760-F13	SEPARATED	or aiin	or	aiin	drei Portionen	36	25	4	32	0	0	5	3	1	0
G760-F14	SEPARATED	or ain	or	ain	zwei Portionen	1	1	0	1	0	0	0	0	1	0
G760-F15	SEPARATED	s aiiin	s	aiiin	vier Drachmen	1	1	0	1	0	0	0	0	0	0
G760-F16	SEPARATED	s aiin	s	aiin	drei Drachmen	23	22	0	22	1	0	0	2	4	0
G760-F17	SEPARATED	s ain	s	ain	zwei Drachmen	1	1	0	1	0	0	0	0	0	0
