block_id	page	locus	kind	paragraph_start	paragraph_end	ivtff_raw	target	readings_json
f66r.12--f66r.12	f66r	f66r.12	L	0	0	saiin	1	"{""zl3b_clean"": ""saiin"", ""it2a_clean"": ""raiin"", ""rf1b_clean"": ""saiin""}"
f66r.70--f66r.81	f66r	f66r.70	P	1	0	<%>todeeey.keody.chdy.keody.shedy.shekeefy.chdy.sheol.shol.kedy.daly	0	"{""zl3b_clean"": ""todeeey keody chdy keody shedy shekeefy chdy sheol shol kedy daly"", ""it2a_clean"": ""todeeey keody chdy keody shedy shekeefy chdy sheol shol kedy daly"", ""rf1b_clean"": ""todeeey keody chd keody shedy shekeefy chdy sheol shol ke y aly""}"
f66r.70--f66r.81	f66r	f66r.71	P	0	0	saiir.cheol.kal.sheody.chcthedy.dal.shol.qokeody.chody.kechody	0	"{""zl3b_clean"": ""saiir cheol kal sheody chcthedy dal shol qokeody chody kechody"", ""it2a_clean"": ""saiir cheol kal sheody chcthedy dal shol qokeody chody kechody"", ""rf1b_clean"": ""raiir cheol kal sheod chcthe y al shol qokeody chody kecho y""}"
f66r.70--f66r.81	f66r	f66r.72	P	0	0	sshedy.oteedy.ykeeody.sheocthy.ol,ld,lshedy.chokeey.chekey.chey	0	"{""zl3b_clean"": ""sshedy oteedy ykeeody sheocthy ol ld lshedy chokeey chekey chey"", ""it2a_clean"": ""sshedy oteedy ykeeody sheocthy ol ld lshedy chokeey chekey chey"", ""rf1b_clean"": ""sshedy oteedy ykeeody sheocthy olld lshe y chokeey chekey chey""}"
f66r.70--f66r.81	f66r	f66r.73	P	0	0	ysheeod.qoteeod.qotol,qoky.chckhedy.shey.dcheol.cheky.cheo,dor	0	"{""zl3b_clean"": ""ysheeod qoteeod qotol qoky chckhedy shey dcheol cheky cheo dor"", ""it2a_clean"": ""ysheeod qoteeod qotol qoky chckhedy shey dcheol cheky cheo dor"", ""rf1b_clean"": ""ysheeod qoteeod qotol qoky chckhe y shey dcheol cheky cheodor""}"
f66r.70--f66r.81	f66r	f66r.74	P	0	0	ydaiin.shedy.otchedy.oteochey.tolchedy.lsheody.qoky,daiin.otam	0	"{""zl3b_clean"": ""ydaiin shedy otchedy oteochey tolchedy lsheody qoky daiin otam"", ""it2a_clean"": ""ydaiin shody otchedy oteochey tolchedy lsheody qoky daiin otam"", ""rf1b_clean"": ""ydaiin she y otchedy oteochey tolchedy lsheody qokydaiin otag""}"
f66r.70--f66r.81	f66r	f66r.75	P	0	0	tcheo.sheor.oteody.lpchees,ol,ar.alkey.otey.ltsholy.shecthy.r,ol	0	"{""zl3b_clean"": ""tcheo sheor oteody lpchees ol ar alkey otey ltsholy shecthy r ol"", ""it2a_clean"": ""tcheo sheor oteody lpchees ol ar alkey otey ltsholy shecthy r ol"", ""rf1b_clean"": ""tcheo sheor oteody lpchees ol ar alkey otey ltsholy shecthy rol""}"
f66r.70--f66r.81	f66r	f66r.76	P	0	0	daiin.sheol.qocthedy.qokedy.lchey.qokaly.shcthy.qotal.otchdy	0	"{""zl3b_clean"": ""daiin sheol qocthedy qokedy lchey qokaly shcthy qotal otchdy"", ""it2a_clean"": ""daiin sheol qocthedy qokedy lchey qokaly shcthy qotal otchdy"", ""rf1b_clean"": ""daiin sheol qocthedy qoke y lchey qokaly shcthy qotal otch y""}"
f66r.70--f66r.81	f66r	f66r.77	P	0	0	qokey.ar.olkeol.qokal.cheoky.ykchdy.chody.sheody.qoky.ldy	0	"{""zl3b_clean"": ""qokey ar olkeol qokal cheoky ykchdy chody sheody qoky ldy"", ""it2a_clean"": ""qokey ar olkeol qokal cheoky ykchdy chody sheody qoky ldy"", ""rf1b_clean"": ""qokey ar olkeol qokal cheoky ykchdy chody sheody qoky ldy""}"
f66r.70--f66r.81	f66r	f66r.78	P	0	0	dor.aiin.sheeol.lshedy.lchedy.cheedy.shekol.dalol.lodaiin	0	"{""zl3b_clean"": ""dor aiin sheeol lshedy lchedy cheedy shekol dalol lodaiin"", ""it2a_clean"": ""dor aiin sheeol lshedy lchedy cheedy shekol dalol lodaiin"", ""rf1b_clean"": ""dor iin sheeol lshedy lchedy cheedy shekol dalol lo aiin""}"
f66r.70--f66r.81	f66r	f66r.79	P	0	0	sheol.oteey,ldaiin.okalchedy.pchedy.kody.qotchedy.cphedy	0	"{""zl3b_clean"": ""sheol oteey ldaiin okalchedy pchedy kody qotchedy cphedy"", ""it2a_clean"": ""sheol oteey ldaiin okalchedy pchedy kody qotchedy cphedy"", ""rf1b_clean"": ""sheol oteey ldaiin okalche y pche y kody qotchedy cfhe y""}"
f66r.70--f66r.81	f66r	f66r.80	P	0	0	daiin.shey.qoteoly.raiin.sheedy.shcthy.lkeol.qokol.dkar	1	"{""zl3b_clean"": ""daiin shey qoteoly raiin sheedy shcthy lkeol qokol dkar"", ""it2a_clean"": ""daiin shey qoteoly raiin sheedy shcthy lkeol qokol dkar"", ""rf1b_clean"": ""daiin shey qoteoly raiin sheedy shcthy lkeol qokol dkar""}"
f66r.70--f66r.81	f66r	f66r.81	P	0	1	lchey.lkeedy.chety.shekaly.shckhar<$>	0	"{""zl3b_clean"": ""lchey lkeedy chety shekaly shckhar"", ""it2a_clean"": ""lchey lkeedy chety shekaly shckhar"", ""rf1b_clean"": ""lche lkee y chety shekaly shckhar""}"
f70v1.1--f70v1.1	f70v1	f70v1.1	C	0	0	<!11:00>dalalody.oteoshey.okoksheo.shokey.raiin.otor.ochy.s.a[ir:is].cheody.cheey.oteo,[ch:ee]y.daiir.chcthy.dlal.oteodaiin.ykeody.oteody.sheo.daiin.oteedy.chetalchs.zar.shoteeody.okeeo,dal.cheody.okchoteees.oteeody.cheokeo.otaiin.shes.to,ar.oly.daly.sheal	1	"{""zl3b_clean"": ""dalalody oteoshey okoksheo shokey raiin otor ochy s air cheody cheey oteo chy daiir chcthy dlal oteodaiin ykeody oteody sheo daiin oteedy chetalchs zar shoteeody okeeo dal cheody okchoteees oteeody cheokeo otaiin shes to ar oly daly sheal"", ""it2a_clean"": ""dalalody oteoshey okoksheo shokey raiin otor ochy sais cheody cheey oteoeey oamr chcthy dlal oteodaiin ykeody oteody sheo daiin oteedy chekalchs dar shoteeody okeeo dal cheody okchoteees oteeody cheokeo otaiin shes toar aly daly sheal daly sheal"", ""rf1b_clean"": ""dalalody oteoshey okoksheo shokey aiin otor ochy s air cheody cheey oteochy daiir chcthy lal oteodaiin ykeo y oteo y sheo daiin oteedy chetalchr mar shoteeody okeeodal cheo y okchoteees oteeody cheokeo otaiin shes to ar aly daly sheal""}"
f76r.51--f76r.56	f76r	f76r.51	P	1	0	<%>qkor.shedy.shey.keedy.sal.raiin.opchdy.dar,chedy.qopchedy.ro[r:s]ol	1	"{""zl3b_clean"": ""qkor shedy shey keedy sal raiin opchdy dar chedy qopchedy rorol"", ""it2a_clean"": ""qkor shedy shey keedy sal raiin opchdy dar chedy qopchedy rorol"", ""rf1b_clean"": ""qkor shed shey keedy sal raiin opchdy dar chedy qopched orol""}"
f76r.51--f76r.56	f76r	f76r.52	P	0	0	olsheed.qokedy.qokeedy.qokedy.lkedy.lsheedy.okar.shedy.otain	0	"{""zl3b_clean"": ""olsheed qokedy qokeedy qokedy lkedy lsheedy okar shedy otain"", ""it2a_clean"": ""olsheed qokedy qokeedy qokedy lkedy lsheedy okar shedy otain"", ""rf1b_clean"": ""lsheed qokedy qokeedy qokedy lkedy lsheedy okar shedy otain""}"
f76r.51--f76r.56	f76r	f76r.53	P	0	0	saiin.qol.shedy.ol.chedor.chal.shed.qoteedy.dshdy.okal.chedyl	0	"{""zl3b_clean"": ""saiin qol shedy ol chedor chal shed qoteedy dshdy okal chedyl"", ""it2a_clean"": ""saiin qol shedy ol chedor chal shed qoteedy dshedy okal chedyl"", ""rf1b_clean"": ""saiin qol edy ol chedor chal shed qoteedy dshedy okal chedyl""}"
f76r.51--f76r.56	f76r	f76r.54	P	0	0	dal,or,chedy.qolaiin.okedal.olchedy.chdol.olchedy.choly.aiin,y	0	"{""zl3b_clean"": ""dal or chedy qolaiin okedal olchedy chdol olchedy choly aiin y"", ""it2a_clean"": ""dal or chedy qolaiin okedal olchedy chdol olchedy choly aiiny"", ""rf1b_clean"": ""dal or chedy qolaiin oke al olchedy chdal olchedy choly aiiny""}"
