component_recipe	surface	renderer_microfunction	intended_trigger_de	occurrence_marks	identities	pages	sections	entry_class	forward_rule
AIIN	aiin	BARE_CONDITION_MEASURE	das bloße Maß in einer Bedingungsreihe	1	A3:G054	f69v	WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht BARE_CONDITION_MEASURE ist, schreibe aiin für AIIN.
AIIN	daiin	OPERATIONAL_MEASURE	das Maß innerhalb einer Prosaoperation	18	PROC009	f10r | f11r | f55v | f56r | f81v | f82r | f83r	HOW | WHAT	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht OPERATIONAL_MEASURE ist, schreibe daiin für AIIN.
AL	cheal	EMBEDDED_TARGET	eine im laufenden Block eingebettete Zielstelle	1	A3:G058	f69v	WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht EMBEDDED_TARGET ist, schreibe cheal für AL.
AL	dal	DEFAULT_TARGET	die gewöhnliche Zielstelle	13	A3:G044 | A3:G073 | A3:G105 | PROC055	f56r | f69v | f81v | f82r | f83r	HOW | WHAT | WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht DEFAULT_TARGET ist, schreibe dal für AL.
AR	ar	BARE_CONDITION_SOURCE	die bloße Quelle einer Bedingungsreihe	2	A3:G084 | A3:G092	f69v	WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht BARE_CONDITION_SOURCE ist, schreibe ar für AR.
AR	char	ACTIVE_SOURCE	die aktiv benutzte Quelle einer Prosaoperation	5	PROC003	f10r | f81v | f82r | f83r	HOW | WHAT	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht ACTIVE_SOURCE ist, schreibe char für AR.
CHD+DY	dchdy	DIRECT_TARGET_CLOSE	eine direkte Zielumsetzung schließen	1	PROC094	f81v	HOW	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht DIRECT_TARGET_CLOSE ist, schreibe dchdy für CHD+DY.
CHD+DY	schedy	DEFAULT_TRANSFER_CLOSE	den gewöhnlichen Umsetzschritt schließen	4	PROC076	f81v | f82r | f83r	HOW	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht DEFAULT_TRANSFER_CLOSE ist, schreibe schedy für CHD+DY.
CHD+Y	chdy	CONDITION_STATE_TRANSFER	einen Bedingungs- oder Zustandsposten umsetzen	1	A3:G082	f69v	WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht CONDITION_STATE_TRANSFER ist, schreibe chdy für CHD+Y.
CHD+Y	chedchy	MARKED_STATION_OPEN_TRANSFER	den Posten an einer markierten Station umsetzen	1	PROC133	f83r	HOW	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht MARKED_STATION_OPEN_TRANSFER ist, schreibe chedchy für CHD+Y.
CHD+Y	chedy	DEFAULT_OPEN_TRANSFER	den laufenden Posten gewöhnlich umsetzen	11	PROC042	f55v | f81v | f83r	HOW | WHAT	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht DEFAULT_OPEN_TRANSFER ist, schreibe chedy für CHD+Y.
CHK+EE+Y	cheeky	MATERIAL_LONG_WARM	einen Materialposten lange warm halten	2	PROC046	f55v | f83r	HOW | WHAT	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht MATERIAL_LONG_WARM ist, schreibe cheeky für CHK+EE+Y.
CHK+EE+Y	chkeey	APPARATUS_LONG_WARM	einen Geräte- oder Beckenposten lange warm halten	1	PROC107	f82r	HOW	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht APPARATUS_LONG_WARM ist, schreibe chkeey für CHK+EE+Y.
OK+CHD+DY	okchedy	CHAIN_FINAL_TRANSFER_CLOSE	den letzten Umsetzschritt einer Kette schließen	2	PROC091	f81v | f83r	HOW	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht CHAIN_FINAL_TRANSFER_CLOSE ist, schreibe okchedy für OK+CHD+DY.
OK+CHD+DY	qokchdy	STANDALONE_TRANSFER_CLOSE	einen alleinstehenden Umsetzschritt ansetzen und schließen	3	PROC082	f81v | f83r	HOW	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht STANDALONE_TRANSFER_CLOSE ist, schreibe qokchdy für OK+CHD+DY.
OK+OL	okchol	PRODUCTION_CONTINUATION_START	eine Herstellungsfolge weiter ansetzen	1	PROC037	f11r	WHAT	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht PRODUCTION_CONTINUATION_START ist, schreibe okchol für OK+OL.
OK+OL	qokol	APPLICATION_CONTINUATION_START	eine Anwendungsfolge weiter ansetzen	1	PROC160	f83r	HOW	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht APPLICATION_CONTINUATION_START ist, schreibe qokol für OK+OL.
OK+Y	choky	CONDITION_CURRENT_START	den aktuellen Bedingungsposten ansetzen	1	A3:G076	f69v	WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht CONDITION_CURRENT_START ist, schreibe choky für OK+Y.
OK+Y	qokchy	ARTICLE_INITIAL_CURRENT_START	den ersten aktuellen Posten eines Herstellungsartikels ansetzen	2	PROC011	f10r	WHAT	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht ARTICLE_INITIAL_CURRENT_START ist, schreibe qokchy für OK+Y.
OK+Y	qoky	DEFAULT_CURRENT_START	den gewöhnlichen aktuellen Posten ansetzen	11	PROC008	f10r | f56r | f81v | f82r | f83r	HOW | WHAT	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht DEFAULT_CURRENT_START ist, schreibe qoky für OK+Y.
OL	chol	ATTACHED_OR_RING_CONTINUATION	eine angehängte oder ringlokale Folge fortsetzen	2	A3:G042 | A3:G067	f69v	WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht ATTACHED_OR_RING_CONTINUATION ist, schreibe chol für OL.
OL	ls	TRANSFER_CONTINUATION	einen Transferweg fortsetzen	1	PROC115	f82r	HOW	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht TRANSFER_CONTINUATION ist, schreibe ls für OL.
OL	ol	GENERAL_CONTINUATION	den allgemeinen Arbeitsgang fortsetzen	19	A3:G069 | PROC013	f10r | f69v | f81v | f83r	HOW | WHAT | WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht GENERAL_CONTINUATION ist, schreibe ol für OL.
OL+Y	choly	CONDITION_CURRENT_CONTINUATION	den aktuellen Bedingungsposten fortsetzen	1	A3:G048	f69v	WHEN	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht CONDITION_CURRENT_CONTINUATION ist, schreibe choly für OL+Y.
OL+Y	qolchey	APPLICATION_CURRENT_CONTINUATION	den aktuellen Anwendungsposten fortsetzen	1	PROC154	f83r	HOW	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht APPLICATION_CURRENT_CONTINUATION ist, schreibe qolchey für OL+Y.
OT+CHD+DY	otchdy	COMPACT_FOLLOW_CLOSE	einen kompakten Folgeschritt schließen	1	PROC166	f83r	HOW	FUNCTIONAL_ALLOGRAPH	Wenn die Absicht COMPACT_FOLLOW_CLOSE ist, schreibe otchdy für OT+CHD+DY.
