deck_order	master_card_id	master_form	registered_surfaces	whole_sign_value_de	whole_sign_role	prose_event_count	records	reason_not_segmented
1	MC012	dl	dl	Zusatz	WHOLE_OPERATION_OR_STATE	2	B1	DL_BATH_ADDITIVE_WHOLE_CARD
2	MC037	tchody	tchody	kalt stellen; Schluss	WHOLE_OPERATION_OR_STATE	1	H3	TCHO + DY
3	MC049	schoal	schoal	Sudansatz	LEXICAL_BLOCKER	1	H3	LEXICAL_BLOCKER_AR_OR_DECOCTION_BATCH
4	MC052	qekey	qekey	kurz bearbeiten	WHOLE_OPERATION_OR_STATE	1	B6	MEMORIZED_WHOLE_CARD
5	MC059	dain	dain	Einlage	WHOLE_OPERATION_OR_STATE	2	B4|B6	DAIN_CLOTH_WHOLE
6	MC061	sshkchdy	sshkchdy	übertragen; Schluss	LEXICAL_BLOCKER	1	B1	LEXICAL_BLOCKER_AR_AL_TRANSFER+CLOSE
7	MC068	sotodan	sotodan	zur Folgeanwendung weiterführen	LEXICAL_BLOCKER	1	H5	LEXICAL_BLOCKER_AL_OL_FOLLOWUP_APPLICATION
8	MC071	dchey	dchey	Wurzel	WHOLE_NOUN	1	H1	DCHEY
9	MC084	rshedy	rshedy	Vollwaschung; Schluss	WHOLE_OPERATION_OR_STATE	1	B2	RSHE_WASH_WHOLE_CARD+DY_CLOSE
10	MC098	tshol	tshol	Kochgut	WHOLE_NOUN	1	H3	TSHOL
11	MC099	cheeckhody	cheeckhody	auftragen; Schluss	WHOLE_OPERATION_OR_STATE	1	H5	CHEECKHO + DY
12	MC108	etyd	etyd	kleiner Rest	WHOLE_NOUN	1	H1	ETYD
13	MC109	ytey	ytey	Kurzteil	WHOLE_OPERATION_OR_STATE	1	B1	MEMORIZED_WHOLE_CARD
14	MC114	sh	sh	Stängel	WHOLE_NOUN	1	H5	SH
15	MC118	ly	ly	Auffanggefäß	WHOLE_OPERATION_OR_STATE	1	B1	MEMORIZED_VESSEL_CARD
16	MC119	cheey	cheey|shey	Klarlauf	WHOLE_OPERATION_OR_STATE	4	B2|B4|H3	SHEY_CLEAR_LIQUID_WHOLE
17	MC124	lkedy	lkedy	weiter abziehen; Schluss	LEXICAL_BLOCKER	1	B4	LEXICAL_BLOCKER_AR_OL_CONTINUING_WITHDRAWAL+CLOSE
18	MC129	cfhy	cfhy	auswringen	WHOLE_OPERATION_OR_STATE	1	H3	CFHY
19	MC138	dshedy	dshedy	Frischwasser zugeben; Schluss	WHOLE_OPERATION_OR_STATE	1	B2	DSHE_FRESH_WATER+DY_CLOSE
20	MC152	ches	ches	teilen	WHOLE_OPERATION_OR_STATE	1	B2	MEMORIZED_WHOLE_CARD
21	MC156	cphy	cphy	nachseihen	WHOLE_OPERATION_OR_STATE	1	H3	CPHY
22	MC160	talam	talam	Verwahrort	WHOLE_NOUN	1	H4	TALAM
23	MC164	qokylddy	qokylddy	befestigen; Schluss	WHOLE_OPERATION_OR_STATE	1	B4	OK+Y_ITEM+LDDY_FASTEN_CLOSE
