gdt750_active_card_id	target_surface	page	physical_folio	locus	token_ordinal	emitted_axes	working_render_de	contributing_hosts	distance1_form_prior_axes	gdt749_prior_axes	relation_to_gdt749_prior	written_line_eva	literal_identity	confirmed_lexeme	component_export_credit
G750-A001	okeey	f102v2	f102	f102v2.36	8	HOT	heißer Zustand	-1:okey:HOT|MIDDLE_STAGE:d1	HOT|END_STAGE	HOT	AGREES_OR_NARROWS	okeeor cheey okeey sor eeey okey okey okeey qokeor	OPEN	0	0
G750-A002	cheey	f102v2	f102	f102v2.38	2	END_STAGE	End-/Vollstufe	1:ckheey:END_STAGE:d1	DRY|END_STAGE	DRY	ADDS_OR_RIVALS_PRIOR	dar cheey ckheey qokeor okey chos sho ykeey okeeo rain	OPEN	0	0
G750-A003	okeey	f103r	f103	f103r.27	2	HOT|END_STAGE	heißer Zustand an der End-/Vollstufe	1:qokeey:HOT|END_STAGE:d1	HOT|END_STAGE	HOT	ADDS_OR_RIVALS_PRIOR	qokechy okeey qokeey lkeeody sheey qokeey lkeol tchey qokeey okeey qokaly	OPEN	0	0
G750-A004	okeey	f103r	f103	f103r.50	8	HOT|END_STAGE	heißer Zustand an der End-/Vollstufe	-1:qokeey:HOT|END_STAGE:d1	HOT|END_STAGE	HOT	ADDS_OR_RIVALS_PRIOR	ssheey l shey qol cheey chey qokeey okeey qokain cheey qotain	OPEN	0	0
G750-A005	okeey	f103v	f103	f103v.4	4	HOT|END_STAGE	heißer Zustand an der End-/Vollstufe	-1:qokeey:HOT|END_STAGE:d1	HOT|END_STAGE	HOT	ADDS_OR_RIVALS_PRIOR	y cheey qokeey okeey lkees ol qoteedy ykeedy	OPEN	0	0
G750-A006	okeey	f108r	f108	f108r.27	4	HOT|END_STAGE	heißer Zustand an der End-/Vollstufe	1:qokeey:HOT|END_STAGE:d1	HOT|END_STAGE	HOT	ADDS_OR_RIVALS_PRIOR	ychedain orcheory qoaiin okeey qokeey chdal okedy qokedy okedam chdy	OPEN	0	0
G750-A007	okeey	f108r	f108	f108r.42	1	HOT|END_STAGE	heißer Zustand an der End-/Vollstufe	1:qokeey:HOT|END_STAGE:d1	HOT|END_STAGE	HOT	ADDS_OR_RIVALS_PRIOR	okeey qokeey qokeedy qokeey chedal chedy qokeey okeedain otain oolals	OPEN	0	0
G750-A008	okeey	f108r	f108	f108r.5	4	END_STAGE	End-/Vollstufe	-1:oteey:COLD|END_STAGE:d1	HOT|END_STAGE	HOT	ADDS_OR_RIVALS_PRIOR	tchokedy chey oteey okeey lkededy okche y pchofar cheo pchedy qotedy otol	OPEN	0	0
G750-A009	sheey	f111v	f111	f111v.27	2	MOIST|END_STAGE	feuchter/eingeweichter Zustand an der End-/Vollstufe	1:tsheey:COLD|MOIST|END_STAGE:d1	MOIST|END_STAGE	END_STAGE	ADDS_OR_RIVALS_PRIOR	ol sheey tsheey alkar sheey otain ches shy qokl chey qoklcheor ldar llo	OPEN	0	0
G750-A010	okeey	f112r	f112	f112r.13	6	HOT|END_STAGE	heißer Zustand an der End-/Vollstufe	-1:qokeey:HOT|END_STAGE:d1	HOT|END_STAGE	HOT	ADDS_OR_RIVALS_PRIOR	sor aiin chdy ches qokeey okeey otaiin chcthy oteey dy	OPEN	0	0
G750-A011	okeey	f112r	f112	f112r.9	3	HOT|END_STAGE	heißer Zustand an der End-/Vollstufe	1:qokeey:HOT|END_STAGE:d1	HOT|END_STAGE	HOT	ADDS_OR_RIVALS_PRIOR	saiin ol okeey qokeey y chedy teedy qokchy qokar y	OPEN	0	0
G750-A012	okeey	f17v	f17	f17v.20	2	HOT|END_STAGE	heißer Zustand an der End-/Vollstufe	-1:ykeey:HOT|END_STAGE:d1	HOT|END_STAGE	HOT	ADDS_OR_RIVALS_PRIOR	ykeey okeey cheor chol sho odaiin	OPEN	0	0
G750-A013	okeey	f3r	f3	f3r.14	3	HOT|END_STAGE	heißer Zustand an der End-/Vollstufe	1:qokeey:HOT|END_STAGE:d1	HOT|END_STAGE	HOT	ADDS_OR_RIVALS_PRIOR	chor qodair okeey qokeey	OPEN	0	0
G750-A014	cheky	f66v	f66	f66v.8	6	DRY	trockener Zustand	1:chety:COLD|DRY:d1	DRY|END_STAGE	MIDDLE_STAGE	ADDS_OR_RIVALS_PRIOR	dchekeedy cheody qokchdy qokol keedy cheky chety kody	OPEN	0	0
G750-A015	okeey	f76r	f76	f76r.16	5	HOT|END_STAGE	heißer Zustand an der End-/Vollstufe	-1:qokeey:HOT|END_STAGE:d1	HOT|END_STAGE	HOT	ADDS_OR_RIVALS_PRIOR	qotes chedy shckhy qokeey okeey kain checkhy qokeedy qotey qotain chekair	OPEN	0	0
