state	surface	events	truth	recovered	correct
P	k	805	i	i	1
U	shedy	785	i	i	1
S	dy	768	i	i	1
S	edy	737	e	e	1
P	ch	728	e	e	1
U	chedy	696	e	e	1
S	aiin	681	a	a	1
U	ol	664	a	a	1
U	dar	587	e	e	1
S	eey	532	u	u	1
P	t	526	r	r	1
P	sh	509	a	a	1
U	qokaiin	504	t	t	1
U	qokeey	480	s	s	1
S	y	473	t	t	1
U	daiin	462	n	n	1
U	qokeedy	443	r	r	1
S	ar	436	s	s	1
P	ot	436	u	u	1
U	qokain	435	u	u	1
P	opch	418	n	n	1
P	lk	412	s	s	1
P	r	391	o	o	1
S	o	379	i	i	1
S	eedy	372	r	r	1
P	qok	363	t	t	1
S	al	362	n	n	1
S	or	359	o	o	1
S	eor	340	i	i	1
P	l	339	m	m	1
P	yk	336	i	i	1
S	eody	332	i	i	1
P	qo	332	e	e	1
U	qokar	328	m	m	1
U	aiin	327	o	o	1
P	ls	321	a	a	1
P	olch	321	a	a	1
P	ych	315	i	i	1
P	yt	315	a	a	1
P	ol	311	e	e	1
U	ar	311	e	e	1
S	ain	307	e	e	1
S	ody	307	m	m	1
U	otedy	302	i	i	1
S	ey	301	e	e	1
U	shey	297	i	i	1
S	air	297	a	a	1
U	qokedy	293	i	i	1
U	chey	291	c	c	1
P	lch	288	c	c	1
S	ed	283	a	a	1
S	eol	281	a	a	1
P	op	277	u	u	1
P	p	276	u	u	1
S	ol	258	e	e	1
S	es	256	l	l	1
P	pch	256	t	t	1
P	qot	255	i	i	1
U	or	253	a	a	1
P	cth	246	l	l	1
U	chdy	244	a	a	1
P	od	240	t	t	1
S	eeol	238	u	u	1
S	eeey	238	c	c	1
P	ar	232	t	t	1
S	eal	231	u	u	1
S	ees	231	t	t	1
S	eed	226	s	s	1
P	qopch	226	r	r	1
S	eo	226	u	u	1
U	qol	225	a	a	1
S	edaiin	224	t	t	1
P	ok	220	e	e	1
S	edal	217	s	s	1
S	daiin	215	r	r	1
U	qokal	215	l	l	1
U	otaiin	212	t	t	1
S	eeor	212	r	r	1
U	sheey	211	t	t	1
U	okaiin	210	t	t	1
U	sheedy	210	u	u	1
P	tch	210	r	r	1
P	ysh	209	r	r	1
P	sol	208	s	s	1
P	kch	206	n	n	1
U	okain	205	u	u	1
S	s	204	r	r	1
S	oiin	204	n	n	1
P	chcth	203	s	s	1
P	o	203	d	d	1
U	otain	197	u	u	1
S	am	196	t	t	1
S	ear	195	e	e	1
P	sal	193	i	i	1
S	eeo	190	s	s	1
P	or	189	s	s	1
U	oteedy	189	r	r	1
S	d	188	n	n	1
S	eeody	186	d	d	1
S	dar	180	e	e	1
S	eod	179	n	n	1
P	dch	179	p	p	1
P	olk	179	u	u	1
U	okeedy	177	r	r	1
U	lchedy	177	e	e	1
U	dain	176	n	n	1
S	edar	176	p	p	1
U	cheey	175	d	d	1
U	dal	174	n	n	1
U	okeey	173	s	s	1
P	oly	173	n	n	1
U	shol	172	s	s	1
U	sheol	170	r	r	1
P	al	169	a	a	1
U	oteey	169	s	s	1
S	eos	161	o	o	1
S	od	161	i	i	1
S	m	159	i	i	1
P	dsh	157	e	e	1
U	dy	157	n	n	1
U	raiin	156	i	i	1
S	edam	154	o	o	1
S	dal	152	a	a	1
P	lsh	150	e	e	1
U	qoky	149	p	p	1
P	aiiin	149	m	m	1
S	eeedy	146	o	o	1
S	aly	145	a	a	1
U	ain	145	o	o	1
U	y	143	o	o	1
P	chckh	143	a	a	1
U	sain	142	m	m	1
P	lkch	142	o	o	1
S	eedar	142	m	m	1
U	qotedy	142	i	i	1
U	al	141	o	o	1
P	ckh	141	u	u	1
P	y	141	c	c	1
U	otar	139	m	m	1
U	chckhy	138	e	e	1
P	olsh	138	i	i	1
P	fch	137	u	u	1
P	shcth	136	m	m	1
S	edain	136	m	m	1
S	dain	136	m	m	1
U	chol	136	a	a	1
S	aiir	135	c	c	1
P	okch	135	n	n	1
P	lt	131	o	o	1
P	dl	131	q	q	1
S	eedain	129	u	u	1
S	aiiin	128	c	c	1
U	okar	125	m	m	1
P	ody	123	o	o	1
P	och	122	c	c	1
U	okedy	121	c	c	1
P	s	118	m	m	1
S	r	117	c	c	1
P	rch	116	t	t	1
P	tsh	116	c	c	1
S	ee	115	u	u	1
P	sor	114	t	t	1
U	olkaiin	112	t	t	1
P	ksh	112	s	s	1
S	eees	111	n	n	1
S	iin	109	q	q	1
S	om	109	t	t	1
S	an	109	s	s	1
U	shckhy	108	c	c	1
S	eear	107	r	r	1
S	os	107	s	s	1
U	cheol	107	a	a	1
U	qokol	106	q	q	1
S	dam	106	r	r	1
U	lkaiin	102	c	c	1
P	dol	101	b	b	1
P	sch	100	l	l	1
U	qoteedy	99	r	r	1
P	aiir	98	n	n	1
U	otal	97	l	l	1
P	qop	97	r	r	1
U	olkeedy	96	r	r	1
S	eain	96	n	n	1
