event_id	statement_id	physical_page	register	owner_de	surface	component_recipe	inherited_action_root	old_clause_de	order_safe_clause_de	repair_rule	meaning_change
G407-E0029	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	daraiin	D_ADDR+AR+AIIN	S	Im laufenden Gang wähle den Kennwert; von der Ausgangszeile; an der bezeichneten Stelle.	Von der Ausgangszeile: im laufenden Gang wähle den Kennwert; an der bezeichneten Stelle.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E0743	P1009-S026	f55v	HERBAL	große aromatische Doldenpflanze	aldy	AL+D_ADDR+Y	CH	Im laufenden Gang nimm den Pflanzenposten; zur Zielstelle; an der bezeichneten Stelle.	Zur Zielstelle: im laufenden Gang nimm den Pflanzenposten; an der bezeichneten Stelle.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E0831	P1009-S029	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	chodaly	HO+AL+Y	CH	Im laufenden Gang nimm den Pflanzenposten; zur Zielstelle; in der bezeichneten Klasse.	Zur Zielstelle: im laufenden Gang nimm den Pflanzenposten; in der bezeichneten Klasse.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E0905	P1009-S031	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	aldy	AL+D_ADDR+Y	S	Im laufenden Gang wähle den Positionsposten; zur Zielposition; an der bezeichneten Stelle.	Zur Zielposition: im laufenden Gang wähle den Positionsposten; an der bezeichneten Stelle.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E0948	P1009-S036	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	alaiin	AL+AIIN	S	Im laufenden Gang wähle den Positionswert; zur Zielposition.	Zur Zielposition: im laufenden Gang wähle den Positionswert.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E0993	P1009-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	aldaiin	AL+D_ADDR+AIIN	S	Im laufenden Gang wähle den Positionswert; zur Zielposition; an der bezeichneten Stelle.	Zur Zielposition: im laufenden Gang wähle den Positionswert; an der bezeichneten Stelle.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E1117	P1009-S047	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	aly	AL+Y	CH	Im laufenden Gang nimm den Positionsposten auf; zur Zielposition.	Zur Zielposition: im laufenden Gang nimm den Positionsposten auf.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E1123	P1009-S048	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	otaly	OT+AL+Y	SH	Danach im laufenden Gang halte den Positionsposten; zur Zielposition.	Danach, zur Zielposition: im laufenden Gang halte den Positionsposten.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E1160	P1009-S053	f72r	CELESTIAL	Tierkreis-Ringgruppe A	chalaiin	AL+AIIN	SH	Im laufenden Gang halte den Positionswert; zur Zielposition.	Zur Zielposition: im laufenden Gang halte den Positionswert.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E1207	P1009-S056	f72r	CELESTIAL	Tierkreis-Ringgruppe C	aroly	AR+OL+Y	S	Weiter im laufenden Gang wähle den Positionsposten; von der Ausgangsposition.	Weiter, von der Ausgangsposition: im laufenden Gang wähle den Positionsposten.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E1209	P1009-S056	f72r	CELESTIAL	Tierkreis-Ringgruppe C	alaiin	AL+AIIN	S	Im laufenden Gang wähle den Positionswert; zur Zielposition.	Zur Zielposition: im laufenden Gang wähle den Positionswert.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E1273	P1009-S058	f72r	CELESTIAL	Tierkreis-Ringgruppe E	otaly	OT+AL+Y	OK	Danach im laufenden Gang setze den Positionsposten; zur Zielposition.	Danach, zur Zielposition: im laufenden Gang setze den Positionsposten.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E1288	P1009-S061	f72r	CELESTIAL	Tierkreis-Ringgruppe F	aloy	AL+O+Y	NONE	Bezug: den Positionsposten; zur Zielposition; als Ausführung.	Führe den Positionsposten aus an der Zielposition.	REFERENCE_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E1294	P1009-S061	f72r	CELESTIAL	Tierkreis-Ringgruppe F	aly	AL+Y	S	Im laufenden Gang wähle den Positionsposten; zur Zielposition.	Zur Zielposition: im laufenden Gang wähle den Positionsposten.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E1318	P1009-S063	f72r	CELESTIAL	Tierkreis-Ringgruppe G	alaiiin	AL+AIIN+LOCAL_CHAR_I	SH	Im laufenden Gang halte den Positionswert; zur Zielposition; mit der lokalen Variante.	Zur Zielposition: im laufenden Gang halte den Positionswert; mit der lokalen Variante.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E1320	P1009-S063	f72r	CELESTIAL	Tierkreis-Ringgruppe G	alaiin	AL+AIIN	S	Im laufenden Gang wähle den Positionswert; zur Zielposition.	Zur Zielposition: im laufenden Gang wähle den Positionswert.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E1341	P1009-S064	f72r	CELESTIAL	Tierkreis-Ringgruppe G	chealdy	AL+Y	OK	Im laufenden Gang setze den Positionsposten; zur Zielposition.	Zur Zielposition: im laufenden Gang setze den Positionsposten.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E1367	P1009-S067	f72r	CELESTIAL	Tierkreis-Ringgruppe H	tealy	AL+Y	SH	Im laufenden Gang halte den Positionsposten; zur Zielposition.	Zur Zielposition: im laufenden Gang halte den Positionsposten.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E1434	P1009-S073	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	ly	L+Y	SH	Im laufenden Gang halte den Stationsposten; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang halte den Stationsposten.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E1552	P1009-S100	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	aly	AL+Y	OK	Im laufenden Gang setze den Stationsposten im Stationsgang an; zur Zielstation.	Zur Zielstation: im laufenden Gang setze den Stationsposten im Stationsgang an.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E1602	P1009-S109	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lchey	L+Y	SH	Im laufenden Gang halte den Stationsposten; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang halte den Stationsposten.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E1613	P1009-S109	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lor	L+OR	SH	Im laufenden Gang halte die Stationseinheit; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang halte die Stationseinheit.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E1636	P1009-S109	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	lor	L+OR	T	Im laufenden Gang stelle die Stationseinheit ein; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang stelle die Stationseinheit ein.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E1923	P1009-S201	f76r	BIOLOGICAL	unbebilderter Textabschnitt A2	daly	AL+Y	CHD	Im laufenden Gang bearbeite den Stationsposten; zur Zielstation.	Zur Zielstation: im laufenden Gang bearbeite den Stationsposten.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2029	P1009-S229	f76r	BIOLOGICAL	unbebilderter Textabschnitt A5	qotaly	OT+AL+Y	SH	Danach im laufenden Gang halte den Stationsposten; zur Zielstation.	Danach, zur Zielstation: im laufenden Gang halte den Stationsposten.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2058	P1009-S236	f76r	BIOLOGICAL	unbebilderter Textabschnitt A6	lor	L+OR	OK	Im laufenden Gang setze die Stationseinheit im Stationsgang an; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang setze die Stationseinheit im Stationsgang an.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2068	P1009-S237	f76r	BIOLOGICAL	unbebilderter Textabschnitt A6	lklchey	L+Y	K	Im laufenden Gang führe den Stationsposten zu; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang führe den Stationsposten zu.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2071	P1009-S238	f76r	BIOLOGICAL	unbebilderter Textabschnitt A6	llaiir	L+AIIN	CHD	Im laufenden Gang bearbeite den Stationswert; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang bearbeite den Stationswert.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2083	P1009-S239	f76r	BIOLOGICAL	unbebilderter Textabschnitt A6	lchey	L+Y	CH	Im laufenden Gang entnimm den Stationsposten; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang entnimm den Stationsposten.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2112	P1009-S243	f76r	BIOLOGICAL	unbebilderter Textabschnitt A7	laiin	L+AIIN	OK	Im laufenden Gang setze den Stationswert im Stationsgang an; über die sichtbare Verbindung.	Über die sichtbare Verbindung: im laufenden Gang setze den Stationswert im Stationsgang an.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2120	P1009-S243	f76r	BIOLOGICAL	unbebilderter Textabschnitt A7	dalaiin	AL+AIIN	OK	Im laufenden Gang setze den Stationswert im Stationsgang an; zur Zielstation.	Zur Zielstation: im laufenden Gang setze den Stationswert im Stationsgang an.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
G407-E2187	P1009-S254	f76r	BIOLOGICAL	unbebilderter Textabschnitt A8	talor	L+AL+OR	CHD	Im laufenden Gang bearbeite die Stationseinheit; über die sichtbare Verbindung und zur Zielstation.	Über die sichtbare Verbindung und zur Zielstation: im laufenden Gang bearbeite die Stationseinheit.	INHERITED_ACTION_RELATION_BEFORE_ARGUMENT	NO__RELATION_ARGUMENT_ORDER_ONLY
