request_id	cell_id	wanted_atom_sequence	wanted_instruction_de	missing_catalog_categories	number_of_missing_categories	master_request_de	apprentice_must_not_do_de
REQ-01	B05E02	CTH+CLOSE	bereitstellen und den Schritt schließen	CLOSE	1	Bitte passende bare Karte(n) oder konventionelle Ersatzwendung zeigen.	Keine neue Zeichenfolge zusammensetzen.
REQ-02	B06E02	CKH+CLOSE	durchführen und den Schritt schließen	CLOSE	1	Bitte passende bare Karte(n) oder konventionelle Ersatzwendung zeigen.	Keine neue Zeichenfolge zusammensetzen.
REQ-03	B07E09	CKHE+E+Y	trennen kurz am aktuellen Posten	E+Y	1	Bitte passende bare Karte(n) oder konventionelle Ersatzwendung zeigen.	Keine neue Zeichenfolge zusammensetzen.
REQ-04	B08E02	CHK+CLOSE	wärmen und den Schritt schließen	CLOSE	1	Bitte passende bare Karte(n) oder konventionelle Ersatzwendung zeigen.	Keine neue Zeichenfolge zusammensetzen.
REQ-05	B09E02	SHED+CLOSE	absetzen lassen und den Schritt schließen	SHED|CLOSE	2	Bitte passende bare Karte(n) oder konventionelle Ersatzwendung zeigen.	Keine neue Zeichenfolge zusammensetzen.
REQ-06	B09E04	SHED+AIN	absetzen lassen an einer Portion	SHED	1	Bitte passende bare Karte(n) oder konventionelle Ersatzwendung zeigen.	Keine neue Zeichenfolge zusammensetzen.
REQ-07	B09E05	SHED+IIN	absetzen lassen bis zur Stufe	SHED	1	Bitte passende bare Karte(n) oder konventionelle Ersatzwendung zeigen.	Keine neue Zeichenfolge zusammensetzen.
REQ-08	B09E08	SHED+AIR	absetzen lassen entlang des Laufs	SHED	1	Bitte passende bare Karte(n) oder konventionelle Ersatzwendung zeigen.	Keine neue Zeichenfolge zusammensetzen.
REQ-09	B10E02	SOLK+CLOSE	auffangen und den Schritt schließen	SOLK|CLOSE	2	Bitte passende bare Karte(n) oder konventionelle Ersatzwendung zeigen.	Keine neue Zeichenfolge zusammensetzen.
REQ-10	B10E04	SOLK+AIN	auffangen an einer Portion	SOLK	1	Bitte passende bare Karte(n) oder konventionelle Ersatzwendung zeigen.	Keine neue Zeichenfolge zusammensetzen.
REQ-11	B10E05	SOLK+IIN	auffangen bis zur Stufe	SOLK	1	Bitte passende bare Karte(n) oder konventionelle Ersatzwendung zeigen.	Keine neue Zeichenfolge zusammensetzen.
REQ-12	B10E08	SOLK+AIR	auffangen entlang des Laufs	SOLK	1	Bitte passende bare Karte(n) oder konventionelle Ersatzwendung zeigen.	Keine neue Zeichenfolge zusammensetzen.
REQ-13	B10E11	SOLK+E+CLOSE	auffangen kurz und dann schließen	SOLK	1	Bitte passende bare Karte(n) oder konventionelle Ersatzwendung zeigen.	Keine neue Zeichenfolge zusammensetzen.
REQ-14	B11E02	KCH+CLOSE	bearbeiten und den Schritt schließen	CLOSE	1	Bitte passende bare Karte(n) oder konventionelle Ersatzwendung zeigen.	Keine neue Zeichenfolge zusammensetzen.
REQ-15	B12E02	SH+CLOSE	halten und den Schritt schließen	CLOSE	1	Bitte passende bare Karte(n) oder konventionelle Ersatzwendung zeigen.	Keine neue Zeichenfolge zusammensetzen.
REQ-16	B12E09	SH+E+Y	halten kurz am aktuellen Posten	E+Y	1	Bitte passende bare Karte(n) oder konventionelle Ersatzwendung zeigen.	Keine neue Zeichenfolge zusammensetzen.
