order_id	master_unit_id	unit	surface_sequence	single_gap_surface	single_gap_value_de	continuous_reading_de	new_status
WH01	MU005	B1-S003	ol sshkchdy	sshkchdy	NACHMISCHEN UND SCHLIESSEN	Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen.	SHARED_OR_TAUGHT_EXECUTABLE
WH01	MU008	B1-S006	qokain chckhy dl ral	ral	ZIELKUEHLEN	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.	SHARED_OR_TAUGHT_EXECUTABLE
WH01	MU014	B1-S012	lsho okey lshedy	lsho	SPUELEN	Am gemeinsamen zweireihigen Becken: Im Arbeitsgang spuelen, den Posten kurz ansetzen, nochmals kurz spuelen und den Schritt schliessen.	SHARED_OR_TAUGHT_EXECUTABLE
WH01	MU017	B1-S015	ytey okchedy	ytey	KURZ BEARBEITEN	Am gemeinsamen zweireihigen Becken: Den laufenden Posten kurz bearbeiten; dann ansetzen und umsetzen; den Schritt schliessen.	SHARED_OR_TAUGHT_EXECUTABLE
WH02	MU034	B2-S006	oteey qokal sheckhy qoky	sheckhy	KURZ IM DURCHLASS HALTEN	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.	SHARED_OR_TAUGHT_EXECUTABLE
WH02	MU036	B2-S008	otaiin qokar shedy	qokar	AUS DER QUELLE ANSETZEN	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann stehen lassen; den Schritt schliessen.	SHARED_OR_TAUGHT_EXECUTABLE
WH02	MU038	B2-S010	qokeey qoky ls cheey	ls	WEITERARBEITEN	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann weiterarbeiten; dann ihn laenger halten.	SHARED_OR_TAUGHT_EXECUTABLE
WH02	MU043	B2-S015	tshey qokeedy	tshey	KURZ HALTEN	An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen.	SHARED_OR_TAUGHT_EXECUTABLE
WH03	MU055	B3-S002	qotal chkeedy	chkeedy	LANG ERWAERMEN UND SCHLIESSEN	An der oberen offenen Faecherstation: Danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen.	SHARED_OR_TAUGHT_EXECUTABLE
WH03	MU059	B3-S006	chedchy qokal qolchedy	chedchy	POSTEN UMSETZEN	Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zur Zielstelle ansetzen; dann weiter umsetzen; den Schritt schliessen.	SHARED_OR_TAUGHT_EXECUTABLE
WH03	MU063	B3-S010	pchedal otedy	pchedal	AN DER ZIELSTELLE EINBRINGEN	Am unteren Korbgefaess: An der Zielstelle einbringen und umsetzen; danach den kurzen Folgeschritt schliessen.	SHARED_OR_TAUGHT_EXECUTABLE
WH03	MU069	B3-S016	lo okchedy	lo	IM ARBEITSGANG LEITEN	Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Arbeitsgang leiten; dann ansetzen und umsetzen; den Schritt schliessen.	SHARED_OR_TAUGHT_EXECUTABLE
WH03	MU082	B3-S029	ol cheeety qokedy	cheeety	VOLLSTAENDIG DURCHARBEITEN	Am durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; dann den laufenden Posten vollstaendig bearbeiten; dann kurz ansetzen; den Schritt schliessen.	SHARED_OR_TAUGHT_EXECUTABLE
WH03	MU083	B3-S030	qoky daiin schedair otchedy	schedair	WASSER UMSETZEN	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Sollmass ansetzen, das laufende Wasser umsetzen; danach nochmals umsetzen und schliessen.	SHARED_OR_TAUGHT_EXECUTABLE
WH03	MU087	B3-S034	oiiin checthy chety otaiin olsaly shedy	olsaly	AN DER ZIELSTELLE WEITERFUEHREN	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und bearbeiten; danach nach Sollmass an der Zielstelle weiterfuehren, stehen lassen und schliessen.	SHARED_OR_TAUGHT_EXECUTABLE
WH04	MU090	H4-S002	daiin chedy talam	talam	BEISEITESTELLEN	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass den laufenden Posten umsetzen und anschliessend beiseitestellen.	SHARED_OR_TAUGHT_EXECUTABLE
WH04	MU094	B4-S002	qolchey qokeey qokedy	qolchey	POSTEN WEITERFUEHREN	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten weiterarbeiten; dann ihn laenger ansetzen; dann kurz ansetzen; den Schritt schliessen.	SHARED_OR_TAUGHT_EXECUTABLE
WH04	MU095	B4-S003	chedy qotal otchey qokeey qoky ol shedy	otchey	FOLGEPOSTEN	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, stehen lassen und schliessen.	SHARED_OR_TAUGHT_EXECUTABLE
WH04	MU100	B4-S008	daiin cheeky sheey qokedy	sheey	LAENGER HALTEN	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Sollmass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.	SHARED_OR_TAUGHT_EXECUTABLE
WH04	MU105	B4-S013	qokol shedy	qokol	WEITERANSETZEN	An der linken offenen Randstation: Weiter ansetzen; dann stehen lassen; den Schritt schliessen.	SHARED_OR_TAUGHT_EXECUTABLE
WH04	MU108	B4-S016	olkain dal skar shedy	skar	AUS DER QUELLE ZUGEBEN	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, stehen lassen und schliessen.	SHARED_OR_TAUGHT_EXECUTABLE
