contradiction_id	level	affected_units	contradiction	support_count	severity	containment	status	source
PURPOSE_A01	BOOK_PURPOSE	ALL	No verified period witness in the audit combines an illustrated Herbal, a local bath-station atlas, and several celestial instruments in this exact architecture.	1	HIGH	Treat A as a composite period-purpose model, never as a located source manuscript.	OPEN	V76_SELECTED_CONTRADICTIONS
PURPOSE_A02	BOOK_PURPOSE	H1-H5	Species, recipe media, doses, diseases, and exact actions remain unsupported source-class exemplars.	1	HIGH	Retain whole-plant owners and occurrence exemplars; add no portable form value.	OPEN	V76_SELECTED_CONTRADICTIONS
PURPOSE_A03	BOOK_PURPOSE	B2-B6	Disconnected Bio scenes and owner breaks resist a continuous treatment flow.	1	HIGH	Model a station atlas with local articles, not one page-wide regimen or substance.	CONTAINED	V76_SELECTED_CONTRADICTIONS
PURPOSE_A04	BOOK_PURPOSE	A1-A3	No visible rule connects the celestial instruments to diagnosis, treatment timing, or prognosis.	1	HIGH	Medical use is book-purpose context only; each wheel remains an anonymous local instrument.	OPEN	V76_SELECTED_CONTRADICTIONS
PURPOSE_A05	BOOK_PURPOSE	ALL	A physician, apothecary, bath practitioner, and calendar specialist may be too broad a single user.	1	MEDIUM	Prefer an institutional/household workshop or practitioner network over a lone polymath owner.	OPEN	V76_SELECTED_CONTRADICTIONS
PURPOSE_A06	BOOK_PURPOSE	ALL	Multiple hands could record copying history rather than specialist division of labor.	1	MEDIUM	Keep multi-scribe production compatible with both specialist and sequential copying models.	OPEN	V76_SELECTED_CONTRADICTIONS
PURPOSE_B01	BOOK_PURPOSE	H1-H5	The selected Herbal source-class articles are more recipe-like than captions or specimen labels.	1	HIGH	B must treat the recipe layer as a rival material protocol, not erase it.	OPEN	V76_SELECTED_CONTRADICTIONS
PURPOSE_B02	BOOK_PURPOSE	B1-B6	Nude figures actively bathing fit therapeutic/topographic bath literature better than a pure machine modelbook.	1	HIGH	B is an image atlas of natural/artificial stations, not a claim that bodies are machine parts.	OPEN	V76_SELECTED_CONTRADICTIONS
PURPOSE_B03	BOOK_PURPOSE	ALL	No visible natural/artificial/celestial taxonomy or section rubric proves an encyclopedic programme.	1	HIGH	Use the triad only as a purpose hypothesis explaining coexistence.	OPEN	V76_SELECTED_CONTRADICTIONS
PURPOSE_B04	BOOK_PURPOSE	H1-B6	Long local text groups are costlier than the short-caption economy of the strongest image-modelbook comparators.	1	MEDIUM	Allow operational annotations or copied exemplars rather than simple picture names.	OPEN	V76_SELECTED_CONTRADICTIONS
PURPOSE_B05	BOOK_PURPOSE	B2-B6	No visible arrows, dimensions, material labels, or stable hydraulic direction proves apparatus construction.	1	HIGH	Keep technical readings as local rivals only.	OPEN	V76_SELECTED_CONTRADICTIONS
PURPOSE_B06	BOOK_PURPOSE	A1-A3	Celestial diagrams can be working instruments rather than teaching/model sheets.	1	MEDIUM	Do not infer decorative or pedagogic use from geometry alone.	OPEN	V76_SELECTED_CONTRADICTIONS
PURPOSE_S01	BOOK_PURPOSE	ALL	The target pages provide no verified readable source text, donor manuscript, codebook, nomenclator, or dictionary entry.	1	CRITICAL	No dictionary gloss was added anywhere in V76 R2.	SEALED	V76_SELECTED_CONTRADICTIONS
PURPOSE_S02	BOOK_PURPOSE	ALL	The ten-page sample cannot establish original binding order or the purpose of the complete book.	1	HIGH	Limit conclusions to the fixed ten-page workshop sample.	OPEN	V76_SELECTED_CONTRADICTIONS
PURPOSE_S03	BOOK_PURPOSE	ALL	Local text fitting around drawings supports target image-first planning but does not prove the order for every folio or section.	1	HIGH	State picture-first as a target working inference; period comparators show mixed production orders.	CONTAINED	V76_SELECTED_CONTRADICTIONS
PURPOSE_S04	BOOK_PURPOSE	A1-A3	No common start, direction, rotation, f68-f69 key, or prose-card import is visible.	1	CRITICAL	Preserve three local instrument namespaces and no cross-page calculation.	SEALED	V76_SELECTED_CONTRADICTIONS
FORMAL_01_GENERAL_VISIBLE_READ_ONCE_RULE	FORMAL_READBACK	GENERAL_VISIBLE_READ_ONCE_RULE	Only one positive instance; cannot establish a workshop-wide convention or standard catchword.	1	HIGH	Retain both written copies but count only the line-entry copy as the source token when all four visible criteria pass.	CONTAINED_BY_RULE	V79_SELECTED_REPAIR_DECISIONS
FORMAL_02_HISTORICAL_CATCHWORD_LABEL	FORMAL_READBACK	HISTORICAL_CATCHWORD_LABEL	Intentional anticipation and accidental dittography remain observationally tied on one example.	1	HIGH	Use the read-once correction locally; never generate the device in a fresh line without an exemplar.	CONTAINED_BY_RULE	V79_SELECTED_REPAIR_DECISIONS
FORMAL_03_ET_QUESTION_MARK_VS_FORMAL_LINK	FORMAL_READBACK	ET_QUESTION_MARK_VS_FORMAL_LINK	The exact 1414 codebook word et attests a historical category, not this card mapping.	1	HIGH	Copy the link form once. Say ET? only from the master key; otherwise report FORMAL_LINK.	CONTAINED_BY_RULE	V79_SELECTED_REPAIR_DECISIONS
FORMAL_04_PER_QUESTION_MARK_VS_ENTRY_RESET	FORMAL_READBACK	PER_QUESTION_MARK_VS_ENTRY_RESET	A pure reset label cannot explain every medial occurrence; the broader formal relation class remains necessary.	1	HIGH	After local deduplication, recover one relation/entry mark; require its next local complement and do not infer PER from placement alone.	CONTAINED_BY_RULE	V79_SELECTED_REPAIR_DECISIONS
FORMAL_05_B2_VISIBLE_OWNER_RESETS	FORMAL_READBACK	B2_VISIBLE_OWNER_RESETS	Concrete station functions still require the master exemplar.	1	HIGH	Owner break outranks sentence continuity; clear arguments even inside one reconstructed statement.	CONTAINED_BY_RULE	V79_SELECTED_REPAIR_DECISIONS
FORMAL_06_F69_LEFT_28_SLOT_TRACE	FORMAL_READBACK	F69_LEFT_28_SLOT_TRACE	Forward/backward order in the trace is editorial coverage order only.	1	HIGH	Copy each segment within its own slot; never move a value between wheels or infer a cycle.	CONTAINED_BY_RULE	V79_SELECTED_REPAIR_DECISIONS
FORMAL_07_MASTER_EXEMPLAR_SEPARATION	FORMAL_READBACK	ALL	An apprentice cannot continue a new semantic entry without the master exemplar.	1	HIGH	Never fill a bracketed content value from the opaque card alone.	CONTAINED_BY_RULE	V79_SELECTED_REPAIR_DECISIONS
PROSE_OCCURRENCE_001	PROSE_OCCURRENCE	H4	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Blätter.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E058
PROSE_OCCURRENCE_002	PROSE_OCCURRENCE	H4	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Blätter; Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E068
PROSE_OCCURRENCE_003	PROSE_OCCURRENCE	H3	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Blüten, junge Blätter; Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Frühjahr.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E039
PROSE_OCCURRENCE_004	PROSE_OCCURRENCE	H3	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Blüten.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E052
PROSE_OCCURRENCE_005	PROSE_OCCURRENCE	H3	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Blüten; Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind zweite Arznei.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E046
PROSE_OCCURRENCE_006	PROSE_OCCURRENCE	H2	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Fraktionen.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E031
PROSE_OCCURRENCE_007	PROSE_OCCURRENCE	H2	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Kraut.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E018
PROSE_OCCURRENCE_008	PROSE_OCCURRENCE	H1	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Wurzelteil.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E001
PROSE_OCCURRENCE_009	PROSE_OCCURRENCE	H5	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an blühende Stiele.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E087
PROSE_OCCURRENCE_010	PROSE_OCCURRENCE	H2	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an junge Spitzen, Blütenstände, Blätter.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E015
PROSE_OCCURRENCE_011	PROSE_OCCURRENCE	H2	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an junge Spitzen; Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Erntezeit.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E024
PROSE_OCCURRENCE_012	PROSE_OCCURRENCE	H5	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an klebrige Blätter.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E078
PROSE_OCCURRENCE_013	PROSE_OCCURRENCE	H5	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an oberirdisches Kraut; Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind feuchter Standort.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E075
PROSE_OCCURRENCE_014	PROSE_OCCURRENCE	H5	Die ganze Pflanze ist sichtbar, aber weder ihr Artname noch der konkrete Wert der opaken Karte ist daraus ableitbar.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E074
PROSE_OCCURRENCE_015	PROSE_OCCURRENCE	B1|B2|B3|B4|B5|B6	Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	39	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E111,E115,E122,E125,E130,E131,E134,E136
PROSE_OCCURRENCE_016	PROSE_OCCURRENCE	H3	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Abkühlung.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E045
