scope	model_stage	ngram_order	alpha	ngram_weight	target_count	truth_generated_count	top1_exact_count	top2_exact_count	top3_exact_count	top5_exact_count	rank_sum	deepest_truth_rank
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	GDT520_BASE	0	0.0	0.0	1558	1441	1089	1321	1381	1416	2139	22
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	ORDER2_A05_W02	2	0.5	0.2	1558	1441	1094	1322	1382	1416	2131	22
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	ORDER3_A05_W02	3	0.5	0.2	1558	1441	1096	1323	1384	1416	2124	22
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	ORDER4_A05_W03	4	0.5	0.3	1558	1441	1088	1325	1387	1416	2124	22
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	ORDER5_A05_W01	5	0.5	0.1	1558	1441	1092	1322	1385	1416	2130	22
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	ORDER5_A05_W03	5	0.5	0.3	1558	1441	1090	1326	1387	1416	2121	22
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	GDT521_SELECTED	5	0.5	0.5	1558	1441	1090	1325	1387	1418	2118	22
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	ORDER5_A05_W10	5	0.5	1.0	1558	1441	1103	1327	1383	1420	2105	22
FOUR_FOLD_OLD26_SURFACE_REHEARSAL	ORDER5_A10_W05	5	1.0	0.5	1558	1441	1089	1327	1387	1416	2119	22
CURRENT_159_OLD26_TO_NEW4	GDT520_BASE	0	0.0	0.0	159	159	139	154	158	158	190	9
CURRENT_159_OLD26_TO_NEW4	ORDER2_A05_W02	2	0.5	0.2	159	159	139	155	158	158	189	9
CURRENT_159_OLD26_TO_NEW4	ORDER3_A05_W02	3	0.5	0.2	159	159	138	155	158	158	190	9
CURRENT_159_OLD26_TO_NEW4	ORDER4_A05_W03	4	0.5	0.3	159	159	139	154	158	158	190	9
CURRENT_159_OLD26_TO_NEW4	ORDER5_A05_W01	5	0.5	0.1	159	159	139	155	158	158	189	9
CURRENT_159_OLD26_TO_NEW4	ORDER5_A05_W03	5	0.5	0.3	159	159	140	154	158	158	189	9
CURRENT_159_OLD26_TO_NEW4	GDT521_SELECTED	5	0.5	0.5	159	159	140	154	158	158	189	9
CURRENT_159_OLD26_TO_NEW4	ORDER5_A05_W10	5	0.5	1.0	159	159	137	154	158	158	192	9
CURRENT_159_OLD26_TO_NEW4	ORDER5_A10_W05	5	1.0	0.5	159	159	140	154	158	158	189	9
