macro_id	macro_name_de	apprentice_question_de	composition_rule_de	book_layer
M00	BEDINGUNG_NACHSCHLAGEN	Unter welcher sichtbaren Bedingung wird gearbeitet?	Astro-Modul wählen; keine Kreisrichtung erfinden	WHEN
M01	MATERIAL_WAEHLEN	Welcher Stoff oder Teil ist gemeint?	Bildbesitzer, Zutat, Wurzel, Stängel oder Teilposten aktivieren	WHAT
M02	POSTEN_FORTFUEHREN	Welcher laufende, vorige oder nächste Posten gilt?	Y/OL/OT und gelernte Bezugskarten führen den aktiven Posten	WHAT_OR_HOW
M03	ANSATZ_PRODUKT	Welcher Ansatz, Auszug oder Lauf wird bearbeitet?	OR/CHEO/AIR und gelernte Produktkarten setzen den Arbeitsbestand	WHAT
M04	MENGE_STUFE	Wie viel und bis zu welcher Stufe?	AIN=Portion, AIIN=Sollmaß, IIN=Sollstufe, TY=Teil	WHAT_OR_HOW
M05	QUELLE_ZIEL_WERKZEUG	Woher, wohin und in oder durch welches Werkzeug?	AR=aus/von, AL=an/zu; Gefäß und Tuch können Ganzkarten sein	HOW
M06	FUEHREN_UEBERTRAGEN	Wie bewegt sich der Posten?	CHED umsetzen, L-CHED abführen, P-CHED einführen, CKH durchleiten	HOW
M07	ARBEITSGANG_AUSFUEHREN	Was wird mit dem Posten getan?	ansetzen, waschen, wärmen, seihen, absetzen, kühlen, teilen oder befestigen	HOW
M08	ZUSTAND_PRUEFEN	Welcher sicht- oder fühlbare Zustand gilt?	bereit, roh, klar, warm, kurz/länger/vollständig	HOW
M09	SCHRITT_SCHLIESSEN_ODER_UEBERGEBEN	Ist die lokale Zelle fertig oder trägt sie etwas weiter?	gelernte Endkarte schließt; sonst Material oder Gerätezustand weitergeben	HOW
