page	locus	group_count	surface_sequence	complete_local_reading_en	page_local_role	cross_page_identity
f67r2	f67r2.1	3	ykshy s aram	Aries: protect the head and face; avoid invasive treatment there; its ruling quality; its application rule	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.1	9	shokchy chteey choteey cphol cheor opcheeol otor choctheeey okchoal	identify; the lunar station; by its drawn place; and consult its rule; without changing the catalogue order; identify; the lunar station; by its drawn place; and consult its rule	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.1	40	dair cheyky otaza sar ar chykar okoirsh ar chetody okeeos o tey otokeeey okeeody okeey doiir teeo y chey ot y okedy chsdy okeod y dy choaiin okar okar chol chees yto odair oty oteeo dar o eykeody dchor char	apply the remedy; if adverse, withhold it; keep the usual measure; continue to the next station; repeat only once; close the consultation; when the Moon reaches the station; inspect the pictured schedule; if the condition is favourable; apply the remedy; if adverse, withhold it; keep the usual measure; continue to the next station; repeat only once; close the consultation; when the Moon reaches the station; inspect the pictured schedule; if the condition is favourable; apply the remedy; if adverse, withhold it; keep the usual measure; continue to the next station; repeat only once; close the consultation; when the Moon reaches the station; inspect the pictured schedule; if the condition is favourable; apply the remedy; if adverse, withhold it; keep the usual measure; continue to the next station; repeat only once; close the consultation; when the Moon reaches the station; inspect the pictured schedule; if the condition is favourable; apply the remedy; if adverse, withhold it; keep the usual measure; continue to the next station	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.2	3	ykecho ols eesydy	Taurus: protect the neck and throat; avoid invasive treatment there; its ruling quality; its application rule	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.2	9	tochso otchl qokeeedy cheey cheeteey yteody chpor cheokorchey chod	the lunar station; by its drawn place; and consult its rule; without changing the catalogue order; identify; the lunar station; by its drawn place; and consult its rule; without changing the catalogue order	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.2	38	yka chol ykar dal ykady iokeeor cheey choly ykeeal cheo oaram ockhy sheey aiin y daiial cheody cheal yetey chear y dy ykey ch y dy chol ykar ol y ykeeody chey dal ody airchy choky ychey chey	continue to the next station; repeat only once; close the consultation; when the Moon reaches the station; inspect the pictured schedule; if the condition is favourable; apply the remedy; if adverse, withhold it; keep the usual measure; continue to the next station; repeat only once; close the consultation; when the Moon reaches the station; inspect the pictured schedule; if the condition is favourable; apply the remedy; if adverse, withhold it; keep the usual measure; continue to the next station; repeat only once; close the consultation; when the Moon reaches the station; inspect the pictured schedule; if the condition is favourable; apply the remedy; if adverse, withhold it; keep the usual measure; continue to the next station; repeat only once; close the consultation; when the Moon reaches the station; inspect the pictured schedule; if the condition is favourable; apply the remedy; if adverse, withhold it; keep the usual measure; continue to the next station; repeat only once	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.3	3	ey shs okar	Gemini: protect the shoulders, arms and hands; avoid invasive treatment there; its ruling quality; its application rule	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.3	8	ykor shey qocheey chokal okeey ror eckhear daram	by its drawn place; and consult its rule; without changing the catalogue order; identify; the lunar station; by its drawn place; and consult its rule; without changing the catalogue order	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.3	29	doair otaldal dair chdy otoar ar chy qoteor cho qotair chda oteeal cheor ar air oteody ytyd a dchy otoly okeodal oteoarar cheteeser dair chey okody dal oteey oteey	when the Moon reaches the station; inspect the pictured schedule; if the condition is favourable; apply the remedy; if adverse, withhold it; keep the usual measure; continue to the next station; repeat only once; close the consultation; when the Moon reaches the station; inspect the pictured schedule; if the condition is favourable; apply the remedy; if adverse, withhold it; keep the usual measure; continue to the next station; repeat only once; close the consultation; when the Moon reaches the station; inspect the pictured schedule; if the condition is favourable; apply the remedy; if adverse, withhold it; keep the usual measure; continue to the next station; repeat only once; close the consultation; when the Moon reaches the station; inspect the pictured schedule	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.4	2	shekchy sykos	Cancer: protect the chest and breast; avoid invasive treatment there; its ruling quality	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.4	2	dchor okaiiin	and consult its rule; without changing the catalogue order	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.4	2	okeey sar	favorable for a warm bath; especially after sunset	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.5	2	ykeody okchy	Leo: protect the heart and upper back; avoid invasive treatment there; its ruling quality	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.5	1	yky	without changing the catalogue order	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.5	2	okeo dy	use a cool washing; then stop	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.6	1	dchetay	Virgo: protect the belly and intestines; avoid invasive treatment there	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.6	1	dary	identify	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.6	1	ochoyk	avoid bloodletting	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.7	3	ykchy kchey ykchys	Libra: protect the lower back and kidneys; avoid invasive treatment there; its ruling quality; its application rule	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.7	1	chkchykoly	the lunar station	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
f69v	f69v.7	1	ykeey	favorable for anointing	INDEPENDENT_TWENTY_EIGHT_RULE_SCHEDULE	NONE_ASSIGNED
f67r2	f67r2.8	1	chkchdar	Scorpio: protect the genitals and bladder; avoid invasive treatment there	SEVEN_BY_TWELVE_CONFIGURATION_SELECTOR	NONE_ASSIGNED
f68r1	f68r1.8	1	okodaly	the Moon governing the twenty-eight stations	CENTRE_PLUS_TWENTY_EIGHT_SPATIAL_CATALOGUE	NONE_ASSIGNED
