atom	minimal_value_de	workshop_role	historical_mechanism_analogue	wet_expansion	celestial_expansion	composition_license
AIIN	SOLLWERT	PARAMETER	measure sign	Sollmaß	Sollgrad	free parameter card or final parameter slot
AIN	PORTION	PARAMETER	fraction or portion notation	Portion	Anteil	bounded quantity slot
IIN	STUFE	PARAMETER	table stage or degree	Arbeitsstufe	Bedingungsstufe	stage slot
AL	ZIEL	ADDRESS	table destination or recipe target	Zielstelle	Zielsektor	final address slot
AR	QUELLE	ADDRESS	table source or recipe source	Ausgangsquelle	Ursprungssektor	source slot
AIR	LAUF/BAHN	PATH	tabular or process course	laufende Flüssigkeit	Ring- oder Himmelsbahn	path slot; owner determines medium
OK	AKTIVIEREN/ANSETZEN	OPERATOR	productive brevigraphic onset	ansetzen	aktivieren	left operator before known base
OL	FORTSETZEN	ORDER	continuation formula	fortsetzen	im selben Ring fortsetzen	initial or medial order marker
OT	FOLGE/NÄCHSTER	ORDER	item or recipe succession marker	danach	nächster Platz	initial or medial order marker
OR	SATZ/ANSATZ	BATCH	recipe batch or table set	Ansatz	Wahl- oder Tabellensatz	batch noun slot
Y	AKTUELLER POSTEN	REFERENCE	ditto or current-entry mark	dieser Posten	dieser Platz	right-bound current selection
E	KURZ/ERSTE STUFE	GRADE	mensural bound modifier	kurz	erste Stufe	bound inside attested family only
EE	LÄNGER/ZWEITE STUFE	GRADE	mensural bound modifier	länger	zweite Stufe	bound inside attested family only
EEE	VOLL/DRITTE STUFE	GRADE	mensural bound modifier	voll	dritte Stufe	bound inside attested family only
CHD	UMSETZEN	OPERATOR	productive technical brevigraph	umsetzen	Wert übertragen	longest CHD/CHED core
CTH	BEREIT	STATE	learned endpoint abbreviation	bereit	bereit	state card or component in licensed family
CKH	DURCHLAUF	OPERATOR	technical path sign	durch einen Lauf führen	Prüfweg	requires a path or owner
CKHE	TRENNEN/SEIHEN	OPERATOR	technical operation sign	seihen	trennen	whole operational core
CHK	WÄRMEN/HALTEN	STATE_OPERATOR	learned operation abbreviation	wärmen	halten	whole operational core
SHED	ABSETZEN	STATE_OPERATOR	recipe process abbreviation	absetzen	ruhen lassen	whole operational core
SOLK	SAMMELN	OPERATOR	learned station sign	auffangen	an Sammelplatz halten	whole operational core
HO	EINGANGSPOSTEN	CONTENT_SLOT	nomenclator entry or table input	Zutat	Eingangsobjekt	owner-bound input slot
CHEO	AUSGABE/AUSZUG	CONTENT_SLOT	nomenclator output or product	Auszug	Ausgabewert	owner-bound output slot
KCH	BEARBEITEN	OPERATOR	technical operation abbreviation	bearbeiten	justieren	whole operational core
TY	TEIL	CONTENT_SLOT	part or subdivision sign	Teil	Teilsektor	part slot
