control_id	action_case_id	page	locus	action_ordinal	action_surface	action_gloss_de	item_ordinals	item_surfaces	item_glosses_de	semantic_item_count	control_role	word_delta	status
L001	A005	f105r	f105r.2	11	odar	Anteil I des Ansatzes abmessen	12|13	cheody|qody	getrocknete Masse|fertige Zubereitung	2	NO_THREE_ITEM_BUNDLE_AVAILABLE	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
L002	A038	f30r	f30r.9	2	qochar	trockenen Drogenanteil I nehmen	3|4	chol|keeaiin	trocken|vollständig erhitzt, Stufe III	2	NO_THREE_ITEM_BUNDLE_AVAILABLE	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
L003	A041	f49r	f49r.16	1	qocho	getrocknete Droge nehmen	2|3	cheey|dchey	trocken am Ende des Grades|fertige abgemessene Mittelstufen-Trockenportion	2	NO_THREE_ITEM_BUNDLE_AVAILABLE	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
L004	A048	f77r	f77r.38	3	qoeedy	nimm die Endportion hinzu	4|5	qokaiin|chcphey	heiß, Grad III|bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum	2	NO_THREE_ITEM_BUNDLE_AVAILABLE	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
L005	A049	f77r	f77r.38	6	qol	Drogenstoff zugeben	7|8	ltaiin|shedy	Holz, kalt auf Stufe III|mittlere Feuchtstufe erreicht	2	NO_THREE_ITEM_BUNDLE_AVAILABLE	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
L006	A071	f86v5	f86v5.2	7	qopchol	nimm getrockneten Pulverstoff	8|9	tal|ol	Rohstoffklasse I, kalt am Gradanfang|Grundansatz	2	NO_THREE_ITEM_BUNDLE_AVAILABLE	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
L007	A072	f86v5	f86v5.2	10	ytol	kühle hiervon den Drogenstoff ab	11|12	otam|otam	ein Maß kalten Ansatzes|ein Maß kalten Ansatzes	2	NO_THREE_ITEM_BUNDLE_AVAILABLE	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
L008	A075	f86v6	f86v6.25	1	yteedy	hiervon bis zur Endstufe abkühlen	2|3	qokar|olkar	heißer Drogenanteil I|Anteil I des heißen Holzansatzes	2	NO_THREE_ITEM_BUNDLE_AVAILABLE	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
L009	A079	f88r	f88r.19	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	2|3	chokol|daiin	heißer Absud aus Trockengut|Qualitätsgrad III dieses heißen Absuds	2	NO_THREE_ITEM_BUNDLE_AVAILABLE	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
L010	A082	f88r	f88r.19	6	qockhol	Drogenstoff aus Arzneikompositum zugeben	7|8	okol|cheol	heißer Ansatzstoff|trockener Drogenstoff	2	NO_THREE_ITEM_BUNDLE_AVAILABLE	0	PASS_V80_119_TRIPLES__32_ACTION_ADJACENT_BUNDLES__1_NEW_C020_4_HOLDS_27_STOPS__9_DCHEY_CONTEXTS__19_EDGES_13_COMPONENTS__ZERO_WORD_DELTA
