card_no	surfaces	semantic_component_parse	grade_component	grade_word_de	grade_position	scope_kind	scoped_action_component	scoped_action_word_de	occurrences	records	scope_rule_de
PROC001	dchey	CH+E+Y	E	KURZ	2	ACTION_SCOPE	CH	ABZIEHEN	1	H1	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC010	etyd	E+T+Y	E	KURZ	1	ACTION_SCOPE	T	EINTRAGEN	1	H1	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC015	ycheor	Y+CH+E+OR	E	KURZ	3	ACTION_SCOPE	CH	ABZIEHEN	1	H2	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC031	cheey|shey	SH+EE+Y	EE	LANG	2	ACTION_SCOPE	SH	HALTEN	4	H3|B2|B4	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC045	cheoar	CH+E+O+AR	E	KURZ	2	ACTION_SCOPE	CH	ABZIEHEN	1	H4	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC046	cheeky	CHK+EE+Y	EE	LANG	2	ACTION_SCOPE	CHK	WAERMEN	2	H4|B4	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC057	cheeckhody	CH+EE+CKH+O+DY	EE	LANG	2	ACTION_SCOPE	CH	ABZIEHEN	1	H5	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC059	kchey	K+E+Y	E	KURZ	2	ACTION_SCOPE	K	ZUFUEHREN	1	H5	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC061	chokcheo	OK+CH+E+O	E	KURZ	3	ACTION_SCOPE	CH	ABZIEHEN	1	H5	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC066	keol	K+E+OL	E	KURZ	2	ACTION_SCOPE	K	ZUFUEHREN	1	H5	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC067	qokedy	OK+E+DY	E	KURZ	2	ACTION_SCOPE	OK	ANSETZEN	8	B1|B3|B4	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC073	sheckhal	SH+E+CKH+AL	E	KURZ	2	ACTION_SCOPE	SH	HALTEN	1	B1	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC074	qokeedal	OK+EE+AL	EE	LANG	2	ACTION_SCOPE	OK	ANSETZEN	1	B1	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC083	cheky	CHK+E+Y	E	KURZ	2	ACTION_SCOPE	CHK	WAERMEN	3	B1|B4	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC085	okey|qokey	OK+E+Y	E	KURZ	2	ACTION_SCOPE	OK	ANSETZEN	2	B1|B2	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC086	lshedy	LSH+E+DY	E	KURZ	2	ACTION_SCOPE	LSH	WASCHEN	2	B1	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC090	ytey	T+E+Y	E	KURZ	2	ACTION_SCOPE	T	EINTRAGEN	1	B1	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC092	okeey|qokeey	OK+EE+Y	EE	LANG	2	ACTION_SCOPE	OK	ANSETZEN	7	B1|B2|B3|B4	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC093	teol	E+OL	E	KURZ	1	NONACTION_SCOPE	NONE	NONE	1	B1	Grad modifiziert Folge, Zustand oder ganzen Gang, nicht eine Einzelhandlung
PROC096	dsheol	SH+E+OL	E	KURZ	2	ACTION_SCOPE	SH	HALTEN	1	B1	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC098	olkeedy|solkeedy	SOLK+EE+DY	EE	LANG	2	ACTION_SCOPE	SOLK	AUFFANGEN	3	B1|B3	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC099	shckhedy	SH+CKH+E+DY	E	KURZ	3	ACTION_SCOPE	SH	HALTEN	3	B1|B4	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC100	qokeedy	OK+EE+DY	EE	LANG	2	ACTION_SCOPE	OK	ANSETZEN	10	B2|B3|B4	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC103	lcheckhedy	L+CKH+E+DY	E	KURZ	3	ACTION_SCOPE	L	FUEHREN	1	B2	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC106	octheol	O+CTH+E+OL	E	KURZ	3	NONACTION_SCOPE	NONE	NONE	1	B2	Grad modifiziert Folge, Zustand oder ganzen Gang, nicht eine Einzelhandlung
PROC107	chkeey	CHK+EE+Y	EE	LANG	2	ACTION_SCOPE	CHK	WAERMEN	1	B2	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC109	oteey	OT+EE+Y	EE	LANG	2	NONACTION_SCOPE	NONE	NONE	2	B2	Grad modifiziert Folge, Zustand oder ganzen Gang, nicht eine Einzelhandlung
PROC110	sheckhy	SH+E+CKH+Y	E	KURZ	2	ACTION_SCOPE	SH	HALTEN	1	B2	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC111	dshedy	SH+E+DY	E	KURZ	2	ACTION_SCOPE	SH	HALTEN	1	B2	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC114	solshedy	OL+SH+E+DY	E	KURZ	3	ACTION_SCOPE	SH	HALTEN	1	B2	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC117	qcthey|shcthey	CTH+E+Y	E	KURZ	2	NONACTION_SCOPE	NONE	NONE	2	B2|B3	Grad modifiziert Folge, Zustand oder ganzen Gang, nicht eine Einzelhandlung
PROC118	lcheey	L+EE+Y	EE	LANG	2	ACTION_SCOPE	L	FUEHREN	1	B2	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC119	qokeeedy	OK+EEE+DY	EEE	VOLL	2	ACTION_SCOPE	OK	ANSETZEN	1	B2	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC122	tshey	SH+E+Y	E	KURZ	2	ACTION_SCOPE	SH	HALTEN	1	B2	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC124	ches	CH+E+S	E	KURZ	2	ACTION_SCOPE	CH	ABZIEHEN	1	B2	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC126	rsheal	R+SH+E+AL	E	KURZ	3	ACTION_SCOPE	SH	HALTEN	1	B2	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC129	qoteedy	OT+EE+DY	EE	LANG	2	NONACTION_SCOPE	NONE	NONE	2	B2|B3	Grad modifiziert Folge, Zustand oder ganzen Gang, nicht eine Einzelhandlung
PROC132	chkeedy	CHK+EE+DY	EE	LANG	2	ACTION_SCOPE	CHK	WAERMEN	1	B3	nächstgelegene Handlung; bei Gleichstand vorangehende Handlung
PROC135	otedy	OT+E+DY	E	KURZ	2	NONACTION_SCOPE	NONE	NONE	2	B3	Grad modifiziert Folge, Zustand oder ganzen Gang, nicht eine Einzelhandlung
