record	locus	at	word	version	render	read_status	row_status
F83_P1	f83r.1	f83r.1:1	tchedy	F	[tchedy — offen]	OPEN	recorded
F83_P1	f83r.1	f83r.1:2	lpchedy	F	[lpchedy — offen]	OPEN	recorded
F83_P1	f83r.1	f83r.1:3	opedy	F	[opedy — offen]	OPEN	recorded
F83_P1	f83r.1	f83r.1:4	chepol	F	[chepol — offen]	OPEN	recorded
F83_P1	f83r.1	f83r.1:5	pchedar	F	[pchedar — offen]	OPEN	recorded
F83_P1	f83r.1	f83r.1:6	shedy	F	Gemisch	HYPOTHESIS	recorded
F83_P1	f83r.1	f83r.1:7	qopchedy	F	[qopchedy — offen]	OPEN	recorded
F83_P1	f83r.2	f83r.2:1	sol	F	[sol — offen]	OPEN	recorded
F83_P1	f83r.2	f83r.2:2	cheey	F	[cheey — offen]	OPEN	recorded
F83_P1	f83r.2	f83r.2:3	qokaiin	F	[qokaiin — offen]	OPEN	recorded
F83_P1	f83r.2	f83r.2:4	shol	F	[shol — offen]	OPEN	recorded
F83_P1	f83r.2	f83r.2:5	lchs	F	[lchs — offen]	OPEN	recorded
F83_P1	f83r.2	f83r.2:6	shey	F	[shey — offen]	OPEN	recorded
F83_P1	f83r.2	f83r.2:7	qoteedy	F	[qoteedy — offen]	OPEN	recorded
F83_P1	f83r.2	f83r.2:8	rches	F	[rches — offen]	OPEN	recorded
F83_P1	f83r.2	f83r.2:9	ar	F	[ar — offen]	OPEN	recorded
F83_P1	f83r.2	f83r.2:10	chedy	F	erwärme Material@f83r.1:6	HYPOTHESIS	recorded
F83_P1	f83r.2	f83r.2:11	dor	F	[dor — offen]	OPEN	recorded
F83_P1	f83r.3	f83r.3:1	olkeedy	F	[olkeedy — offen]	OPEN	recorded
F83_P1	f83r.3	f83r.3:2	qotal	F	[qotal — offen]	OPEN	recorded
F83_P1	f83r.3	f83r.3:3	chkeedy	F	[chkeedy — offen]	OPEN	recorded
F83_P1	f83r.3	f83r.3:4	chey	F	[chey — offen]	OPEN	recorded
F83_P1	f83r.3	f83r.3:5	daiin	F	[daiin — offen]	OPEN	recorded
F83_P1	f83r.3	f83r.3:6	chey	F	[chey — offen]	OPEN	recorded
F83_P1	f83r.3	f83r.3:7	lchedy	F	Rückstand	HYPOTHESIS	recorded
F83_P1	f83r.3	f83r.3:8	qokaiin	F	[qokaiin — offen]	OPEN	recorded
F83_P1	f83r.3	f83r.3:9	qotal	F	[qotal — offen]	OPEN	recorded
F83_P1	f83r.3	f83r.3:10	dar	F	[dar — offen]	OPEN	recorded
F83_P1	f83r.4	f83r.4:1	qokshedy	F	[qokshedy — offen]	OPEN	recorded
F83_P1	f83r.4	f83r.4:2	chedy	F	erwärme Material@f83r.3:7	HYPOTHESIS	recorded
F83_P1	f83r.4	f83r.4:3	qokedy	F	Material@f83r.4:7 ist klar; UNSUPPORTED	HYPOTHESIS	recorded
F83_P1	f83r.4	f83r.4:4	chkedy	F	[chkedy — offen]	OPEN	recorded
F83_P1	f83r.4	f83r.4:5	daiin	F	[daiin — offen]	OPEN	recorded
F83_P1	f83r.4	f83r.4:6	shetar	F	[shetar — offen]	OPEN	recorded
F83_P1	f83r.4	f83r.4:7	shedy	F	Gemisch	HYPOTHESIS	recorded
F83_P1	f83r.4	f83r.4:8	qekaiin	F	[qekaiin — offen]	OPEN	recorded
F83_P1	f83r.4	f83r.4:9	chedy	F	erwärme Material@f83r.4:7	HYPOTHESIS	recorded
F83_P1	f83r.5	f83r.5:1	deey	F	[deey — offen]	OPEN	recorded
F83_P1	f83r.5	f83r.5:2	qotaiin	F	[qotaiin — offen]	OPEN	recorded
F83_P1	f83r.5	f83r.5:3	checkhy	F	[checkhy — offen]	OPEN	recorded
F83_P1	f83r.5	f83r.5:4	qoty	F	[qoty — offen]	OPEN	recorded
F83_P1	f83r.5	f83r.5:5	cheg	F	[cheg — offen]	OPEN	recorded
F83_P1	f83r.5	f83r.5:6	shedy	F	Gemisch	HYPOTHESIS	recorded
F83_P1	f83r.5	f83r.5:7	qokeey	F	Flüssigkeit	HYPOTHESIS	recorded
F83_P1	f83r.5	f83r.5:8	rchedy	F	[rchedy — offen]	OPEN	recorded
F83_P1	f83r.5	f83r.5:9	qoteedy	F	[qoteedy — offen]	OPEN	recorded
F83_P1	f83r.5	f83r.5:10	lo	F	[lo — offen]	OPEN	recorded
F83_P1	f83r.6	f83r.6:1	schedy	F	[schedy — offen]	OPEN	recorded
F83_P1	f83r.6	f83r.6:2	chedchy	F	[chedchy — offen]	OPEN	recorded
F83_P1	f83r.6	f83r.6:3	qokal	F	[qokal — offen]	OPEN	recorded
F83_P1	f83r.6	f83r.6:4	olchedy	F	[olchedy — offen]	OPEN	recorded
F83_P1	f83r.6	f83r.6:5	qokaiin	F	[qokaiin — offen]	OPEN	recorded
F83_P1	f83r.6	f83r.6:6	chedy	F	erwärme Material@f83r.5:7	HYPOTHESIS	recorded
F83_P1	f83r.6	f83r.6:7	qokeedy	F	entnimm Probe, Ergebnis 1 aus f83r.5:7; zwei Teile: f83r.6:8	HYPOTHESIS	recorded
F83_P1	f83r.6	f83r.6:8	lchedy	F	Rückstand	HYPOTHESIS	recorded
F83_P1	f83r.6	f83r.6:9	qoky	F	[qoky — offen]	OPEN	recorded
F83_P1	f83r.7	f83r.7:1	solshed	F	[solshed — offen]	OPEN	recorded
F83_P1	f83r.7	f83r.7:2	lsheedy	F	[lsheedy — offen]	OPEN	recorded
