edge_id	source_contact_id	gdt763_slot_id	expression_id	page	physical_folio	locus	amount_expression_eva	amount_candidate_de	amount_rivals_de	amount_working_confidence	amount_start_ordinal	amount_end_ordinal	ol_side_relative_to_amount	relation	ol_ordinal	line_token_count	ol_line_final	conditional_phrase_license	gdt762_decision	gdt763_slot_function	gdt763_dispatch_basis	selected_for_transfer	exclusion_reason	transfer_rule_id	automatic_default_de	bilateral_contact	default_is_translation	confirmed_lexeme	component_export_credit
G762-A01-R	G762-A01	G763-A01	G760-E0075	f112r	f112	f112r.36	sain	zwei Drachmen	zwei gleiche Teile || zwei Unzen	C0_SINGLETON_PAIR	1	1	R	OL_RIGHT_OF_AMOUNT	2	6	0	1	EXACT_AMOUNT_CONTENT_PHRASE_LICENSE	HEAD	ol besetzt allein die positionsbevorzugte Inhaltsseite	1	NONE	G774-D01	Ansatz:	0	0	0	0
G762-A02-R	G762-A02	G763-A02	G760-E0070	f112r	f112	f112r.9	saiin	drei Drachmen	drei gleiche Teile || drei Unzen	C1_BOUNDARY_REPLICATED	1	1	R	OL_RIGHT_OF_AMOUNT	2	10	0	1	EXACT_AMOUNT_CONTENT_PHRASE_LICENSE	HEAD	ol besetzt allein die positionsbevorzugte Inhaltsseite	1	NONE	G774-D01	Ansatz:	0	0	0	0
G762-A03-L	G762-A03	G763-A03	G760-E0155	f48v	f48	f48v.6	or ain	zwei Portionen	Dosis/Dosen || Teil/Teile	C1_BOUNDARY_SUPPORTED	8	9	L	OL_LEFT_OF_AMOUNT	7	15	0	1	EXACT_AMOUNT_CONTENT_PHRASE_LICENSE	HEAD	ol besetzt allein die positionsbevorzugte Inhaltsseite	1	NONE	G774-D02	Menge:	0	0	0	0
G762-A04-L	G762-A04	G763-A04	G760-E0161	f55v	f55	f55v.10	s aiin	drei Drachmen	drei gleiche Teile || drei Unzen	C1_BOUNDARY_REPLICATED	3	4	L	OL_LEFT_OF_AMOUNT	2	12	0	1	EXACT_AMOUNT_CONTENT_PHRASE_LICENSE	HEAD	ol besetzt allein die positionsbevorzugte Inhaltsseite	1	NONE	G774-D02	Menge:	0	0	0	0
G762-A05-R	G762-A05	G763-A05	G760-E0191	f76v	f76	f76v.39	san	eine Drachme	ein gleicher Teil || eine Unze	C0_BOUNDARY_FAMILY_EXPLORATORY	6	6	R	OL_RIGHT_OF_AMOUNT	7	11	0	0	CONTACT_SUPPORT_ONLY_NONPREFERRED_SIDE	CONTEXT_SECOND_FIELD	positionsbevorzugter linker Gegenkandidat okedy ist reader-exakt (OPEN)	1	NONE	G774-D01	Ansatz:	0	0	0	0
G762-A06-L	G762-A06	G763-A06	G760-E0201	f78r	f78	f78r.37	s aiin	drei Drachmen	drei gleiche Teile || drei Unzen	C1_BOUNDARY_REPLICATED	3	4	L	OL_LEFT_OF_AMOUNT	2	7	0	1	EXACT_AMOUNT_CONTENT_PHRASE_LICENSE	HEAD	ol besetzt allein die positionsbevorzugte Inhaltsseite	1	NONE	G774-D02	Menge:	0	0	0	0
G762-A07-R	G762-A07	G763-A07	G760-E0204	f78v	f78	f78v.29	s aiiin	vier Drachmen	vier gleiche Teile || vier Unzen	C0_SINGLETON_PAIR	7	8	R	OL_RIGHT_OF_AMOUNT	9	11	0	0	CONTACT_SUPPORT_ONLY_NONPREFERRED_SIDE	CONTEXT_SECOND_FIELD	positionsbevorzugter linker Gegenkandidat al ist reader-exakt (OPEN)	1	NONE	G774-D01	Ansatz:	0	0	0	0
G762-A08-R	G762-A08	G763-A08	G760-E0207	f79r	f79	f79r.13	or aiin	drei Portionen	Dosis/Dosen || Teil/Teile	C2_RECURRENT_BOUNDARY_SUPPORTED	7	8	R	OL_RIGHT_OF_AMOUNT	9	9	1	0	CONTACT_SUPPORT_ONLY_NONPREFERRED_SIDE	CONTEXT_SECOND_FIELD	positionsbevorzugter linker Gegenkandidat qotar ist reader-exakt (OPEN)	0	DANGLING_CONTENT_HEAD_AT_LINE_END	G774-D07	Ansatz-/Zubereitungsposten	0	0	0	0
G762-A09-R	G762-A09	G763-A09	G760-E0212	f79v	f79	f79v.25	sain	zwei Drachmen	zwei gleiche Teile || zwei Unzen	C0_SINGLETON_PAIR	8	8	R	OL_RIGHT_OF_AMOUNT	9	9	1	0	CONTACT_SUPPORT_ONLY_NONPREFERRED_SIDE	CONTEXT_SECOND_FIELD	positionsbevorzugter linker Gegenkandidat otshey ist reader-exakt (OPEN)	0	DANGLING_CONTENT_HEAD_AT_LINE_END	G774-D07	Ansatz-/Zubereitungsposten	0	0	0	0
G762-A10-R	G762-A10	G763-A10	G760-E0217	f81r	f81	f81r.15	sain	zwei Drachmen	zwei gleiche Teile || zwei Unzen	C0_SINGLETON_PAIR	1	1	R	OL_RIGHT_OF_AMOUNT	2	5	0	1	EXACT_AMOUNT_CONTENT_PHRASE_LICENSE	HEAD	ol besetzt allein die positionsbevorzugte Inhaltsseite	1	NONE	G774-D01	Ansatz:	0	0	0	0
G762-A11-R	G762-A11	G763-A11	G760-E0220	f82r	f82	f82r.33	sain	zwei Drachmen	zwei gleiche Teile || zwei Unzen	C0_SINGLETON_PAIR	1	1	R	OL_RIGHT_OF_AMOUNT	2	6	0	1	EXACT_AMOUNT_CONTENT_PHRASE_LICENSE	HEAD	ol besetzt allein die positionsbevorzugte Inhaltsseite	1	NONE	G774-D01	Ansatz:	0	0	0	0
G762-A12-L	G762-A12	G763-A12	G760-E0232	f85r1	f85	f85r1.13	s aiin	drei Drachmen	drei gleiche Teile || drei Unzen	C1_BOUNDARY_REPLICATED	8	9	L	OL_LEFT_OF_AMOUNT	7	12	0	0	BILATERAL_AMBIGUOUS_CONTACT	BILATERAL_AMBIGUOUS	ol steht auf beiden Seiten derselben Mengenexpression	1	NONE	G774-D02	Menge:	1	0	0	0
G762-A12-R	G762-A12	G763-A12	G760-E0232	f85r1	f85	f85r1.13	s aiin	drei Drachmen	drei gleiche Teile || drei Unzen	C1_BOUNDARY_REPLICATED	8	9	R	OL_RIGHT_OF_AMOUNT	10	12	0	0	BILATERAL_AMBIGUOUS_CONTACT	BILATERAL_AMBIGUOUS	ol steht auf beiden Seiten derselben Mengenexpression	1	NONE	G774-D01	Ansatz:	1	0	0	0
