template_id	owner_class	content_mode	fixed_pattern_de	sentence_specific_free_text_allowed
T01	PLANT_BATCH	NO_CONTENT_TAG	Bildbesitzer: {subject}. Kartenfolge: {cards}.	NO
T02	PLANT_BATCH	WITH_CONTENT_TAGS	Bildbesitzer: {subject}. Kartenfolge: {cards}. Der Pflanzenartikel setzt dabei voraus: {contents}.	NO
T03	BASIN_STATION	NO_CONTENT_TAG	Stationsbesitzer: {subject}. Kartenfolge: {cards}.	NO
T04	BASIN_STATION	WITH_CONTENT_TAGS	Stationsbesitzer: {subject}. Kartenfolge: {cards}. Die gezeichnete Station setzt dabei voraus: {contents}.	NO
T05	CONNECTED_STRUCTURE	NO_CONTENT_TAG	Verbindungsbesitzer: {subject}. Kartenfolge: {cards}.	NO
T06	CONNECTED_STRUCTURE	WITH_CONTENT_TAGS	Verbindungsbesitzer: {subject}. Kartenfolge: {cards}. Die sichtbare Verbindung setzt dabei voraus: {contents}.	NO
T07	UNRESOLVED_GAP_STATION	NO_CONTENT_TAG	Zwischenbesitzer: {subject}. Kartenfolge: {cards}.	NO
T08	UNRESOLVED_GAP_STATION	WITH_CONTENT_TAGS	Zwischenbesitzer: {subject}. Kartenfolge: {cards}. Der Meister ergänzt dabei: {contents}.	NO
T09	GENERIC_WORKPIECE	NO_CONTENT_TAG	Arbeitsbesitzer: {subject}. Kartenfolge: {cards}.	NO
T10	GENERIC_WORKPIECE	WITH_CONTENT_TAGS	Arbeitsbesitzer: {subject}. Kartenfolge: {cards}. Die Werkstatt ergänzt dabei: {contents}.	NO
