edition	paragraph	at	word	meaning	input	input_at	input_status	recipient	recipient_word	recipient_status
ZL3b	f104v|f104v.1-f104v.5	ZL3b|f104v.3|G003	qotaiin	abseihen	odaiin	ZL3b|f104v.3|G004	UNKNOWN_INPUT			NOT_REQUIRED_IN_MINIMAL_FRAME
ZL3b	f21r|f21r.8-f21r.12	ZL3b|f21r.9|G004	chkaiin	vermischen	sh	ZL3b|f21r.9|G005	UNKNOWN_INPUT	ZL3b|f21r.9|G001	okaiin	ASSUMED_PRIOR_MATERIAL
ZL3b	f21r|f21r.8-f21r.12	ZL3b|f21r.10|G005	qotaiin	abseihen	qotchol	ZL3b|f21r.10|G006	UNKNOWN_INPUT			NOT_REQUIRED_IN_MINIMAL_FRAME
ZL3b	f21r|f21r.8-f21r.12	ZL3b|f21r.11|G007	shey	erwärmen	yteol	ZL3b|f21r.11|G008	UNKNOWN_INPUT			NOT_REQUIRED_IN_MINIMAL_FRAME
ZL3b	f21r|f21r.8-f21r.12	ZL3b|f21r.12|G008	chkaiin	vermischen			MISSING_INPUT	ZL3b|f21r.12|G005	chor	ASSUMED_PRIOR_MATERIAL
ZL3b	f29v|f29v.1-f29v.4	ZL3b|f29v.3|G004	shey	erwärmen	odaiin	ZL3b|f29v.3|G005	UNKNOWN_INPUT			NOT_REQUIRED_IN_MINIMAL_FRAME
ZL3b	f29v|f29v.1-f29v.4	ZL3b|f29v.3|G006	qotchy	zugeben	taiin	ZL3b|f29v.3|G007	UNKNOWN_INPUT	ZL3b|f29v.2|G005	cthy	ASSUMED_PRIOR_MATERIAL
ZL3b	f32v|f32v.7-f32v.11	ZL3b|f32v.8|G006	qotaiin	abseihen	otchy	ZL3b|f32v.8|G007	UNKNOWN_INPUT			NOT_REQUIRED_IN_MINIMAL_FRAME
ZL3b	f32v|f32v.7-f32v.11	ZL3b|f32v.9|G001	qotchy	zugeben	cfhy	ZL3b|f32v.9|G002	UNKNOWN_INPUT			MISSING_RECIPIENT
ZL3b	f44r|f44r.5-f44r.7	ZL3b|f44r.6|G007	qotchy	zugeben	otchy	ZL3b|f44r.6|G008	UNKNOWN_INPUT			MISSING_RECIPIENT
IT2a	f104v|f104v.1-f104v.5	IT2a|f104v.3|G003	qotaiin	abseihen	odaiin	IT2a|f104v.3|G004	UNKNOWN_INPUT			NOT_REQUIRED_IN_MINIMAL_FRAME
IT2a	f21r|f21r.8-f21r.12	IT2a|f21r.9|G004	chkaiin	vermischen	shcthey	IT2a|f21r.9|G005	UNKNOWN_INPUT	IT2a|f21r.9|G001	okaiin	ASSUMED_PRIOR_MATERIAL
IT2a	f21r|f21r.8-f21r.12	IT2a|f21r.10|G005	qotaiin	abseihen	qotchol	IT2a|f21r.10|G006	UNKNOWN_INPUT			NOT_REQUIRED_IN_MINIMAL_FRAME
IT2a	f21r|f21r.8-f21r.12	IT2a|f21r.11|G007	shey	erwärmen	yteol	IT2a|f21r.11|G008	UNKNOWN_INPUT			NOT_REQUIRED_IN_MINIMAL_FRAME
IT2a	f21r|f21r.8-f21r.12	IT2a|f21r.12|G008	chkaiin	vermischen			MISSING_INPUT	IT2a|f21r.12|G005	chor	ASSUMED_PRIOR_MATERIAL
IT2a	f29v|f29v.1-f29v.4	IT2a|f29v.3|G004	shey	erwärmen	odaiin	IT2a|f29v.3|G005	UNKNOWN_INPUT			NOT_REQUIRED_IN_MINIMAL_FRAME
IT2a	f29v|f29v.1-f29v.4	IT2a|f29v.3|G006	qotchy	zugeben	taiin	IT2a|f29v.3|G007	UNKNOWN_INPUT	IT2a|f29v.2|G004	cthy	ASSUMED_PRIOR_MATERIAL
IT2a	f32v|f32v.7-f32v.11	IT2a|f32v.8|G006	qotaiin	abseihen	otchy	IT2a|f32v.8|G007	UNKNOWN_INPUT			NOT_REQUIRED_IN_MINIMAL_FRAME
IT2a	f32v|f32v.7-f32v.11	IT2a|f32v.9|G001	qotchy	zugeben	cfhy	IT2a|f32v.9|G002	UNKNOWN_INPUT			MISSING_RECIPIENT
IT2a	f44r|f44r.5-f44r.7	IT2a|f44r.6|G006	qotchy	zugeben	otchy	IT2a|f44r.6|G007	UNKNOWN_INPUT	IT2a|f44r.5|G004	chor	ASSUMED_PRIOR_MATERIAL
