family_id	base_dictation	contrast_cue	contrast_kind	target_controlled_phrase	target_joint_tuple_ids	full_dictation	fixed_formula	teaching_rule
A02	Festmachen + BINDEN	HANDLUNG	GRAMMATICAL_ASPECT	SCHLUSS[befestigen]	eb2e4bc143f623ee03ac	Festmachen + BINDEN + HANDLUNG	A02::SCHLUSS[befestigen]	COMPOSE
A02	Festmachen + BINDEN	STUFE	REPEATED_SEMANTIC_CUE	SCHLUSS[Bindestufe]	409de02322e7b2ca0c62	Festmachen + BINDEN + STUFE	A02::SCHLUSS[Bindestufe]	COMPOSE
B01	Material + PORTION+PFLANZENTEIL	ALLGEMEINER_TEIL	OWNER_VISIBLE	BEZUG[Pflanzenteil]	ad3581d3144f69a5912d	Material + PORTION+PFLANZENTEIL + ALLGEMEINER_TEIL	B01::BEZUG[Pflanzenteil]	COMPOSE
B01	Material + PORTION+PFLANZENTEIL	WURZEL	OWNER_VISIBLE	BEZUG[Wurzelteil]	65f320e75510b2f38182	Material + PORTION+PFLANZENTEIL + WURZEL	B01::BEZUG[Wurzelteil]	COMPOSE
B03	Ansatz + ANSATZ	AUSZUG	REPEATED_SEMANTIC_CUE	BEZUG[Auszugsansatz]	7249edc4df3419c26999	Ansatz + ANSATZ + AUSZUG	B03::BEZUG[Auszugsansatz]	COMPOSE
B03	Ansatz + ANSATZ	GRUNDANSATZ	REPEATED_SEMANTIC_CUE	BEZUG[Ansatz]	7a4bb8136330ee4e6e56	Ansatz + ANSATZ + GRUNDANSATZ	B03::BEZUG[Ansatz]	COMPOSE
B03	Ansatz + FOLGE+ANSATZ	GLEICHER_WEITER	REPEATED_SEMANTIC_CUE	BEZUG[Fortsetzungsansatz]	dec401773c1f0347793d	Ansatz + FOLGE+ANSATZ + GLEICHER_WEITER	B03::BEZUG[Fortsetzungsansatz]	COMPOSE
B03	Ansatz + FOLGE+ANSATZ	NÄCHSTER	REPEATED_SEMANTIC_CUE	BEZUG[Folgeansatz]	10488b911aae52b3b334	Ansatz + FOLGE+ANSATZ + NÄCHSTER	B03::BEZUG[Folgeansatz]	COMPOSE
B04	Fortsetzung + FOLGE	AKTIV_FÜHREN	GRAMMATICAL_ASPECT	BEZUG[weiterführen]	28ffbc88b97772a75f1e	Fortsetzung + FOLGE + AKTIV_FÜHREN	B04::BEZUG[weiterführen]	COMPOSE
B04	Fortsetzung + FOLGE	ANKNÜPFEN	NOMENCLATOR_MNEMONIC	BEZUG[Anschluss]	1496a731803a9f48d2e1	Fortsetzung + FOLGE + ANKNÜPFEN	B04::BEZUG[Anschluss]	MEMORIZE_WHOLE_CARD
B04	Fortsetzung + FOLGE	GLEICHES_WEITER	REPEATED_SEMANTIC_CUE	BEZUG[Fortsetzung]	dcda95c81a5460feb191	Fortsetzung + FOLGE + GLEICHES_WEITER	B04::BEZUG[Fortsetzung]	COMPOSE
B04	Fortsetzung + FOLGE	LAUF	REPEATED_SEMANTIC_CUE	BEZUG[Weiterlauf]	b154ff779abe5f196c80	Fortsetzung + FOLGE + LAUF	B04::BEZUG[Weiterlauf]	COMPOSE
B04	Fortsetzung + FOLGE	NÄCHSTES_WEITER	REPEATED_SEMANTIC_CUE	BEZUG[Folgefortsetzung]	497cbd9c7401810ff56b|e8a6105b5c3a6220b440	Fortsetzung + FOLGE + NÄCHSTES_WEITER	B04::BEZUG[Folgefortsetzung]	COMPOSE
B04	Fortsetzung + FOLGE	WEG	REPEATED_SEMANTIC_CUE	BEZUG[Weiterweg]	c205570c49d4d93c23d3	Fortsetzung + FOLGE + WEG	B04::BEZUG[Weiterweg]	COMPOSE
B04	Fortsetzung + FOLGE+LANG	GLEICHER_WEITER	REPEATED_SEMANTIC_CUE	BEZUG[Langfortsetzung]	daf32e6db9e04413ce7f	Fortsetzung + FOLGE+LANG + GLEICHER_WEITER	B04::BEZUG[Langfortsetzung]	COMPOSE
B04	Fortsetzung + FOLGE+LANG	NÄCHSTER	REPEATED_SEMANTIC_CUE	BEZUG[Langfolge]	5d5e0b288cf36864ed9d	Fortsetzung + FOLGE+LANG + NÄCHSTER	B04::BEZUG[Langfolge]	COMPOSE
