master_card_id	master_form	registered_surfaces	family_parse	source_short_value_de	imperative_clause_de	conversion_method	event_count
MC001	chdal	chdal	AL+CHED_TRANSFER	Zieltransfer	Führe ihn zum Ziel über	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC002	okeey	okeey|qokeey	OK+E_GRADE+Y	länger einwirken lassen	Lass ihn länger einwirken	CURATED_IMPERATIVE	7
MC003	sheedy	sheedy	E_GRADE+DY+SHED	Langabsetzen	Lass ihn lange absetzen	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC004	ldy	ldy	L+DY	abziehen	Ziehe ihn ab	RECIPE_INFINITIVE_OR_CLAUSE	2
MC005	okchedy	okchedy|qokchedy	OK+DY+CHED_TRANSFER	vorigen Posten überführen	Führe den vorigen Posten über	RECIPE_INFINITIVE_OR_CLAUSE	2
MC006	chokcheo	chokcheo	OK+CHEO	Auszug einsetzen	Setze den Auszug ein	CURATED_IMPERATIVE	1
MC007	okey	okey|qokey	OK+E_GRADE+Y	kurz einwirken lassen	Lass ihn kurz einwirken	CURATED_IMPERATIVE	2
MC008	lchy	lchy	L+Y	Abführgut	Nimm das abzuführende Gut	CURATED_IMPERATIVE	1
MC009	chary	chary	AR+Y	Quellposten	Nimm den Posten aus der Quelle	CURATED_IMPERATIVE	1
MC010	chodaly	chodaly	Y+CHO_INPUT	Zugabe am aktuellen Ziel	Gib ihn an der aktuellen Stelle zu	CURATED_IMPERATIVE	1
MC011	lchedar	lchedar	AR+L+CHED_TRANSFER	Quellabführung	Führe ihn von der Quelle ab	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC012	dl	dl	WHOLE_SIGN[dl]	Zusatz	Gib den Zusatz zu	CURATED_IMPERATIVE	2
MC013	otchor	otchor|qotchor	OT+OR	Folgeansatz	Wechsle zum folgenden Ansatz	CURATED_IMPERATIVE	2
MC014	chair	chair	AIR+CH_POUR	laufendes Medium zugießen	Gieße das laufende Medium zu	CURATED_IMPERATIVE	1
MC015	qokokchy	qokokchy	OK+Y	denselben Posten erneut einsetzen	Setze denselben Posten erneut ein	CURATED_IMPERATIVE	1
MC016	rol	rol	OL	Anschluss	Schließe am nächsten Abschnitt an	CURATED_IMPERATIVE	1
MC017	okain	okain|qokain	OK+AIN	Anteil zugeben	Gib einen Anteil zu	CURATED_IMPERATIVE	7
MC018	qotedaiin	qotedaiin	OT+AIIN+E_GRADE	Kurzsoll	Halte die kurze Sollstufe ein	CURATED_IMPERATIVE	1
MC019	oldy	oldy	OL+DY	fertig	Beende den Arbeitsschritt	RECIPE_INFINITIVE_OR_CLAUSE	2
MC020	solkeey	solkeey	E_GRADE+Y+SOLK	Langsammlung	Sammle ihn lange	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC021	oltchy	oltchy	OL+Y+TCH_PREPARATION	die laufende Bereitung fortsetzen	Führe die laufende Bereitung fort	CURATED_IMPERATIVE	1
MC022	chckhal	chckhal	AL+CKH	Zielpassage	Führe ihn durch die Zielpassage	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC023	kair	kair	AIR+K_BINDER	Beckenlauf	Führe durch den Beckenlauf	CURATED_IMPERATIVE	1
MC024	qokol	qokol	OK+OL	Weiter einsetzen	Setze den verbleibenden Posten erneut ein	CONTEXT_NARROWED_VERB	1
MC025	dchedy	dchedy|schedy|tchedy	CHED_TRANSFER	überführen	Führe den Posten über	CURATED_IMPERATIVE	4
MC026	choky	choky|oky|qoky	OK+Y	einsetzen	Setze den Posten ein	CURATED_IMPERATIVE	10
MC027	oykchor	oykchor	OR+OYK_VESSEL	Gefäß für den Ansatz	Stelle das Ansatzgefäß bereit	CURATED_IMPERATIVE	1
MC028	olchedy	olchedy|qolchedy	OL+DY+CHED_TRANSFER	weiterführen	Führe ihn weiter	RECIPE_INFINITIVE_OR_CLAUSE	3
MC029	lar	lar	AR+L	Quellabzug	Ziehe ihn aus der Quelle ab	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC030	lo	lo	L+O_WITHDRAW	Abzug	Ziehe ihn ab	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC031	dalchdy	dalchdy	AL+DY+CHED_TRANSFER	Zieltransfer	Führe ihn zum Ziel über	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC032	cheeky	cheeky	E_GRADE+Y+CHK	länger bearbeiten	Bearbeite ihn länger	CURATED_IMPERATIVE	2
MC033	oiiin	oiiin|soiiin	IIN	Arbeitsstufe	Stelle die Arbeitsstufe ein	CURATED_IMPERATIVE	2
MC034	cho	cho|sho	CHO_INPUT	weitere Zutat	Nimm die nächste Zutat	CURATED_IMPERATIVE	4
MC035	chckhy	chckhy|shckhy	Y+CKH	durchleiten	Leite den Posten hindurch	CURATED_IMPERATIVE	4
MC036	solkaiin	solkaiin	AIIN+SOLK	Sollsammlung	Sammle ihn bis zur Sollmenge	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC037	tchody	tchody	WHOLE_SIGN[tchody]	kalt stellen	Stelle ihn kalt	RECIPE_INFINITIVE_OR_CLAUSE	1
MC038	lshedy	lshedy	DY+LSH	Waschgang	Führe einen Waschgang aus	PRODUCTIVE_NOUN_TO_IMPERATIVE	2
MC039	aiin	aiin|chaiin|daiin|saiin|taiin	AIIN	Sollmaß	Arbeite nach dem vorgeschriebenen Maß	CURATED_IMPERATIVE	20
MC040	okal	okal|qokal	OK+AL	dorthin einsetzen	Setze ihn dort ein	RECIPE_INFINITIVE_OR_CLAUSE	6
MC041	okchol	okchol	OK	die Fortsetzung einsetzen	Setze die Fortsetzung ein	CURATED_IMPERATIVE	1
MC042	cheedar	cheedar	AR+CHED_TRANSFER	Quelltransfer	Führe ihn von der Quelle über	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC043	shecthedchy	shecthedchy	Y+CHED_TRANSFER+CTH	Vorbereitungstransfer	Führe die vorbereitete Portion über	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC044	qokar	qokar	OK+AR	Quelleinsatz	Setze den Quellposten ein	CURATED_IMPERATIVE	1
MC045	olkeedy	olkeedy|solkeedy	E_GRADE+SOLK	lange sammeln	Sammle ihn lange	RECIPE_INFINITIVE_OR_CLAUSE	3
MC046	raly	raly	AL+Y	Endposten	Nimm den Endposten	CURATED_IMPERATIVE	1
MC047	ykain	ykain	AIN	erste Portion	Nimm die erste Portion	CURATED_IMPERATIVE	1
MC048	kaiiin	kaiiin	IIN+K_BINDER	die Arbeitsstufe setzen	Stelle die Arbeitsstufe ein	CURATED_IMPERATIVE	1
MC049	schoal	schoal	WHOLE_SIGN[schoal]	Sudansatz	Bereite den Sudansatz	CURATED_IMPERATIVE	1
MC050	solkey	solkey	E_GRADE+Y+SOLK	Kurzsammlung	Sammle ihn kurz	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC051	lchedal	lchedal	AL+L+CHED_TRANSFER	Zielabführung	Führe ihn am Ziel ab	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC052	qekey	qekey	WHOLE_SIGN[qekey]	kurz bearbeiten	Bearbeite ihn kurz	CURATED_IMPERATIVE	1
MC053	otol	otol	OL+OT	danach im selben Gang weiter	Arbeite danach im selben Gang weiter	CURATED_IMPERATIVE	1
MC054	qokaly	qokaly	OK+AL+Y	Zieleinsatz	Setze ihn am Ziel ein	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC055	char	char|dar|sar	AR	davon	Nimm davon	CURATED_IMPERATIVE	5
MC056	ral	ral	AL	Zielmarke	Halte die Zielmarke ein	CURATED_IMPERATIVE	1
MC057	otchedy	otchedy|qotchedy	OT+DY+CHED_TRANSFER	Folgetransfer	Führe danach den nächsten Posten über	PRODUCTIVE_NOUN_TO_IMPERATIVE	2
MC058	sheckhal	sheckhal	AL+E_GRADE+CKH	Kurze Zielpassage	Führe ihn kurz durch die Zielpassage	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC059	dain	dain	WHOLE_SIGN[dain]	Einlage	Lege die Einlage ein	CURATED_IMPERATIVE	2
MC060	otaiin	otaiin|sotaiin	OT+AIIN	Folgemaß	Arbeite danach nach dem nächsten Maß	CURATED_IMPERATIVE	3
MC061	sshkchdy	sshkchdy	WHOLE_SIGN[sshkchdy]	übertragen	Übertrage ihn	RECIPE_INFINITIVE_OR_CLAUSE	1
MC062	shoyty	shoyty	YTY_PART	Zugabeteil	Nimm den Teil für die Zugabe	CURATED_IMPERATIVE	1
MC063	oteey	oteey	OT+E_GRADE+Y	Langfolge	Führe ihn länger im Folgegang weiter	CONTEXT_NARROWED_VERB	2
MC064	chedchy	chedchy	Y+CHED_TRANSFER	Postentransfer	Führe den aktuellen Posten über	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC065	ls	ls	L	Auslass	Führe zum Auslass	CURATED_IMPERATIVE	1
MC066	lcheey	lcheey	L	Klarabzug	Ziehe den klaren Anteil ab	CURATED_IMPERATIVE	1
MC067	otchdy	otchdy	OT+DY+CHED_TRANSFER	Nachtransfer	Führe ihn danach über	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC068	sotodan	sotodan	WHOLE_SIGN[sotodan]	zur Folgeanwendung weiterführen	Führe ihn zur folgenden Anwendung weiter	CURATED_IMPERATIVE	1
MC069	otytchol	otytchol	OT+YTY_PART	Folgeteil	Nimm danach den folgenden Teil	CURATED_IMPERATIVE	1
MC070	pchedy	pchedy	P+CHED_TRANSFER	Zuführung	Führe ihn zu	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC071	dchey	dchey	WHOLE_SIGN[dchey]	Wurzel	Nimm die Wurzel	CURATED_IMPERATIVE	1
MC072	orain	orain	AIN	Bereitungsanteil	Nimm einen Anteil der Bereitung	CURATED_IMPERATIVE	1
MC073	qcthey	qcthey|shcthey	E_GRADE+Y+CTH	kurz vorbereiten	Bereite ihn kurz vor	CURATED_IMPERATIVE	2
MC074	chdy	chdy|chedy	Y+CHED_TRANSFER	überführen	Führe den Posten über	CURATED_IMPERATIVE	11
MC075	ycheor	ycheor	OR+CHEO	aktueller Auszugsansatz	Verwende den laufenden Auszugsansatz	CURATED_IMPERATIVE	1
MC076	dsheol	dsheol	OL+E_GRADE	Kurzhalt	Halte ihn kurz	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC077	kchal	kchal	K_BINDER	an der Zielstelle bearbeiten	Bearbeite ihn an der Zielstelle	CURATED_IMPERATIVE	1
MC078	olsaly	olsaly	AL+Y	Zwischenziel	Führe zum Zwischenziel	CURATED_IMPERATIVE	1
MC079	daldy	daldy	AL+DY	Zielschluss	Schließe den Schritt am Ziel ab	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC080	chor	chor|or|shor|sor	OR	Ansatz	Verwende den Ansatz	CURATED_IMPERATIVE	7
MC081	okair	okair	OK+AIR	Laufeinsatz	Setze ihn in den Lauf ein	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC082	qokeedy	qokeedy	OK+E_GRADE+DY	lange einwirken	Lass ihn lange einwirken	RECIPE_INFINITIVE_OR_CLAUSE	10
MC083	qokedy	qokedy	OK+E_GRADE+DY	kurz einwirken	Lass ihn kurz einwirken	RECIPE_INFINITIVE_OR_CLAUSE	8
MC084	rshedy	rshedy	WHOLE_SIGN[rshedy]	Vollwaschung	Wasche ihn vollständig	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC085	cheoar	cheoar	CHEO	Auszug aus der Quelle	Nimm den Auszug aus der Quelle	CURATED_IMPERATIVE	1
MC086	chety	chety|chty	TY	Teil	Nimm den bezeichneten Teil	CURATED_IMPERATIVE	2
MC087	chodaiin	chodaiin	AIIN+CHO_INPUT	Zugabemaß	Gib die vorgeschriebene Menge zu	CURATED_IMPERATIVE	1
MC088	qokchdy	qokchdy	OK+DY+CHED_TRANSFER	neuen Posten einsetzen	Setze einen neuen Posten ein	RECIPE_INFINITIVE_OR_CLAUSE	3
MC089	skar	skar	AR	Quellausguss	Gieße ihn von der Quellseite zu	CONTEXT_NARROWED_VERB	1
MC090	kchol	kchol	K_BINDER	weiter bearbeiten	Bearbeite ihn weiter	CURATED_IMPERATIVE	1
MC091	dairydy	dairydy	Y+DY+AIR	Laufschluss	Schließe den Lauf ab	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC092	lol	lol	OL+L	Weiterabzug	Ziehe ihn weiter ab	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC093	otal	otal|qotal	OT+AL	danach dorthin	Führe ihn danach dorthin	CURATED_IMPERATIVE	3
MC094	cheeety	cheeety	E_GRADE+TY	Vollteil	Nimm den ganzen bezeichneten Teil	CURATED_IMPERATIVE	1
MC095	sheey	sheey	E_GRADE+Y	Langhalt	Halte ihn lange	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC096	qokeedal	qokeedal	OK+AL+E_GRADE	Langer Zieleinsatz	Setze ihn lange am Ziel ein	PRODUCTIVE_NOUN_TO_IMPERATIVE	1
MC097	olkain	olkain|qolkain	OL+AIN	weiterer Anteil	Nimm einen weiteren Anteil	CURATED_IMPERATIVE	2
MC098	tshol	tshol	WHOLE_SIGN[tshol]	Kochgut	Setze das Kochgut an	CURATED_IMPERATIVE	1
MC099	cheeckhody	cheeckhody	WHOLE_SIGN[cheeckhody]	auftragen	Trage ihn auf	RECIPE_INFINITIVE_OR_CLAUSE	1
MC100	ody	ody	DY+O_WITHDRAW	aus der Wärme nehmen und abkühlen	Nimm ihn aus der Wärme und lass ihn abkühlen	RECIPE_INFINITIVE_OR_CLAUSE	1
