surface	page	locus	token_ordinal	line_position	immediate_left_surface	immediate_right_surface	boundary_complete	independent_anchor_tags	field_channel	written_line_eva	gdt758_candidate_de	gdt759_candidate_de	candidate_changed	exact_value_span_render_de	decision	working_confidence	reason	oil_rival	confirmed_lexeme	component_export_credit
odol	f93r	f93r.28	2	MIDDLE	ychor	chodaiin	1	NONE	OPEN	ychor odol chodaiin s	abgemessene Zubereitung	abgemessene Zubereitung	0	NONE	KEEP_MEASURED_PREPARATION_C1	C1_SPARSE_MULTIWHOLE_EXPLORATORY	zwei Herbal-Vorkommen: einmal Zeilenkopf vor Prozesskette, einmal direkt nach ychor vor einer unsicheren Mengenform; kein reader-exaktes odol-Wert-Paar	NONE	0	0
odol	f9v	f9v.6	1	FIRST	LINE_EDGE	choy	1	HOT|DRY|MOIST|PREPARATION|PROCESS|CLOSE|MIDDLE_STAGE|END_STAGE	PRESCRIPTIVE_RECIPE	odol choy ksheody chody dain otchy cthod yko	abgemessene Zubereitung	abgemessene Zubereitung	0	NONE	KEEP_MEASURED_PREPARATION_C1	C1_SPARSE_MULTIWHOLE_EXPLORATORY	zwei Herbal-Vorkommen: einmal Zeilenkopf vor Prozesskette, einmal direkt nach ychor vor einer unsicheren Mengenform; kein reader-exaktes odol-Wert-Paar	NONE	0	0
ols	f104v	f104v.19	11	MIDDLE	fchor	aiin	0	HOT|DRY|MOIST|MATERIAL|PREPARATION|BEGIN_STAGE|MIDDLE_STAGE	DESCRIPTIVE_MATERIA	pcheor chol chpcheor cholkshedy qotol sheedy qokchy qotched sho fchor ols aiin chekal	abgeseihtes Endprodukt	abgeseihte Zubereitung	1	drei Portionen abgeseihte Zubereitung	REVISE_RESULT_TO_VALUE_BEARING_PREPARATION_C0	C0_SPARSE_MIXED_POSITION_EXPLORATORY	drei von fünf exakten rechten Kontexten sind geordnete Werte und fünf von zwölf Vorkommen sind zeilenfinal; dies trägt eine Zubereitung, aber weder einen bloßen Imperativ noch sichere Ölidentität	Öl / ölige Zubereitung	0	0
ols	f105r	f105r.22	12	LAST	am	LINE_EDGE	0	NONE	OPEN	olkchokeedy ypair opaiin opail oteodl eeol keey r aiin ylkaiin am ols	abgeseihtes Endprodukt	abgeseihte Zubereitung	1	NONE	REVISE_RESULT_TO_VALUE_BEARING_PREPARATION_C0	C0_SPARSE_MIXED_POSITION_EXPLORATORY	drei von fünf exakten rechten Kontexten sind geordnete Werte und fünf von zwölf Vorkommen sind zeilenfinal; dies trägt eine Zubereitung, aber weder einen bloßen Imperativ noch sichere Ölidentität	Öl / ölige Zubereitung	0	0
ols	f114r	f114r.37	7	MIDDLE	yky	ol	0	HOT|LEVEL_III	DESCRIPTIVE_QUALITY	odar or aiin otshedy okaiin yky ols ol kaiin chees air qotaiin chedaiiin	abgeseihtes Endprodukt	abgeseihte Zubereitung	1	NONE	REVISE_RESULT_TO_VALUE_BEARING_PREPARATION_C0	C0_SPARSE_MIXED_POSITION_EXPLORATORY	drei von fünf exakten rechten Kontexten sind geordnete Werte und fünf von zwölf Vorkommen sind zeilenfinal; dies trägt eine Zubereitung, aber weder einen bloßen Imperativ noch sichere Ölidentität	Öl / ölige Zubereitung	0	0
ols	f15v	f15v.7	8	LAST	tor	LINE_EDGE	0	COLD|MOIST|AMOUNT|MATERIAL|PREPARATION	DESCRIPTIVE_MATERIA	y choiin sho chy s chy tor ols	abgeseihtes Endprodukt	abgeseihte Zubereitung	1	NONE	REVISE_RESULT_TO_VALUE_BEARING_PREPARATION_C0	C0_SPARSE_MIXED_POSITION_EXPLORATORY	drei von fünf exakten rechten Kontexten sind geordnete Werte und fünf von zwölf Vorkommen sind zeilenfinal; dies trägt eine Zubereitung, aber weder einen bloßen Imperativ noch sichere Ölidentität	Öl / ölige Zubereitung	0	0
ols	f23v	f23v.11	8	LAST	cheeb	LINE_EDGE	0	PREPARATION	MATERIA_OR_INGREDIENT	y okaiin doroiin olols oiin ol cheeb ols	abgeseihtes Endprodukt	abgeseihte Zubereitung	1	NONE	REVISE_RESULT_TO_VALUE_BEARING_PREPARATION_C0	C0_SPARSE_MIXED_POSITION_EXPLORATORY	drei von fünf exakten rechten Kontexten sind geordnete Werte und fünf von zwölf Vorkommen sind zeilenfinal; dies trägt eine Zubereitung, aber weder einen bloßen Imperativ noch sichere Ölidentität	Öl / ölige Zubereitung	0	0
ols	f46r	f46r.13	7	MIDDLE	dar	lain	0	NONE	OPEN	ar akaiin shol okeey chol dar ols lain y	abgeseihtes Endprodukt	abgeseihte Zubereitung	1	NONE	REVISE_RESULT_TO_VALUE_BEARING_PREPARATION_C0	C0_SPARSE_MIXED_POSITION_EXPLORATORY	drei von fünf exakten rechten Kontexten sind geordnete Werte und fünf von zwölf Vorkommen sind zeilenfinal; dies trägt eine Zubereitung, aber weder einen bloßen Imperativ noch sichere Ölidentität	Öl / ölige Zubereitung	0	0
ols	f78v	f78v.27	6	MIDDLE	ol	sheey	0	HOT|PART|MATERIAL	DESCRIPTIVE_MATERIA	lol kar shr r ol ols sheey ol chedy oltar olkaiin	abgeseihtes Endprodukt	abgeseihte Zubereitung	1	NONE	REVISE_RESULT_TO_VALUE_BEARING_PREPARATION_C0	C0_SPARSE_MIXED_POSITION_EXPLORATORY	drei von fünf exakten rechten Kontexten sind geordnete Werte und fünf von zwölf Vorkommen sind zeilenfinal; dies trägt eine Zubereitung, aber weder einen bloßen Imperativ noch sichere Ölidentität	Öl / ölige Zubereitung	0	0
ols	f83r	f83r.10	4	MIDDLE	cheeb	aiin	1	NONE	OPEN	olkeey rchs cheeb ols aiin skal dain cthal s aiin chky lal sam	abgeseihtes Endprodukt	abgeseihte Zubereitung	1	drei Portionen abgeseihte Zubereitung	REVISE_RESULT_TO_VALUE_BEARING_PREPARATION_C0	C0_SPARSE_MIXED_POSITION_EXPLORATORY	drei von fünf exakten rechten Kontexten sind geordnete Werte und fünf von zwölf Vorkommen sind zeilenfinal; dies trägt eine Zubereitung, aber weder einen bloßen Imperativ noch sichere Ölidentität	Öl / ölige Zubereitung	0	0
