page	locus	token_ordinal	surface	v63_token_gloss_de	v64_token_gloss_de	v64_changed	v64_rule_id	decision_class	practical_head_de	live_rivals_de	preparation_span_count	preparation_roles	formal_routes	basis	v65_token_gloss_de	v65_changed	v65_rule_id	v65_composition	v65_family	v65_product_rival_de	v65_visible_tail	v65_whole_extension	v65_basis	v66_tournament_role	v66_rule_id	v66_fraction_de	v66_fraction_changed	v66_share_de	v66_share_changed	v66_stage_de	v66_stage_changed	v66_class_de	v66_class_changed	v66_selected_candidate	v66_selected_gloss_de	v66_selected_changed	v66_selected_semantic_role	v66_selected_override_id
f102v2	f102v2.3	1	oror	zwei Portionen	zwei Portionen	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	zwei Portionen	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	zwei Portionen	0	zwei Portionen	0	zwei Portionen	0	zwei Portionen	0	share	zwei Portionen	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f104v	f104v.2	1	ychedaiin	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	0	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	0	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	0	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	0	share	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f104v	f104v.2	2	qoteed	Ansatz vollständig abkühlen und abziehen	Auszug vollständig abkühlen und abziehen	1	P001	EXACT_WORKFLOW_WHOLE	Auszug	Zubereitung|Absud	1	HEAD	LEARNED_WHOLE_OR_UNEXPORTED	Abkühlen plus Abziehen bezeichnet hier praktisch das bearbeitete Flüssigprodukt, nicht einen bloßen Stütz-Ansatz.	Auszug vollständig abkühlen und abziehen	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	Auszug vollständig abkühlen und abziehen	0	Auszug vollständig abkühlen und abziehen	0	Auszug vollständig abkühlen und abziehen	0	Auszug vollständig abkühlen und abziehen	0	share	Auszug vollständig abkühlen und abziehen	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f104v	f104v.2	3	chockhy	Arzneikompositum im Trockenansatz am Gradanfang	trockene Arzneizubereitung, Gradanfang	1	P037	O_CKH_PREPARATION_PRESERVATION	Arzneizubereitung	Trockenansatz des Arzneikompositums	1	LOCATIVE_CONTEXT	GDT652_EXACT_O_PREP_SURFACE	Die qualifizierte O-CKH-Zubereitung bleibt sichtbar; trocken und Gradanfang werden als Zustand derselben Zubereitung gesprochen.	trockene Arzneizubereitung, Gradanfang	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	trockene Arzneizubereitung, Gradanfang	0	trockene Arzneizubereitung, Gradanfang	0	trockene Arzneizubereitung, Gradanfang	0	trockene Arzneizubereitung, Gradanfang	0	share	trockene Arzneizubereitung, Gradanfang	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f104v	f104v.2	4	otaiin	kalter Ansatz, Grad III	kalter Ansatz, Grad III	0	NONE	KEEP_V63	INHERITED	NONE	1	HEAD	LEARNED_WHOLE_OR_UNEXPORTED	NONE	kalter Ansatz, Grad III	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	kalter Ansatz, Grad III	0	kalter Ansatz, Grad III	0	kalter Ansatz, Grad III	0	kalter Ansatz, Grad III	0	share	kalter Ansatz, Grad III	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f104v	f104v.2	5	ydaiin	davon drei Maße	davon drei Maße	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	davon drei Maße	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	davon drei Maße	0	davon drei Maße	0	davon drei Maße	0	davon drei Maße	0	share	davon drei Maße	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f104v	f104v.2	6	qokamdy	ein Maß nehmen und erhitzen	ein Maß nehmen und erhitzen	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	ein Maß nehmen und erhitzen	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	ein Maß nehmen und erhitzen	0	ein Maß nehmen und erhitzen	0	ein Maß nehmen und erhitzen	0	ein Maß nehmen und erhitzen	0	share	ein Maß nehmen und erhitzen	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f104v	f104v.2	7	otarar	erste Unterfraktion der kalten Ansatzfraktion I	erste Unterfraktion der kalten Ansatzfraktion I	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	erste Unterfraktion der Fraktion I des kalten Ansatzes	1	F009	O_PREP+T_COLD+AR_FRACTION_I+AR_FRACTION_I	O_PREP_DERIVED_FRACTION	Unterfraktion I des kalten Drogenauszugs I		SECOND_AR_RECURSIVE_SUBFRACTION	Das zweite AR wird rekursiv als Unterfraktion gelesen; es ist kein neuer Stamm.	TARGET_41	H009	erste Unterfraktion der Fraktion I des kalten Ansatzes	0	Unteranteil I des Anteils I des kalten Ansatzes	1	kalter Ansatz auf Zubereitungsstufe I, Unterstufe I	1	kalter Ansatz, Stoffklasse I, Unterklasse I	1	share	Unteranteil I des Anteils I des kalten Ansatzes	1	R_INDEXED_MATERIAL_SHARE_SELECTOR	NONE
f104v	f104v.2	8	alched	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	0	NONE	KEEP_V63	INHERITED	NONE	0	NONE	NONE	NONE	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	0	NONE	INHERITED	INHERITED	NONE		NONE	UNCHANGED_V64	INHERITED	NONE	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	0	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	0	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	0	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	0	share	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	0	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	NONE
f104v	f104v.2	9	otair	zweite kalte Drogenfraktion im Ansatz	zweiter Kaltauszug der Droge	1	P042	LOCAL_CONTEXT_WHOLE	Kaltauszug	zweite Fraktion des kalten Ansatzes	1	LOCATIVE_CONTEXT	LEARNED_WHOLE_OR_UNEXPORTED	Konkrete lokale Working Main; die ot-Fraktionsschwestern bleiben bis zur gemeinsamen Runde offen.	Fraktion II des kalten Ansatzes	1	F008	O_PREP+T_COLD+AIR_FRACTION_II	O_PREP_TEMPERATURE_R_LADDER	kalter Drogenauszug II		NONE	AIR bleibt Stufe II neben OTAR Stufe I.	TARGET_41	H008	Fraktion II des kalten Ansatzes	0	Anteil II des kalten Ansatzes	1	kalter Ansatz auf Zubereitungsstufe II	1	kalter Ansatz, Stoffklasse II	1	share	Anteil II des kalten Ansatzes	1	R_INDEXED_MATERIAL_SHARE_SELECTOR	NONE
