passage_patch_id	span_id	target_occurrence_id	page	physical_folio	locus	right_surface	semantic_change_class	old_display_de	new_display_de	selected_whole_default_de	written_line_eva	inherited_gdt777_patch_de	gdt778_practical_patch_de	patch_legend	default_is_translation	confirmed_plaintext	component_export_credit
G778-P001	G778-S001	G769-T0002	f100v	f100	f100v.21	choy	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	getrocknete Zubereitungsform	getrocknete Zubereitungsform	soral okor ol choy ly araroy okar cheeeal cheokeol orey	soral okor ol choy ly araroy okar cheeeal cheokeol orey	soral okor ⟦getrocknete Zubereitungsform⟧ ly araroy okar cheeeal cheokeol orey	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P002	G778-S002	G769-T0019	f103v	f103	f103v.17	char	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	Fraktionsstufe I	Fraktionsstufe I	qokeedy chedy qoteey oteedy lkedy shedy qokal ol char otal opchedy	qokeedy chedy qoteey oteedy lkedy shedy qokal ol char otal opchedy	qokeedy chedy qoteey oteedy lkedy shedy qokal ⟦Fraktionsstufe I⟧ otal opchedy	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P003	G778-S003	G769-T0024	f103v	f103	f103v.40	keey	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	erhitzte Form II	erhitzte Form II	yteey sheal shey qoain ol keey qokaiin shckhy lchedy rain	yteey sheal shey qoain ol keey qokaiin shckhy lchedy rain	yteey sheal shey qoain ⟦erhitzte Form II⟧ qokaiin shckhy lchedy rain	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P004	G778-S004	G769-T0040	f104v	f104	f104v.33	ar	CONTEXTUAL_SHARPENING	und	und; Anteil	Anteil	yteeey cheeod ykeey kaiin qokaiin cheey or ol ar odar chedain etar ar air ary	yteeey cheeod ykeey kaiin qokaiin cheey or ⟦und⟧ ar odar chedain etar ar air ary	yteeey cheeod ykeey kaiin qokaiin cheey or ⟦und; Anteil⟧ odar chedain etar ar air ary	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P005	G778-S005	G769-T0049	f105v	f105	f105v.7	olkaiin	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	erhitztes Material, Wert III	erhitztes Material, Wert III	ycheeo lkaiin otair ol olkaiin okairody lchedr	ycheeo lkaiin otair ol olkaiin okairody lchedr	ycheeo lkaiin otair ⟦erhitztes Material, Wert III⟧ okairody lchedr	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P006	G778-S006	G769-T0124	f114r	f114	f114r.12	air	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	Anteil II	Anteil II	ykcheshd ol air okaiin otedy ykeeey teos lair sheod chody otchedair okam	ykcheshd ol air okaiin otedy ykeeey teos lair sheod chody otchedair okam	ykcheshd ⟦Anteil II⟧ okaiin otedy ykeeey teos lair sheod chody otchedair okam	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P007	G778-S007	G769-T0133	f114v	f114	f114v.34	oaiin	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	Zubereitungswert III	Zubereitungswert III	olkeechy ol oaiin aiin chocthey qotedal octhy sotey cheos air	olkeechy ol oaiin aiin chocthey qotedal octhy sotey cheos air	olkeechy ⟦Zubereitungswert III⟧ aiin chocthey qotedal octhy sotey cheos air	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P008	G778-S008	G769-T0158	f17v	f17	f17v.12	chor	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	Blütenstand	Blütenstand	oy choy keaiin chckhey ol chor	oy choy keaiin chckhey ol chor	oy choy keaiin chckhey ⟦Blütenstand⟧	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P009	G778-S010	G769-T0166	f23r	f23	f23r.5	dol	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	Materialmaß	Materialmaß	ychor qokchol ytym chol dair chol ar ol ol dol dain	ychor qokchol ytym chol dair chol ar ⟦Unterfeld: weiterer Ansatz⟧ ol dol dain	ychor qokchol ytym chol dair chol ar ⟦Unterfeld: weiterer Ansatz⟧ ⟦Materialmaß⟧ dain	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P010	G778-S011	G769-T0173	f24r	f24	f24r.15	dal	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	abgemessenes Material I	abgemessenes Material I	ockhoees oeees ol dal s	ockhoees oeees ol dal s	ockhoees oeees ⟦abgemessenes Material I⟧ s	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P011	G778-S012	G769-T0177	f30v	f30	f30v.2	chy	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	trockene Grundform	trockene Grundform	qotchor chy she kchor chory keor ol chy daiin ctholdy	qotchor chy she kchor chory keor ol chy daiin ctholdy	qotchor chy she kchor chory keor ⟦trockene Grundform⟧ daiin ctholdy	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G778-P012	G778-S013	G769-T0179	f32r	f32	f32r.7	dair	FALLBACK_REPLACEMENT	Ansatz-/Zubereitungsposten	abgemessener Anteil II	abgemessener Anteil II	otol dol ol dair	otol dol ol dair	otol dol ⟦abgemessener Anteil II⟧	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
