checkpoint	forward_value	backward_without_master	backward_with_master	loss_de
VISIBLE_ORDER	27 WHAT + 62 HOW + 1 WHEN marks	RECOVERED	RECOVERED	keiner
SURFACE_AND_OPAQUE_ID	90 sichtbare Formen und Identitäten	RECOVERED	RECOVERED	keiner
PREPARATION_CLASS	P4 zutatenreicher Durchlassansatz	RECOVERED	RECOVERED	keiner
APPLICATION_CLASS	B2 fünf gemessene Stationsanwendungen	RECOVERED	RECOVERED	keiner
CONDITION_SHELF	C4 linker lokaler 28-Platz-Bestand	RECOVERED	RECOVERED	keiner
PRODUCT_IDENTITY	Spülansatz aus der abgebildeten stacheligen Pflanze	LOST	RECOVERED	Pflanzenbild liefert keinen Namen
NUMERIC_MEASURE	ein kleiner Schöpfbecher je Station	LOST	RECOVERED	Karte zeigt nur Maßklasse
NUMERIC_DURATION	eine kurze, eine längere und eine volle Haltestufe nach Meistermaß	LOST	RECOVERED	Karte zeigt nur Grad
MATERIAL_RESULT	gleichmäßiger Durchlauf an allen fünf Bildstationen	LOST	RECOVERED	Zielzustand ist nur grob
EXTERNAL_CONDITION_VALUE	lokaler linker f69-Platz L09 mit Etikett otody	LOCAL_LABEL_ONLY	RECOVERED	Etikett nennt keinen externen Kalenderwert
