source_id	work	record_type	date_band	region	language	slot_signature	whole_plus_code_layout	entry_count_scope	primary_url	secondary_url	local_evidence_path	evidence_summary	caveat	relation_credit
HSR001	Ad fontes: Abbreviations	PALAEOGRAPHY_REFERENCE	High and late Middle Ages	Latin Europe	Latin	WHOLE_WORD|SUSPENSION|CONTRACTION|PREFIX|SUFFIX|MEASURE_SIGN	MIXED_ABBREVIATION_REPERTOIRE	REFERENCE_SECTIONS_NOT_ENTRY_COUNTED	https://www.adfontes.uzh.ch/en/tutorium/schriften-lesen/abkuerzungen	NONE	experiments/yolo/gdt609_historical_mixed_abbreviation_prior/artifacts/source_evidence.tsv	Documents contextual abbreviation mechanisms and conventional measure signs.	Modern synthesis; no local medieval inventory and no Voynich value.	0
HSR002	Dresden Od.83 Wycliffite Bible abbreviation study	MANUSCRIPT_CASE_STUDY	circa 1400	Central Europe	Latin	WHOLE_WORD|SEQUENCE|SUPERSCRIPT|WORD_FINAL	WHOLES_AND_CONTEXTUAL_SEQUENCE_ABBREVIATIONS	FOUR_SUPERSCRIPT_LETTERS_SEVEN_SEQUENCES	https://doi.org/10.31743/lingbaw.5665	NONE	experiments/yolo/gdt609_historical_mixed_abbreviation_prior/artifacts/source_evidence.tsv	Shows whole-word and sequence abbreviations with positional restrictions in a dated witness.	Biblical rather than pharmaceutical and only an architectural comparator.	0
HSR003	Late-medieval medical abbreviation corpus	CORPUS_STUDY	late 14th to 15th century	England and Latin Europe	Latin|Middle English	RECIPE|ANA|WEIGHT|MEASURE|PER_PAR_PRE_PRO|R_CLUSTER	MEDICAL_WORDS_PLUS_BREVIGRAPHS_AND_SIGNS	CORPUS_STUDY_NOT_LOCALLY_ENTRY_COUNTED	https://reunido.uniovi.es/index.php/SELIM/article/view/13301	NONE	experiments/yolo/gdt609_historical_mixed_abbreviation_prior/artifacts/source_evidence.tsv	Documents medical-only signs, contraction, brevigraphs and weights/measures.	Several witnesses postdate 1450; no Voynich mapping.	0
HSR004	Nicodemo Tranchedini diplomatic nomenclators	HISTORICAL_CIPHER_STUDY	1440s to 1454	Northern Italy	Latin|Italian	LETTER|DOUBLE|NULL|SYLLABLE|WHOLE_WORD	MIXED_ATOMIC_AND_WHOLE_CODEBOOK	EARLY_INVENTORY_REPORTED_AS_81_OR_82_SIGNS	https://ep.liu.se/ecp/149/007/ecp18149007.pdf	NONE	experiments/yolo/gdt609_historical_mixed_abbreviation_prior/artifacts/source_evidence.tsv	Provides a real mixed letter, syllable, null and whole-word nomenclator architecture.	Category total is internally inconsistent and the domain is diplomatic, not medical.	0
HSR005	Latin alchemical sign practice survey	HISTORICAL_SURVEY	12th to 15th century	Latin Europe	Latin	PLANETARY_SIGN|ALPHABETIC_SIGN|LOCAL_SYMBOL|RECIPE	LOCAL_MIXED_SYMBOL_VOCABULARIES	SURVEY_NOT_ENTRY_COUNTED	https://hyle.org/journal/issues/9-2/obrist.pdf	https://digital.sciencehistory.org/works/3arao9u	experiments/yolo/gdt609_historical_mixed_abbreviation_prior/artifacts/source_evidence.tsv	Supports sporadic local mixed signs in Latin alchemy and a practical miscellany control.	Broad survey plus a likely post-1450 witness; no compositional lexicon demonstrated.	0
HSR006	Datini and di Berto account books	NEGATIVE_REGISTER_CONTROL	1367-1373	Avignon	Italian	ACCOUNT|SPECIALIST_TERM|CROSS_BOOK_LINK	FULL_SENTENCE_ACCOUNT_REGISTER	ONE_COMPANY_ARCHIVE	https://www.uni-muenster.de/Geschichte/MittelalterSchriftlichkeit/ProjektA/datini.htm	NONE	experiments/yolo/gdt609_historical_mixed_abbreviation_prior/artifacts/source_evidence.tsv	Negative control showing specialist accounting without symbol-dense code predominance.	Commercial rather than pharmaceutical.	0
HSR007	BSB Clm 667 temperament codebook	PRIMARY_MANUSCRIPT	1481-1490	Bavaria	Latin	LEARNED_DRUG_NAME|HOT_COLD|DRY_MOIST|DEGREE	WHOLE_DRUG_NAME_PLUS_INLINE_COMPACT_CODE	FIVE_CACHED_SCAN_PAGES_161_163_165_167_169	https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00051579/manifest	NONE	experiments/yolo/gdt622_clm667_temperament_codebook/artifacts/SOURCE_OBSERVATIONS.tsv	Directly exhibits learned drug wholes followed by compact temperament and degree codes.	Later than the target period; code orientation does not identify Voynich signs.	0
HSR008	Vatican Pal.lat.1234 degrees of simples	PRIMARY_MANUSCRIPT	circa 1400	Latin Europe	Latin	LEARNED_DRUG_NAME|PART_HEADER|HOT_COLD|DRY_MOIST|DEGREE	RUBRIC_SCOPED_LISTS_AND_NESTED_PART_HEADERS	F1R_F1V_F3R_F3V_TARGETED_LAYOUT_OBSERVATIONS	https://digi.vatlib.it/iiif/MSS_Pal.lat.1234/manifest.json	https://digi.ub.uni-heidelberg.de/diglit/bav_pal_lat_1234	experiments/yolo/gdt623_temperament_orientation_frequency/artifacts/HISTORICAL_LAYOUT_OBSERVATIONS.tsv	Shows four degree rubrics and nested seed, flower, leaf, fruit, root, wood and gum headings.	Rubrics are mostly written out and do not map any target token.	0
HSR009	Wellcome MS.491 Pseudo-Mesue Grabadin	PRIMARY_MANUSCRIPT	1418	German-speaking scribe	Latin	DRUG_NAME|RECIPE|PREPARATION|QUANTITY	PHARMACY_CODEBOOK_AND_RECIPE_WITNESS	DATED_WITNESS_NOT_LOCALLY_ENTRY_COUNTED	https://wellcomecollection.org/works/p395vx7a	NONE	experiments/yolo/gdt626_mobile_operation_lexicon/artifacts/HISTORICAL_NUMERAL_COMPARATORS.tsv	Period-matched pharmacy and materia-medica control.	Genre and date alone provide no semantic slot mapping.	0
HSR010	Wellcome MS.542 medical miscellany and glossary	PRIMARY_MANUSCRIPT	early 15th century	England	Latin	DRUG_NAME|RADIX_LIGNUM|HOT_COLD|DRY_MOIST|DEGREE|DROPS	WHOLE_MATERIA_NAME_PLUS_COMPACT_QUALITY_AND_NUMBER	TARGETED_F79V_F118R_F119V_ROWS	https://wellcomecollection.org/works/n674z2xd	https://iiif.wellcomecollection.org/image/b19608767_MS_542_0172.JP2/full/2400,/0/default.jpg	experiments/yolo/gdt626_mobile_operation_lexicon/artifacts/HISTORICAL_NUMERAL_COMPARATORS.tsv	Combines lignum or radix with quality and degree and separately records counted drops.	Repeated in GDT626, GDT635, GDT636 and GDT734; count as one source, not four confirmations.	0
