trace_id	register	page	unit	phase	event_serials	event_count	source_phrase_order	ordinary_source_German_tagged	latin_formulary_analogue	vernacular_imperative_analogue	silent_registers	licensed_short_layer	exemplar_tail_status	compiler_steps	visible_surface_sequence	physical_layout	reverse_reading	strongest_failure	semantic_contract
T-H4-01	HERBAL	f55v	H4	H4-S001	56-60	5	owner > batch > measure > preparation > medium > close/state	[IMAGE:H4-Blätter; als Editionshypothese Bärlauch, nicht Kartenwert] [REGISTER:ACTIVE=H4:I001] setze den ersten Posten an; [CARD:MASS?] ein örtliches Maß; [GENRE:zerstoße die Blätter], [EXEMPLAR:gib Weißwein hinzu], verschließe und lasse kühl stehen.	Recipe folia [IMAGE]; accipe mensuram [EXEMPLAR]; contunde; infunde vino [EXEMPLAR]; claude et stet.	Nimm die abgebildeten Blätter; miss einen Teil; stoß sie, tu Wein daran, verschließ und lass stehen.	OWNER=H4:O01;ACTIVE=H4:I001;TARGET=UNSET;PREVIOUS=UNSET	FORMAL_STANDARD_SET|MASS?	Three rare cards carry only copied local preparation, medium and closure text.	M10>M11>M13>M16>M17>M18>M19>M20	qokaiin chaiin ykain ykan ody	one field F010 on f55v.5; closure at event 60	standard slot; MASS?; three exemplar-dependent operations; close	White wine and Bärlauch are entirely image/genre/editorial and cannot be recovered from either licensed item.	NO_PHONETIC_MAPPING;NO_NEW_CARD_MEANING;LOCAL_EXPANSION_ONLY
T-H4-02	HERBAL	f55v	H4	H4-S002	61-63	3	active batch > measure > separation/state > storage	[REGISTER:ACTIVE=H4:I001] [CARD:MASS?] miss eine Portion des Ansatzes ab; [GENRE:wringe durch Leinwand und lasse klar absetzen]; [GENRE:verwahre den Auszug].	Accipe mensuram de praeparatione [REGISTER]; cola per pannum [GENRE]; serva liquorem [GENRE].	Miss von dem Ansatz ab, wring ihn durchs Tuch, lass ihn klar werden und verwahr ihn.	OWNER=H4:O01;ACTIVE=H4:I001;TARGET=UNSET;PREVIOUS=UNSET	MASS?	Separation, clarity and storage remain local exemplar/genre expansions; the formal prescribed-parameter prompt adds no word.	M13>M16>M17>M18>M19>M20	daiin chedy talam	field F011 on f55v.5; one closed source statement	MASS? plus prescribed parameter; two exemplar-tail operations	The three-card line does not license linen, settling or storage as portable meanings.	NO_PHONETIC_MAPPING;NO_NEW_CARD_MEANING;LOCAL_EXPANSION_ONLY
T-H4-03	HERBAL	f55v	H4	H4-S003	64-67	4	active preparation > application target > manner > close	[REGISTER:ACTIVE=H4:I001] [GENRE:wasche eine unreine äußere Wunde] [GENRE:mit dem klaren Auszug] [EXEMPLAR:einmal oder örtlich vorgeschrieben]; beende den Gebrauch.	Lava vulnus exterius [GENRE] cum liquore [REGISTER]; semel [EXEMPLAR]; fini.	Wasch die äußere Wunde mit dem klaren Auszug einmal; ende damit.	OWNER=H4:O01;ACTIVE=H4:I001;TARGET=H4:T001;PREVIOUS=UNSET	NONE	All four cards are copied exemplar tail or closure; wound, dose and manner are not decoded.	M11>M13>M16>M19>M20	ykaiin cheoar cheeky oldy	field F012 on f55v.11; reflow resumes H4 after the page-local break	no licensed word; read only with picture, active register and exemplar	Without the lost exemplar this field reduces to an ordered unknown application packet.	NO_PHONETIC_MAPPING;NO_NEW_CARD_MEANING;LOCAL_EXPANSION_ONLY
T-H4-04	HERBAL	f55v	H4	H4-S004	68-73	6	retained part > measure > target > state > new batch > medium > application	[REGISTER:PREVIOUS=H4:I001;ACTIVE=H4:I002] [CARD:MASS?] nimm ein örtliches Maß der zurückbehaltenen Blätter; [FORMAL:TARGET] lege sie an die bezeichnete Stelle; [GENRE:erwärme gelinde]; [CARD:ANSATZ?] führe sie als zweiten Ansatz; [EXEMPLAR:mische mit Honig und lege den warmen Umschlag frisch auf].	Recipe mensuram foliorum reservatorum [REGISTER]; ad locum [FORMAL]; calefac leniter [GENRE]; fiat praeparatio [CARD?]; cum melle impone [EXEMPLAR].	Nimm ein Maß der übrigen Blätter, leg sie an die Stelle, wärm sie, mach einen zweiten Ansatz mit Honig und leg ihn warm auf.	OWNER=H4:O01;ACTIVE=H4:I002;TARGET=H4:T002;PREVIOUS=H4:I001	MASS?|FORMAL_TARGET_SET|ANSATZ?	Warmth, honey and poultice action remain local; exact cards license only the tentative short mnemonics.	M13>M16>M17>M18>M19>M20	aiin okal oltchy or y orain	field F013 on f55v.11; closes H4	MASS?; target slot; unknown state; ANSATZ?; two unknown local operations	The fluent poultice is a useful edition, not an atom-by-atom decipherment.	NO_PHONETIC_MAPPING;NO_NEW_CARD_MEANING;LOCAL_EXPANSION_ONLY
T-B2-01	BIOLOGICAL	f82r	B2	B2-P01	167-168	2	owner/station > housekeeping close > next parallel cell	[REGISTER:OWNER=B2:O01] [EXEMPLAR:spüle das benutzte Gefäß oder den Lauf aus und beende]; [EXEMPLAR:stelle die Mischung im bedeckten Auffanggefäß beiseite und beende].	Lava vas sive conductum [EXEMPLAR]; pone mixturam in vase cooperto [EXEMPLAR].	Spül Lauf oder Gefäß; stell die Mischung bedeckt beiseite.	OWNER=B2:O01;ACTIVE=B2:I001;TARGET=B2:T001;PREVIOUS=UNSET	NONE	Both cells are closed exemplar packets; neither proves bath, body or medicine.	M10>M11>M14>M16>M19>M20	dchedy qolchedy	two one-card cells F045-F046 on f82r.2	unknown housekeeping cell; unknown storage cell	A waterworks inventory explains these cells at least as well as a medical bath.	NO_PHONETIC_MAPPING;NO_NEW_CARD_MEANING;LOCAL_EXPANSION_ONLY
T-B2-02	BIOLOGICAL	f82r	B2	B2-P02	169-188	20	charge > measure > vessel/target > temper/filter > carry > repeated standard > draw off > apply	[REGISTER:ACTIVE=B2:I001;OWNER=B2:O01] [EXEMPLAR:gib einen abgemessenen Anteil ins Gefäß und lasse die Figur im temperierten Teilbad sitzen]; [FORMAL:TARGET] führe ihn zur zweiten Öffnung und zum nächsten Becken; [CARD:TEMPERIEREN?] temperiere, [EXEMPLAR:seihe klar]; führe den zweiten Lauf durch Tuch und Leitungen; [FORMAL:STANDARD] miss nach derselben Vorschrift, wobei die Wiederholung am f82r.3-zu-.4-Rand nur Kantenkopie ist; ziehe ab; führe den vorbereiteten Zusatz [FORMAL:TARGET] an die Stelle und [CARD:ANWENDEN?].	Recipe portionem [EXEMPLAR]; mitte in vas; tempera [CARD?]; cola; ad locum [FORMAL]; utere [CARD?].	Gib den Anteil hinein, temperiere und seihe; führ ihn weiter, miss wie zuvor, zieh ab und wende ihn an der Stelle an.	OWNER=B2:O01;ACTIVE=B2:I001;TARGET=B2:T007;PREVIOUS=UNSET	FORMAL_TARGET_SET|TEMPERIEREN?|FORMAL_STANDARD_SET|ANWENDEN?	Sixteen events remain exemplar/formal context; patient, partial bath, vessel, aperture, cloth and conduit are supplied by image or edition.	M10>M11>M14>M16>M17>M18>M19>M20	qokain dy qokeedy qokal lcheckhy lched qokeey lcheckhedy qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy oteey qokal sheckhy qoky	fields F047-F052 across f82r.2-.4; qokaiin is copied at the edge and counted twice visibly but once as source instruction	charge unknown; target slot; TEMPERIEREN?; unknown separation/carry; standard slot with edge copy; unknown draw; target slot; ANWENDEN?	The same spatial sequence can be a cistern or dye-work flow; the female bathing subject is not card-supported.	NO_PHONETIC_MAPPING;NO_NEW_CARD_MEANING;LOCAL_EXPANSION_ONLY
T-B2-03	BIOLOGICAL	f82r	B2	B2-P03	189-209	21	refill > duration/readiness > warmth > temper/apply/test > same batch/measure > drain/retemper > wet close	[REGISTER:ACTIVE=B2:I003;PREVIOUS=B2:I001;OWNER=B2:O01] [EXEMPLAR:gib sauberes Wasser zu; halte es wie zuvor bis bereit und warm]; [CARD:TEMPERIEREN?] und [CARD:ANWENDEN?] an der ersten Öffnung; [CARD:KLAR?] prüfe den Zustand; gib aus demselben Ansatz zwei örtliche Anteile ins Teilbad; ziehe klare Flüssigkeit ab; [CARD:KLAR?] prüfe unter derselben Einstellung, [CARD:TEMPERIEREN?], [CARD:MASS?] und benetze den bezeichneten Bereich vollständig.	Adde aquam [EXEMPLAR]; stet donec paratum; calefac; tempera [CARD?]; utere [CARD?]; inspice claritatem [CARD?]; accipe mensuram [CARD?]; irriga [EXEMPLAR].	Gib Wasser zu, lass es bereit und warm werden, temperiere und gebrauche es; prüf es, nimm vom selben Ansatz Maß und benetz die Stelle.	OWNER=B2:O01;ACTIVE=B2:I003;TARGET=B2:T009;PREVIOUS=B2:I001	TEMPERIEREN?|ANWENDEN?|KLAR?|KLAR?|TEMPERIEREN?|MASS?	Fifteen events remain local exemplars; water, duration, opening, bath and body area cannot be extracted from the six licensed occurrences.	M14>M16>M17>M18>M19>M20	dshedy sotaiin qokar shedy solshedy qokeey qoky ls cheey okain char okain qokeedy lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	fields F053-F059 across f82r.7-.23; several physical lines continue one process	unknown refill/state; TEMPERIEREN?; ANWENDEN?; unknown target; KLAR?; unknown shares and carry; KLAR?; TEMPERIEREN?; unknown body site; MASS?; unknown wet close	A closed technical circulation-and-quality-check workflow fits without a patient or ailment.	NO_PHONETIC_MAPPING;NO_NEW_CARD_MEANING;LOCAL_EXPANSION_ONLY
T-B2-04	BIOLOGICAL	f82r	B2	B2-P04	210-211	2	active charge > drain > close outlet	[REGISTER:ACTIVE=B2:I003;TARGET=B2:T009] [CARD:ABLASSEN?] führe die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich ab; [EXEMPLAR:schließe den unteren Ablauf].	Emitte liquorem [CARD?]; claude foramen inferius [EXEMPLAR].	Lass die Flüssigkeit ab und schließ den unteren Ablauf.	OWNER=B2:O01;ACTIVE=B2:I003;TARGET=B2:T009;PREVIOUS=B2:I001	ABLASSEN?	The outlet and closure are image/exemplar content.	M14>M16>M17>M19>M20	lchedy lar	fields F060-F061 on f82r.23; two closed cells	ABLASSEN? followed by unknown local closure	ABLASSEN? is tentative and could mark a generic close/transfer rather than literal draining.	NO_PHONETIC_MAPPING;NO_NEW_CARD_MEANING;LOCAL_EXPANSION_ONLY
T-B2-05	BIOLOGICAL	f82r	B2	B2-P05	212-224	13	next cycle > rinse/bath > target > shares/measure > medium states > drain > parallel aperture	[REGISTER:ACTIVE=B2:I004;OWNER=B2:O01] [EXEMPLAR:beginne die Spülung und lasse die Figur im temperierten Teilbad sitzen]; [CARD:ZIEL?] führe kühles Wasser und den vorbereiteten Zusatz in gleichen Anteilen, [CARD:MASS?] nach örtlicher Vorschrift; [FORMAL:STANDARD] stelle die Vorgabe, gib warmes Wasser zu und ziehe ab; gieße erwärmtes Wasser ein, wiederhole an der zweiten Öffnung und lasse sie erneut sitzen.	Incipe lotionem [EXEMPLAR]; ad locum [CARD?]; accipe mensuram [CARD?]; secundum regulam [FORMAL]; infunde aquam; repete.	Beginn die Spülung; führ den abgemessenen Ansatz ans Ziel, gib warmes Wasser zu, zieh ab und wiederhol am zweiten Lauf.	OWNER=B2:O01;ACTIVE=B2:I004;TARGET=B2:T011;PREVIOUS=B2:I003	ZIEL?|MASS?|FORMAL_STANDARD_SET	Ten events remain local; water temperature, equality, patient, bath and second opening are exemplar expansions.	M10>M14>M16>M17>M18>M19>M20	tshey qokeedy cheal lchedar ches aiin oteey qokaiin okey pchedy rsheal daldy qokeedy	fields F062-F066 across f82r.26-.27	unknown cycle; ZIEL?; unknown cool/equal; MASS?; unknown additive; standard slot; unknown warm/drain/repeat	A repeated industrial rinse cycle is structurally as strong as the therapeutic expansion.	NO_PHONETIC_MAPPING;NO_NEW_CARD_MEANING;LOCAL_EXPANSION_ONLY
T-B2-06	BIOLOGICAL	f82r	B2	B2-P06	225-228	4	parallel applications > local close	[REGISTER:ACTIVE=B2:I004;TARGET=B2:T011] [EXEMPLAR:verwende den Anteil als örtliche Waschung]; [EXEMPLAR:lege ein warmes Tuch auf die äußere Stelle]; [EXEMPLAR:lasse die Figur im temperierten Teilbad sitzen]; [EXEMPLAR:mische zu gleichen Teilen]; jeweils lokaler Abschluss.	Utere ad lotionem; impone pannum calidum; sedeat in balneo; misce ana [alles EXEMPLAR].	Wasch örtlich, leg ein warmes Tuch auf, lass sie im Bad sitzen und misch gleiche Teile.	OWNER=B2:O01;ACTIVE=B2:I004;TARGET=B2:T011;PREVIOUS=B2:I003	NONE	Every action is a selected local expansion, not a deck reading.	M14>M16>M19>M20	rshedy qoteedy qokeedy lochedy	four parallel one-card cells F067-F070 on f82r.27	four opaque local close packets	The apparent clinical sequence is too semantically rich for four unlicensed single cards and therefore depends wholly on exemplar and image.	NO_PHONETIC_MAPPING;NO_NEW_CARD_MEANING;LOCAL_EXPANSION_ONLY
